DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(DD2);8(DE1);9(TAFGB);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2019-08-25 19:45:00;30;35;34;79;41;8;0;0;4;0;1;0;0
2019-08-25 20:00:00;20;30;31;64;40;5;0;0;1;0;0;0;0
2019-08-25 20:15:00;24;41;37;58;46;8;0;2;5;0;0;12;0
2019-08-25 20:30:00;19;27;30;51;33;10;0;0;0;0;0;2;0
2019-08-25 20:45:00;17;26;15;63;55;4;0;0;0;0;0;0;0
2019-08-25 21:00:00;20;40;22;56;50;10;0;0;6;0;1;0;0
2019-08-25 21:15:00;15;26;15;58;54;5;0;0;70;0;0;4;0
2019-08-25 21:30:00;14;20;22;41;39;3;0;0;0;0;0;0;0
2019-08-25 21:45:00;10;15;16;31;23;4;0;0;4;0;0;0;0
2019-08-25 22:00:00;12;29;25;40;18;5;0;0;0;0;0;0;0
2019-08-25 22:15:00;7;18;14;30;21;7;0;0;1;3;0;0;0
2019-08-25 22:30:00;5;13;11;32;18;2;0;0;0;0;0;0;0
2019-08-25 22:45:00;9;9;13;32;17;2;0;0;0;0;0;0;0
2019-08-25 23:00:00;7;8;14;22;15;3;0;1;0;0;0;0;0
2019-08-25 23:15:00;7;13;15;24;10;2;0;0;0;0;0;0;0
2019-08-25 23:30:00;8;14;9;23;13;2;0;1;0;0;0;0;0
2019-08-25 23:45:00;8;7;8;17;11;1;0;0;0;0;0;0;0
