DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGA);8(TAFBA);9(TAFBB);10(TAFGC);11(TAFBC);12(TAFBDRES)
2020-06-25 00:00:00;1;1;1;0;0;0;0;0;0;0;0;0
2020-06-25 00:15:00;7;11;0;2;2;0;0;0;0;0;0;0
2020-06-25 00:30:00;3;4;0;1;0;0;0;0;0;0;0;0
2020-06-25 00:45:00;8;3;0;3;1;0;0;0;0;0;0;0
2020-06-25 01:00:00;3;1;0;0;4;0;0;0;0;0;0;0
2020-06-25 01:15:00;15;1;0;0;2;0;0;0;0;0;0;0
2020-06-25 01:30:00;8;0;0;0;4;0;0;0;0;0;0;0
2020-06-25 01:45:00;3;0;0;0;5;0;0;0;0;0;0;0
2020-06-25 02:00:00;0;0;0;0;3;0;0;0;0;0;0;0
2020-06-25 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-06-25 02:30:00;0;2;0;0;0;0;0;0;0;0;0;0
2020-06-25 02:45:00;0;1;0;0;0;0;0;0;0;0;0;0
2020-06-25 03:00:00;3;2;0;0;1;0;0;0;0;0;0;0
2020-06-25 03:15:00;2;1;0;1;1;0;0;0;0;0;0;0
2020-06-25 03:30:00;1;4;0;0;9;0;0;0;0;0;0;0
2020-06-25 03:45:00;3;2;0;0;3;0;0;0;0;0;0;0
2020-06-25 04:00:00;0;1;1;2;3;0;0;0;0;0;0;0
2020-06-25 04:15:00;0;0;0;0;44;0;0;0;0;0;0;0
2020-06-25 04:30:00;0;1;0;2;15;0;0;0;0;0;0;0
2020-06-25 04:45:00;1;0;0;1;0;1;0;0;0;0;0;0
2020-06-25 05:00:00;2;3;0;4;0;0;0;0;0;0;0;0
2020-06-25 05:15:00;1;2;1;4;17;0;0;0;0;0;0;0
2020-06-25 05:30:00;2;2;0;7;8;0;0;0;0;0;0;0
2020-06-25 05:45:00;5;4;0;14;17;1;0;0;0;0;0;0
2020-06-25 06:00:00;4;5;0;15;475;3;0;0;0;0;0;0
2020-06-25 06:15:00;5;5;1;20;17;3;0;0;0;0;0;0
2020-06-25 06:30:00;6;14;0;47;24;7;0;0;0;0;0;0
2020-06-25 06:45:00;15;13;1;62;44;5;1;0;0;0;0;0
2020-06-25 07:00:00;8;17;0;49;241;3;0;0;0;0;0;0
2020-06-25 07:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-25 07:30:00;15;19;3;46;54;5;3;0;0;0;0;0
2020-06-25 07:45:00;19;19;1;66;39;9;0;0;0;0;0;0
2020-06-25 08:00:00;10;19;2;56;36;10;3;0;0;0;0;0
2020-06-25 08:15:00;22;23;2;60;21;31;0;0;0;0;0;0
2020-06-25 08:30:00;14;21;4;61;29;8;1;0;0;2;0;0
2020-06-25 08:45:00;13;32;1;60;21;14;0;0;0;5;0;0
2020-06-25 09:00:00;13;40;2;61;24;5;0;0;0;0;0;0
2020-06-25 09:15:00;26;26;2;54;29;7;0;0;0;3;0;0
2020-06-25 09:30:00;23;25;2;63;37;7;0;0;0;4;0;0
2020-06-25 09:45:00;29;26;4;86;45;6;1;0;0;1;0;0
2020-06-25 10:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-25 10:15:00;48;52;4;90;44;10;0;0;0;2;0;0
2020-06-25 10:30:00;49;44;0;74;44;16;1;0;0;4;0;0
2020-06-25 10:45:00;59;48;2;70;45;12;2;0;0;7;8;0
2020-06-25 11:00:00;46;38;4;62;47;19;0;0;0;7;2;0
2020-06-25 11:15:00;58;48;4;64;28;10;4;1;0;4;0;0
2020-06-25 11:30:00;59;49;4;75;30;12;9;13;0;5;0;0
2020-06-25 11:45:00;52;52;5;80;48;11;2;0;0;7;0;0
2020-06-25 12:00:00;53;54;5;61;54;9;3;0;2;4;0;0
2020-06-25 12:15:00;57;67;8;54;32;16;3;0;0;1;0;0
2020-06-25 12:30:00;45;46;5;94;42;11;6;0;0;5;0;0
2020-06-25 12:45:00;49;54;2;52;42;17;3;0;0;7;0;0
2020-06-25 13:00:00;44;42;6;56;39;12;3;0;0;8;1;0
2020-06-25 13:15:00;58;37;8;56;34;8;9;9;0;3;3;0
2020-06-25 13:30:00;42;52;3;63;31;9;0;0;0;2;0;0
2020-06-25 13:45:00;42;37;7;63;41;8;0;0;0;3;0;0
2020-06-25 14:00:00;40;40;12;53;29;13;2;65;0;4;2;0
2020-06-25 14:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-25 14:30:00;41;39;5;68;28;7;1;0;0;4;3;0
2020-06-25 14:45:00;45;38;4;73;49;16;2;0;2;5;1;0
2020-06-25 15:00:00;62;67;3;66;40;8;2;0;0;6;1;0
2020-06-25 15:15:00;53;47;10;58;38;11;1;2;0;3;0;0
2020-06-25 15:30:00;53;44;6;68;56;12;3;0;0;0;0;0
2020-06-25 15:45:00;67;57;7;63;41;13;0;0;0;10;1;0
2020-06-25 16:00:00;58;61;22;56;25;17;5;1;0;4;0;0
2020-06-25 16:15:00;55;56;16;58;35;12;2;29;0;4;0;0
2020-06-25 16:30:00;65;61;18;69;44;5;4;1;0;5;1;0
2020-06-25 16:45:00;49;50;17;78;33;18;3;1;0;5;0;0
2020-06-25 17:00:00;59;59;22;61;38;10;1;0;0;6;10;0
2020-06-25 17:15:00;40;64;16;68;45;15;0;0;32;4;1;0
2020-06-25 17:30:00;47;72;21;71;32;10;0;1;0;1;0;0
2020-06-25 17:45:00;66;62;20;56;32;9;0;0;70;3;2;0
2020-06-25 18:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-25 18:15:00;60;61;8;63;32;11;0;0;0;4;0;0
2020-06-25 18:30:00;57;54;11;51;34;9;3;0;0;1;0;0
2020-06-25 18:45:00;51;60;10;37;18;12;4;49;0;1;0;0
2020-06-25 19:00:00;54;47;8;42;23;12;1;0;1;2;0;0
2020-06-25 19:15:00;39;44;4;21;57;9;0;0;0;3;0;0
2020-06-25 19:30:00;29;24;1;18;14;3;0;0;0;1;5;0
2020-06-25 19:45:00;23;26;3;10;9;7;0;0;0;0;0;0
2020-06-25 20:00:00;24;21;2;5;4;7;0;0;0;0;0;0
2020-06-25 20:15:00;18;8;1;6;6;0;0;0;0;0;0;0
2020-06-25 20:30:00;6;1;3;6;11;2;0;0;0;0;0;0
2020-06-25 21:00:00;6;9;1;0;5;0;0;0;0;0;0;0
2020-06-25 21:15:00;7;5;0;3;9;2;0;0;0;0;0;0
2020-06-25 21:30:00;7;5;1;6;6;1;0;0;0;0;0;0
2020-06-25 21:45:00;5;6;2;7;7;3;0;0;0;0;0;0
2020-06-25 22:00:00;3;5;0;5;5;1;0;0;0;0;0;0
2020-06-25 22:15:00;5;3;2;3;5;1;0;0;0;0;0;0
2020-06-25 22:30:00;3;0;1;4;5;3;0;0;0;0;0;0
2020-06-25 22:45:00;3;2;1;1;1;0;0;0;0;0;0;0
2020-06-25 23:00:00;1;2;1;4;5;1;0;0;0;0;0;0
2020-06-25 23:15:00;3;4;0;2;5;1;0;0;0;0;0;0
2020-06-25 23:30:00;1;2;0;3;7;0;0;0;0;0;0;0
2020-06-25 23:45:00;1;3;0;6;3;0;0;0;0;0;0;0
