2020-02-26 11:15:00;17;29;27;23;19;61;59;38;37;40;47;51;90;128;100;16;0;0;30;0;0;0;0;0
2020-02-26 11:30:00;24;17;38;29;23;66;66;42;39;39;52;49;89;81;88;16;0;0;27;0;0;0;0;0
2020-02-26 11:45:00;16;20;25;30;30;66;64;40;41;42;52;44;99;103;96;14;0;0;30;0;0;0;0;0
2020-02-26 12:00:00;23;17;33;20;32;66;69;47;43;30;58;47;91;117;88;11;0;0;30;0;0;0;0;0
2020-02-26 12:15:00;22;25;30;16;27;76;73;43;40;25;55;57;100;111;76;11;0;0;30;0;0;0;0;0
2020-02-26 12:30:00;28;25;32;34;20;63;63;42;33;29;55;44;107;119;88;13;0;0;30;0;0;0;0;0
2020-02-26 12:45:00;18;24;41;34;21;70;75;53;43;41;58;39;98;106;84;15;0;0;30;0;0;0;0;0
2020-02-26 13:00:00;26;24;34;30;15;61;66;37;36;23;63;58;99;104;97;10;0;0;30;0;0;0;0;0
2020-02-26 13:15:00;20;24;35;25;14;78;77;43;41;34;53;40;107;106;88;19;0;0;30;0;0;0;0;0
2020-02-26 13:30:00;26;15;44;29;12;74;63;60;50;32;64;60;109;92;94;12;0;0;30;0;0;0;0;0
2020-02-26 13:45:00;15;19;34;22;25;67;77;37;44;40;67;66;91;84;77;19;0;0;30;0;0;0;0;0
2020-02-26 14:00:00;21;22;25;18;24;65;88;47;40;31;48;53;103;104;75;15;0;0;27;0;0;0;0;0
2020-02-26 14:15:00;14;24;37;20;19;80;80;50;47;34;56;51;113;123;100;7;0;0;30;0;0;0;0;0
2020-02-26 14:30:00;30;23;40;35;23;70;94;57;55;32;52;43;129;101;85;15;0;0;30;0;0;0;0;0
2020-02-26 14:45:00;21;19;29;21;30;95;104;57;55;38;63;55;111;105;91;14;0;0;29;1;0;0;0;0
2020-02-26 15:00:00;19;27;41;27;22;88;108;58;59;32;68;57;98;118;104;17;0;0;30;0;0;0;0;0
2020-02-26 15:15:00;27;25;33;31;27;87;110;59;53;34;56;48;111;103;86;22;0;0;30;0;0;0;0;0
2020-02-26 15:30:00;30;29;42;32;20;82;107;66;53;25;51;43;104;102;98;11;0;0;30;0;0;0;0;0
2020-02-26 15:45:00;24;29;40;28;33;87;100;70;59;29;60;57;128;95;93;18;0;0;30;0;0;0;0;0
2020-02-26 16:00:00;29;35;51;46;30;103;112;66;54;29;59;47;113;90;100;16;0;0;30;0;0;0;0;0
2020-02-26 16:15:00;32;30;60;38;21;111;98;56;56;30;53;48;105;107;94;13;0;0;30;0;0;0;0;0
2020-02-26 16:30:00;30;29;54;39;21;103;110;64;65;24;62;59;131;117;91;14;0;0;30;0;0;0;0;0
2020-02-26 16:45:00;29;30;45;34;35;107;106;71;66;40;61;47;127;120;97;17;0;0;30;0;0;0;0;0
2020-02-26 17:00:00;21;26;47;33;27;119;108;82;70;30;79;66;124;112;87;7;0;0;30;0;0;0;0;0
2020-02-26 17:15:00;25;32;47;28;29;114;110;68;67;43;67;56;122;104;92;18;0;0;30;0;0;0;0;0
2020-02-26 17:30:00;36;33;41;33;23;92;96;56;59;36;56;56;120;89;80;12;0;0;30;0;0;0;0;0
2020-02-26 17:45:00;27;29;44;24;27;113;98;59;67;27;52;54;98;119;98;17;0;0;30;0;0;0;0;0
2020-02-26 18:00:00;12;30;47;27;28;90;103;59;53;31;64;54;108;107;91;13;0;0;30;0;0;0;0;0
2020-02-26 18:15:00;33;18;28;19;24;97;104;46;54;31;59;47;98;97;84;20;0;0;30;0;0;0;0;0
2020-02-26 18:30:00;9;15;36;21;16;71;93;54;43;34;55;58;98;103;77;12;0;0;30;0;0;0;0;0
2020-02-26 18:45:00;21;17;25;24;23;77;77;61;49;44;48;41;77;102;86;23;0;0;30;0;0;0;0;0
2020-02-26 19:00:00;9;13;32;22;23;71;79;34;38;52;52;45;74;110;98;29;0;0;30;0;0;0;0;0
2020-02-26 19:15:00;14;14;19;15;16;72;63;30;32;29;44;39;104;128;91;11;0;0;30;0;0;0;0;0
2020-02-26 19:30:00;12;18;19;19;14;52;73;33;27;22;44;31;51;79;64;8;0;0;30;0;0;0;0;0
2020-02-26 19:45:00;8;9;15;6;15;45;53;26;32;23;37;20;90;104;69;9;0;0;30;0;0;0;0;0
2020-02-26 20:00:00;10;17;28;17;10;35;50;29;25;18;42;41;72;104;66;7;0;0;30;0;0;0;0;0
2020-02-26 20:15:00;9;11;17;13;13;46;35;27;32;15;24;19;72;108;68;2;0;0;30;0;0;0;0;0
2020-02-26 20:30:00;14;14;19;10;5;38;33;17;20;11;37;24;54;88;62;4;0;0;30;0;0;0;0;0
2020-02-26 20:45:00;7;10;16;14;17;31;34;21;22;14;43;29;47;71;46;2;0;0;30;0;0;0;0;0
2020-02-26 21:00:00;11;11;16;13;7;24;31;17;20;10;50;37;44;73;47;8;0;0;30;0;0;0;0;0
2020-02-26 21:15:00;6;8;8;12;5;24;31;18;17;11;41;30;45;65;46;3;0;0;30;0;0;0;0;0
2020-02-26 21:30:00;16;24;34;15;3;29;35;8;13;9;31;17;55;75;42;3;0;0;30;0;0;0;0;0
2020-02-26 21:45:00;10;24;22;14;9;34;40;20;22;8;17;9;71;96;49;4;0;0;30;0;0;0;0;0
2020-02-26 22:00:00;6;14;17;9;6;31;46;31;28;5;17;23;68;95;47;7;0;0;30;0;0;0;0;0
2020-02-26 22:15:00;3;11;14;8;5;27;18;22;24;12;19;8;66;93;54;3;0;0;30;0;0;0;0;0
2020-02-26 22:30:00;7;6;9;7;4;28;27;11;15;7;20;13;28;47;35;1;0;0;30;0;0;0;0;0
2020-02-26 22:45:00;6;6;12;6;5;19;15;8;14;8;16;9;31;45;23;3;0;0;30;0;0;0;0;0
2020-02-26 23:00:00;5;9;9;3;2;16;10;6;7;4;12;7;24;44;26;1;0;0;30;0;0;0;0;0
2020-02-26 23:15:00;2;5;4;4;3;10;11;4;4;6;13;5;15;30;20;1;0;0;30;0;0;0;0;0
2020-02-26 23:30:00;4;6;9;5;0;10;6;5;11;4;13;6;20;32;18;6;0;0;30;0;0;0;0;0
2020-02-26 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
