DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2)
2020-01-04 00:00:00;
2020-01-04 00:15:00;
2020-01-04 00:30:00;
2020-01-04 00:45:00;
2020-01-04 01:00:00;20;40;14;3;0;16;18
2020-01-04 01:15:00;13;39;14;3;5;13;13
2020-01-04 01:30:00;17;40;8;7;1;12;9
2020-01-04 01:45:00;9;35;12;2;1;9;11
2020-01-04 02:00:00;9;28;8;2;0;12;13
2020-01-04 02:15:00;4;26;3;3;1;11;13
2020-01-04 02:30:00;6;17;2;5;3;17;12
2020-01-04 02:45:00;10;21;6;3;1;10;13
2020-01-04 03:00:00;6;17;3;4;2;7;9
2020-01-04 03:15:00;7;15;4;3;0;10;10
2020-01-04 03:30:00;6;18;4;1;1;5;10
2020-01-04 03:45:00;1;15;1;2;0;11;5
2020-01-04 04:00:00;1;9;1;2;1;5;5
2020-01-04 04:15:00;3;7;5;7;1;7;7
2020-01-04 04:30:00;1;7;2;5;1;2;10
2020-01-04 04:45:00;2;11;4;3;1;6;6
2020-01-04 05:00:00;4;9;2;1;0;3;10
2020-01-04 05:15:00;2;15;6;3;0;7;9
2020-01-04 05:30:00;4;12;1;1;1;3;6
2020-01-04 05:45:00;2;7;3;1;0;3;8
2020-01-04 06:00:00;4;11;4;6;1;7;9
2020-01-04 06:15:00;5;22;7;6;1;15;12
2020-01-04 06:30:00;10;45;13;4;3;9;18
2020-01-04 06:45:00;9;36;10;5;1;10;8
2020-01-04 07:00:00;5;21;8;7;1;9;11
2020-01-04 07:15:00;11;15;5;8;2;12;20
2020-01-04 07:30:00;16;33;8;8;5;14;15
2020-01-04 07:45:00;8;21;5;7;0;10;20
2020-01-04 08:00:00;9;26;8;11;7;17;20
2020-01-04 08:15:00;12;34;8;9;6;15;24
2020-01-04 08:30:00;15;41;12;18;3;17;28
2020-01-04 08:45:00;16;52;16;9;3;25;26
2020-01-04 09:00:00;9;49;15;11;6;26;29
2020-01-04 09:15:00;12;60;21;22;10;35;36
2020-01-04 09:30:00;23;68;14;21;11;43;50
2020-01-04 09:45:00;31;86;17;33;9;35;46
2020-01-04 10:00:00;37;102;27;28;8;46;53
2020-01-04 10:15:00;36;136;32;34;16;43;58
2020-01-04 10:30:00;34;125;28;62;17;56;79
2020-01-04 10:45:00;42;133;33;37;10;66;80
2020-01-04 11:00:00;41;175;40;48;19;57;76
2020-01-04 11:15:00;42;160;42;65;18;73;85
2020-01-04 11:30:00;58;176;43;54;17;85;98
2020-01-04 11:45:00;62;199;50;47;20;76;86
2020-01-04 12:00:00;64;191;39;58;16;94;96
2020-01-04 12:15:00;56;193;49;55;24;89;110
2020-01-04 12:30:00;66;182;47;58;18;97;107
2020-01-04 12:45:00;58;193;53;49;15;94;99
2020-01-04 13:00:00;78;204;52;50;16;88;95
2020-01-04 13:15:00;82;219;67;47;14;105;93
2020-01-04 13:30:00;79;226;70;48;18;109;115
2020-01-04 13:45:00;65;199;60;37;18;91;98
2020-01-04 14:00:00;79;221;70;43;22;90;99
2020-01-04 14:15:00;72;208;55;42;13;123;110
2020-01-04 14:30:00;88;214;62;55;19;115;98
2020-01-04 14:45:00;79;202;48;60;19;100;107
2020-01-04 15:00:00;73;238;66;38;20;131;122
2020-01-04 15:15:00;94;231;69;39;13;126;118
2020-01-04 15:30:00;77;205;53;54;19;101;115
2020-01-04 15:45:00;73;183;50;67;11;123;125
2020-01-04 16:00:00;79;217;59;56;20;109;117
2020-01-04 16:15:00;88;217;46;27;32;95;105
2020-01-04 16:30:00;75;203;44;42;16;96;112
2020-01-04 16:45:00;77;212;54;42;16;106;125
2020-01-04 17:00:00;66;182;49;40;18;93;110
2020-01-04 17:15:00;72;206;51;53;16;119;132
2020-01-04 17:30:00;67;197;51;46;15;113;102
2020-01-04 17:45:00;67;193;44;51;15;100;120
2020-01-04 18:00:00;75;162;43;54;16;99;106
2020-01-04 18:15:00;63;192;46;36;10;104;117
2020-01-04 18:30:00;55;189;52;51;9;99;120
2020-01-04 18:45:00;62;178;48;49;14;89;83
2020-01-04 19:00:00;61;181;46;43;6;102;101
2020-01-04 19:15:00;53;179;44;41;13;97;107
2020-01-04 19:30:00;50;160;43;46;10;89;86
2020-01-04 19:45:00;57;154;51;43;10;89;107
2020-01-04 20:00:00;44;163;34;40;11;90;111
2020-01-04 20:15:00;51;150;44;41;15;85;95
2020-01-04 20:30:00;47;137;34;22;6;66;70
2020-01-04 20:45:00;29;96;25;17;6;72;92
2020-01-04 21:00:00;31;106;32;24;8;81;85
2020-01-04 21:15:00;30;102;28;26;7;55;97
2020-01-04 21:30:00;32;82;28;20;4;47;57
2020-01-04 21:45:00;35;95;37;22;8;56;77
2020-01-04 22:00:00;30;89;32;10;6;41;48
2020-01-04 22:15:00;24;73;15;14;6;36;46
2020-01-04 22:30:00;29;85;26;12;4;31;52
2020-01-04 22:45:00;32;108;38;17;4;42;62
2020-01-04 23:00:00;34;115;38;21;5;44;59
2020-01-04 23:15:00;34;103;34;14;9;43;51
2020-01-04 23:30:00;29;71;14;10;9;41;55
2020-01-04 23:45:00;18;75;26;11;2;33;38
