DATUM;1(DA1);2(DA2);3(DA3);4(DBR1);5(DBR2);6(DB1);7(DC1);8(DC2)
2020-10-16 00:00:00;4;4;6;1;1;0;5;3
2020-10-16 00:15:00;2;12;11;1;1;0;5;4
2020-10-16 00:30:00;0;2;2;1;3;0;5;6
2020-10-16 00:45:00;8;5;5;0;3;0;5;6
2020-10-16 01:00:00;1;5;6;1;1;0;4;1
2020-10-16 01:15:00;2;7;7;0;1;0;3;2
2020-10-16 01:30:00;1;8;8;2;2;0;2;2
2020-10-16 01:45:00;0;0;0;0;1;0;2;0
2020-10-16 02:00:00;0;2;2;3;3;0;2;0
2020-10-16 02:15:00;1;2;2;1;1;0;2;2
2020-10-16 02:30:00;0;3;3;1;1;0;2;1
2020-10-16 02:45:00;2;5;5;1;2;0;3;4
2020-10-16 03:00:00;2;4;4;0;2;0;7;2
2020-10-16 03:15:00;3;3;3;0;1;0;2;1
2020-10-16 03:30:00;4;5;5;1;0;0;2;3
2020-10-16 03:45:00;0;4;4;1;5;0;0;1
2020-10-16 04:00:00;4;5;5;1;3;0;2;1
2020-10-16 04:15:00;2;9;9;3;2;0;1;0
2020-10-16 04:30:00;2;10;10;7;6;0;9;3
2020-10-16 04:45:00;8;27;28;2;5;0;4;2
2020-10-16 05:00:00;26;58;58;8;10;0;14;9
2020-10-16 05:15:00;66;99;97;2;8;0;30;10
2020-10-16 05:30:00;80;96;100;13;21;0;47;15
2020-10-16 05:45:00;75;70;71;26;33;0;60;39
2020-10-16 06:00:00;60;65;64;37;52;0;49;34
2020-10-16 06:15:00;70;64;61;21;30;0;35;31
2020-10-16 06:30:00;111;75;78;18;25;0;51;37
2020-10-16 06:45:00;84;75;75;8;13;0;44;25
2020-10-16 07:00:00;111;78;79;7;23;0;53;29
2020-10-16 07:15:00;128;87;84;10;18;0;66;56
2020-10-16 07:30:00;141;95;95;25;38;0;86;57
2020-10-16 07:45:00;202;130;131;17;36;0;106;87
2020-10-16 08:00:00;115;97;95;16;27;0;65;53
2020-10-16 08:15:00;52;46;47;11;13;0;41;23
2020-10-16 08:30:00;
2020-10-16 08:45:00;
2020-10-16 09:00:00;
2020-10-16 09:15:00;
2020-10-16 09:30:00;
2020-10-16 09:45:00;
2020-10-16 10:00:00;
2020-10-16 10:15:00;
2020-10-16 10:30:00;
2020-10-16 10:45:00;
2020-10-16 11:00:00;
2020-10-16 11:15:00;
2020-10-16 11:30:00;
2020-10-16 11:45:00;
2020-10-16 12:00:00;
2020-10-16 12:15:00;
2020-10-16 12:30:00;
2020-10-16 12:45:00;104;79;73;24;27;0;79;69
2020-10-16 13:00:00;147;115;115;23;38;0;111;121
2020-10-16 13:15:00;136;103;106;22;34;0;108;84
2020-10-16 13:30:00;141;105;107;18;30;0;102;65
2020-10-16 13:45:00;132;107;106;15;29;0;81;60
2020-10-16 14:00:00;122;100;100;27;38;0;116;88
2020-10-16 14:15:00;106;85;79;23;41;0;122;90
2020-10-16 14:30:00;85;61;60;30;40;0;109;88
2020-10-16 14:45:00;94;72;69;25;33;0;101;70
2020-10-16 15:00:00;91;65;60;23;35;0;94;59
2020-10-16 15:15:00;103;57;57;19;36;0;99;83
2020-10-16 15:30:00;116;76;71;19;29;0;97;70
2020-10-16 15:45:00;101;68;70;11;22;0;100;73
2020-10-16 16:00:00;93;63;71;21;29;0;97;78
2020-10-16 16:15:00;87;69;63;23;35;0;86;44
2020-10-16 16:30:00;87;74;70;18;23;0;92;57
2020-10-16 16:45:00;80;60;59;13;21;0;76;63
2020-10-16 17:00:00;86;63;61;20;36;0;77;55
2020-10-16 17:15:00;82;72;72;13;23;0;79;60
2020-10-16 17:30:00;72;64;60;14;28;0;76;67
2020-10-16 17:45:00;80;64;67;19;30;0;70;51
2020-10-16 18:00:00;80;62;58;19;30;0;71;51
2020-10-16 18:15:00;85;67;70;17;29;0;69;48
2020-10-16 18:30:00;61;50;48;12;23;0;69;47
2020-10-16 18:45:00;68;56;57;16;21;0;74;50
2020-10-16 19:00:00;72;44;45;9;19;0;59;42
2020-10-16 19:15:00;63;48;43;7;12;0;55;39
2020-10-16 19:30:00;58;46;45;15;15;0;58;35
2020-10-16 19:45:00;39;41;40;11;18;0;41;33
2020-10-16 20:00:00;49;48;48;12;18;0;41;28
2020-10-16 20:15:00;37;40;38;7;12;0;52;29
2020-10-16 20:30:00;41;51;49;7;14;0;45;21
2020-10-16 20:45:00;36;41;42;10;9;0;41;22
2020-10-16 21:00:00;58;80;77;7;13;0;40;26
2020-10-16 21:15:00;61;82;82;6;13;0;33;19
2020-10-16 21:30:00;44;58;58;11;9;0;37;20
2020-10-16 21:45:00;44;44;44;22;29;0;49;47
2020-10-16 22:00:00;31;32;31;28;35;0;66;58
2020-10-16 22:15:00;24;23;25;17;25;0;44;33
2020-10-16 22:30:00;25;20;20;8;16;0;24;22
2020-10-16 22:45:00;29;23;23;8;10;0;27;12
2020-10-16 23:00:00;23;30;29;7;10;0;24;15
2020-10-16 23:15:00;17;29;28;9;12;0;35;12
2020-10-16 23:30:00;21;23;22;2;9;0;25;18
2020-10-16 23:45:00;14;12;12;0;6;0;24;10
