DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DC1);8(DC2);9(TAFGA);10(TAFGC);11(TAFBA);12(TAFBB);13(TAFBC)
2020-12-21 19:45:00;60;26;20;8;8;8;8;67;0;0;0;0;0
2020-12-21 20:00:00;53;18;12;6;8;10;6;68;0;0;0;0;0
2020-12-21 20:15:00;61;17;13;6;10;10;5;57;0;0;0;0;0
2020-12-21 20:30:00;49;30;20;10;4;9;2;46;0;0;0;0;0
2020-12-21 20:45:00;46;23;23;8;6;7;4;47;0;0;0;0;0
2020-12-21 21:00:00;19;9;6;2;6;7;0;19;0;0;0;0;0
2020-12-21 21:15:00;15;6;5;1;0;0;0;14;0;0;0;0;0
2020-12-21 21:30:00;9;7;3;2;1;2;2;10;0;0;0;0;0
2020-12-21 21:45:00;16;17;11;6;6;5;4;25;0;0;0;0;0
2020-12-21 22:00:00;17;12;6;0;9;16;0;9;0;0;0;0;0
2020-12-21 22:15:00;15;4;3;2;0;0;0;4;0;0;0;0;0
2020-12-21 22:30:00;9;4;1;0;0;0;0;8;0;0;0;0;0
2020-12-21 22:45:00;8;11;7;1;1;1;0;8;0;0;0;0;0
2020-12-21 23:00:00;5;6;4;2;0;0;0;6;0;0;0;0;0
2020-12-21 23:15:00;5;3;3;1;1;0;1;8;0;0;0;0;0
2020-12-21 23:30:00;8;6;1;0;0;0;0;6;0;0;0;0;0
2020-12-21 23:45:00;7;7;5;2;0;0;0;5;0;0;0;0;0
