DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2)
2019-08-31 00:00:00;18;10;1;3;8;18;9
2019-08-31 00:15:00;14;8;2;8;11;19;8
2019-08-31 00:30:00;16;12;2;5;10;11;9
2019-08-31 00:45:00;14;4;1;4;10;14;6
2019-08-31 01:00:00;7;9;0;3;6;12;2
2019-08-31 01:15:00;14;8;0;4;4;19;6
2019-08-31 01:30:00;17;13;3;4;10;21;8
2019-08-31 01:45:00;11;8;4;4;7;11;6
2019-08-31 02:00:00;7;4;1;5;6;8;5
2019-08-31 02:15:00;13;5;1;2;5;7;3
2019-08-31 02:30:00;3;2;0;3;5;10;5
2019-08-31 02:45:00;8;4;2;1;2;8;5
2019-08-31 03:00:00;6;8;1;2;3;8;0
2019-08-31 03:15:00;5;3;0;2;2;13;8
2019-08-31 03:30:00;9;2;0;2;1;8;4
2019-08-31 03:45:00;10;10;1;4;3;7;3
2019-08-31 04:00:00;6;6;0;2;4;14;3
2019-08-31 04:15:00;7;4;0;3;4;9;8
2019-08-31 04:30:00;11;7;1;0;1;5;3
2019-08-31 04:45:00;10;4;0;1;2;11;10
2019-08-31 05:00:00;14;9;3;3;7;19;6
2019-08-31 05:15:00;18;18;0;6;9;19;5
2019-08-31 05:30:00;24;13;1;7;7;26;16
2019-08-31 05:45:00;54;38;3;3;6;27;13
2019-08-31 06:00:00;67;25;1;1;10;18;12
2019-08-31 06:15:00;53;34;3;5;11;25;15
2019-08-31 06:30:00;37;29;1;2;9;39;6
2019-08-31 06:45:00;23;19;3;11;10;25;16
2019-08-31 07:00:00;28;14;0;3;10;26;16
2019-08-31 07:15:00;27;16;2;11;16;27;18
2019-08-31 07:30:00;31;20;4;5;20;23;35
2019-08-31 07:45:00;40;20;1;8;18;31;36
2019-08-31 08:00:00;36;44;7;7;19;26;24
2019-08-31 08:15:00;43;37;6;14;20;46;27
2019-08-31 08:30:00;41;45;6;14;23;37;33
2019-08-31 08:45:00;57;45;6;19;31;50;36
2019-08-31 09:00:00;54;45;3;13;21;58;53
2019-08-31 09:15:00;67;49;5;16;26;64;47
2019-08-31 09:30:00;69;54;7;16;28;73;36
2019-08-31 09:45:00;82;64;4;11;23;85;71
2019-08-31 10:00:00;72;65;4;17;34;64;48
2019-08-31 10:15:00;98;52;9;16;34;79;61
2019-08-31 10:30:00;75;48;0;20;31;73;63
2019-08-31 10:45:00;116;62;4;18;26;73;59
2019-08-31 11:00:00;93;69;2;18;30;78;62
2019-08-31 11:15:00;107;61;7;12;29;88;77
2019-08-31 11:30:00;98;60;9;10;29;82;63
2019-08-31 11:45:00;93;63;10;20;22;72;60
2019-08-31 12:00:00;89;75;11;17;41;87;57
2019-08-31 12:15:00;106;75;5;12;31;72;68
2019-08-31 12:30:00;97;79;5;17;30;86;75
2019-08-31 12:45:00;79;68;6;22;38;77;62
2019-08-31 13:00:00;104;83;10;17;39;81;60
2019-08-31 13:15:00;80;70;7;14;27;90;67
2019-08-31 13:30:00;88;75;13;20;39;101;59
2019-08-31 13:45:00;101;72;10;12;21;73;65
2019-08-31 14:00:00;105;66;6;16;26;81;68
2019-08-31 14:15:00;95;81;4;12;26;78;59
2019-08-31 14:30:00;99;52;2;15;30;91;64
2019-08-31 14:45:00;109;63;8;4;26;93;54
2019-08-31 15:00:00;93;72;10;31;36;86;68
2019-08-31 15:15:00;75;61;5;16;29;70;60
2019-08-31 15:30:00;91;69;2;8;20;73;65
2019-08-31 15:45:00;79;56;4;36;41;76;71
2019-08-31 16:00:00;90;65;11;21;43;73;61
2019-08-31 16:15:00;72;63;2;14;22;74;65
2019-08-31 16:30:00;82;64;1;18;27;90;74
2019-08-31 16:45:00;82;65;4;11;24;82;55
2019-08-31 17:00:00;88;73;5;15;18;66;60
2019-08-31 17:15:00;81;62;4;14;30;93;83
2019-08-31 17:30:00;71;72;7;18;35;83;68
2019-08-31 17:45:00;95;48;6;16;36;86;85
2019-08-31 18:00:00;95;57;6;18;34;87;77
2019-08-31 18:15:00;95;53;3;10;22;59;57
2019-08-31 18:30:00;75;57;5;15;32;82;66
2019-08-31 18:45:00;84;59;9;14;31;86;81
2019-08-31 19:00:00;79;42;4;15;26;70;55
2019-08-31 19:15:00;82;57;6;22;35;81;62
2019-08-31 19:30:00;59;45;8;15;35;68;67
2019-08-31 19:45:00;79;46;7;23;30;63;46
2019-08-31 20:00:00;58;36;7;13;35;72;40
2019-08-31 20:15:00;69;41;6;28;41;63;45
2019-08-31 20:30:00;43;32;7;8;22;62;32
2019-08-31 20:45:00;49;32;2;13;35;58;36
2019-08-31 21:00:00;35;26;5;8;21;40;21
2019-08-31 21:15:00;48;19;4;10;19;47;18
2019-08-31 21:30:00;32;28;4;12;17;45;22
2019-08-31 21:45:00;43;25;3;10;20;43;28
2019-08-31 22:00:00;31;26;5;7;15;31;22
2019-08-31 22:15:00;30;22;3;13;21;33;16
2019-08-31 22:30:00;34;20;1;6;15;35;17
2019-08-31 22:45:00;28;17;1;7;15;29;17
2019-08-31 23:00:00;29;12;4;8;14;28;14
2019-08-31 23:15:00;33;17;0;19;20;39;21
2019-08-31 23:30:00;24;12;2;7;13;26;10
2019-08-31 23:45:00;38;15;0;10;16;28;12
