2020-06-17 10:00:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-17 10:15:00;85;9;50;28;54;19;38;41;0;0;0;0;0;0;0
2020-06-17 10:30:00;84;3;52;36;53;10;48;29;0;2;0;0;1;0;0
2020-06-17 10:45:00;93;17;36;60;68;14;58;42;0;1;1;0;0;0;0
2020-06-17 11:00:00;86;5;45;36;80;10;54;38;0;0;0;13;0;0;0
2020-06-17 11:15:00;96;6;33;36;78;4;39;31;0;0;1;0;0;0;0
2020-06-17 11:45:00;76;6;45;36;77;9;44;39;0;0;0;0;0;0;0
2020-06-17 12:00:00;97;4;31;43;87;9;50;27;0;0;6;0;0;6;0
2020-06-17 12:15:00;100;9;34;42;74;12;53;35;0;3;0;0;0;0;0
2020-06-17 12:30:00;92;15;41;32;86;13;42;33;0;2;2;0;0;0;0
2020-06-17 12:45:00;91;5;34;40;84;16;45;30;0;0;1;0;0;0;0
2020-06-17 13:00:00;96;10;34;42;97;12;48;38;0;1;1;0;0;0;0
2020-06-17 13:15:00;115;9;39;28;86;5;55;31;0;0;0;0;0;0;0
2020-06-17 13:30:00;133;13;44;33;64;10;58;36;0;2;0;9;0;0;0
2020-06-17 13:45:00;84;14;49;42;81;13;73;44;0;0;2;0;0;8;0
2020-06-17 14:00:00;100;8;46;40;96;11;60;35;0;0;2;0;0;0;0
2020-06-17 14:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-06-17 14:30:00;94;10;40;31;120;15;59;38;0;0;0;0;0;0;0
2020-06-17 14:45:00;112;11;38;40;106;9;56;38;0;2;0;0;3;0;0
2020-06-17 15:00:00;92;7;54;23;119;9;71;39;0;0;0;0;0;0;0
2020-06-17 15:15:00;92;7;74;40;95;17;67;27;0;8;0;0;0;0;0
2020-06-17 15:30:00;85;7;80;37;102;11;67;35;0;0;0;0;0;0;0
2020-06-17 15:45:00;86;7;79;43;117;15;57;45;0;0;0;0;0;0;0
2020-06-17 16:00:00;94;9;51;41;131;9;55;48;0;2;0;0;0;0;0
2020-06-17 16:15:00;100;6;53;47;149;10;50;44;0;2;0;1;0;0;0
2020-06-17 16:30:00;112;5;67;42;105;12;68;45;0;0;0;0;0;0;0
2020-06-17 16:45:00;100;1;61;41;130;11;43;42;0;0;4;0;0;0;0
2020-06-17 17:00:00;107;8;64;35;129;4;39;36;0;3;0;0;0;0;0
2020-06-17 17:15:00;76;10;52;30;135;16;55;37;0;1;1;2;0;0;0
2020-06-17 17:30:00;86;7;57;29;118;13;50;37;0;0;1;0;6;0;0
2020-06-17 17:45:00;85;7;61;37;93;10;49;31;0;1;2;0;0;1;0
2020-06-17 18:00:00;85;6;42;33;118;14;58;38;0;0;2;0;0;5;0
2020-06-17 18:15:00;108;3;45;35;100;10;39;22;0;1;1;0;0;1;0
2020-06-17 18:30:00;76;5;30;31;97;11;42;33;0;2;0;0;2;0;9
2020-06-17 18:45:00;78;5;39;23;75;13;42;33;0;0;0;0;0;0;0
2020-06-17 19:00:00;68;4;28;24;91;11;36;26;0;0;0;0;4;0;0
2020-06-17 19:15:00;69;7;24;36;78;10;28;22;0;1;3;0;0;0;0
2020-06-17 19:30:00;60;3;20;19;83;7;29;25;0;0;0;0;0;0;0
2020-06-17 19:45:00;53;3;18;18;68;7;23;21;0;1;0;0;0;0;0
2020-06-17 20:00:00;41;1;25;20;92;6;20;23;0;0;0;0;0;0;0
2020-06-17 20:15:00;48;2;18;9;56;4;24;17;0;0;0;0;0;0;0
2020-06-17 20:30:00;54;0;15;12;45;6;28;23;0;0;0;0;0;0;0
2020-06-17 20:45:00;32;2;11;6;51;3;18;9;0;0;0;0;0;0;0
2020-06-17 21:00:00;23;4;13;6;49;5;15;12;0;0;0;0;0;0;0
2020-06-17 21:15:00;34;2;10;6;48;4;21;14;0;0;0;0;0;0;0
2020-06-17 21:30:00;22;3;11;8;34;4;19;17;0;0;0;0;0;0;0
2020-06-17 21:45:00;27;2;10;8;29;2;18;14;0;0;0;0;0;0;0
2020-06-17 22:00:00;26;0;16;5;38;4;9;13;0;3;0;0;0;0;0
2020-06-17 22:15:00;16;1;12;7;45;3;16;14;0;0;0;0;0;0;0
2020-06-17 22:30:00;19;0;8;7;24;3;15;10;0;0;0;0;0;0;0
2020-06-17 22:45:00;15;2;9;6;15;1;6;9;0;0;0;0;0;0;0
2020-06-17 23:00:00;24;1;12;5;14;3;6;13;0;0;0;0;0;0;0
2020-06-17 23:15:00;7;1;5;4;14;4;4;11;0;0;1;0;0;8;0
2020-06-17 23:30:00;13;1;4;1;11;1;1;5;0;0;0;0;0;0;0
2020-06-17 23:45:00;6;0;3;4;9;2;3;5;0;0;0;0;0;0;0
