DATUM;1(DA1);2(DA2);3(DA3);4(DAL1);5(DB1);6(DB2);7(DB3);8(DBL1);9(DBL2);10(DC1);11(DCL1);12(DCL2);13(DD1);14(DD2);15(DD3);16(DDL1);17(DEG21);18(DEG22);19(DEG23);20(DEG24);21(DEG25);22(DEG26);23(DEG27);24(DEG28)
2020-10-26 00:00:00;0;0;2;1;2;5;2;3;5;1;5;0;0;5;5;0;0;0;24;0;0;0;0;0
2020-10-26 00:15:00;1;5;7;2;2;6;6;1;6;3;8;2;4;9;7;0;0;0;30;0;0;0;0;0
2020-10-26 00:30:00;0;1;1;0;0;7;2;1;4;4;3;1;2;3;2;1;0;0;30;0;0;0;0;0
2020-10-26 00:45:00;0;1;2;0;0;3;5;0;2;1;4;4;4;7;4;0;0;0;30;0;0;0;0;0
2020-10-26 01:00:00;0;0;1;2;2;3;1;0;2;1;4;1;1;5;5;0;0;0;38;0;0;0;0;0
2020-10-26 01:15:00;1;2;0;0;1;3;1;0;1;0;5;1;2;5;4;0;0;0;39;0;0;0;0;0
2020-10-26 01:30:00;0;1;1;1;3;5;2;1;1;1;4;1;4;11;8;0;0;0;36;0;0;0;0;0
2020-10-26 01:45:00;1;1;1;0;0;1;0;1;4;0;2;1;5;8;2;0;0;0;39;0;0;0;0;0
2020-10-26 02:00:00;0;0;3;0;2;3;4;2;5;0;3;1;1;7;9;0;0;0;39;0;0;0;0;0
2020-10-26 02:15:00;0;0;0;3;1;3;3;1;3;2;2;1;3;11;13;0;0;0;39;0;0;0;0;0
2020-10-26 02:30:00;0;0;0;1;3;6;2;2;2;1;1;0;0;1;1;0;0;0;39;0;0;0;0;0
2020-10-26 02:45:00;0;0;0;0;1;5;1;0;1;0;4;0;1;8;6;0;0;0;39;0;0;0;0;0
2020-10-26 03:00:00;0;0;0;0;0;3;3;1;5;0;3;0;0;5;5;0;0;0;39;0;0;0;0;0
2020-10-26 03:15:00;1;0;0;2;0;4;4;3;6;1;4;0;5;12;8;0;0;0;36;0;0;0;0;0
2020-10-26 03:30:00;0;0;1;1;0;5;6;0;2;1;2;1;2;7;6;0;0;0;39;0;0;0;0;0
2020-10-26 03:45:00;0;0;1;0;0;3;3;2;1;1;2;1;7;12;5;1;0;0;39;0;0;0;0;0
