DATUM;1(DB1);2(DB2);3(DB3);4(DC1);5(DC2);6(DC3);7(DE1);8(DE2);9(DE3);10(DR2);11(DR3);12(TA1);13(TA2);14(TA3)
2020-03-02 00:00:00;5;11;0;2;10;0;2;2;0;0;0;0;0;0
2020-03-02 00:15:00;8;11;0;2;5;1;0;2;1;0;0;0;0;0
2020-03-02 00:30:00;10;10;0;2;8;1;0;2;0;0;0;0;0;0
2020-03-02 00:45:00;9;12;0;7;3;0;0;0;0;0;0;0;0;0
2020-03-02 01:00:00;4;6;0;2;8;2;0;0;0;0;0;0;0;0
2020-03-02 01:15:00;2;7;0;3;11;1;0;0;0;0;0;0;0;0
2020-03-02 01:30:00;3;5;0;1;6;0;0;1;0;0;0;0;0;0
2020-03-02 01:45:00;0;4;0;4;6;2;0;0;0;0;0;0;0;0
2020-03-02 02:00:00;2;5;0;5;6;2;0;0;0;0;0;0;0;0
2020-03-02 02:15:00;6;4;0;4;5;1;0;0;0;0;0;0;0;0
2020-03-02 02:30:00;1;4;0;3;1;0;0;0;0;0;0;0;0;0
2020-03-02 02:45:00;5;3;0;4;9;0;0;0;0;0;0;0;0;0
2020-03-02 03:00:00;5;9;0;4;4;1;1;0;1;0;0;0;0;0
2020-03-02 03:15:00;3;5;0;3;3;0;1;3;0;0;0;0;0;0
2020-03-02 03:30:00;8;8;0;4;6;0;0;0;0;0;0;0;0;0
2020-03-02 03:45:00;5;7;0;3;8;1;0;0;0;0;0;0;0;0
2020-03-02 04:00:00;6;3;0;2;7;0;0;0;0;0;0;0;0;0
2020-03-02 04:15:00;13;17;0;9;17;1;0;0;0;0;0;0;0;0
2020-03-02 04:30:00;12;21;0;9;14;3;1;1;0;0;0;0;0;0
2020-03-02 04:45:00;32;37;0;18;26;4;1;2;0;0;0;0;0;0
2020-03-02 05:00:00;57;69;0;15;38;1;2;2;2;0;0;0;0;0
2020-03-02 05:15:00;121;134;0;23;45;7;1;1;0;0;0;0;0;0
2020-03-02 05:30:00;101;148;0;35;50;4;1;2;0;1;0;0;0;0
2020-03-02 05:45:00;91;138;0;26;46;7;3;6;1;0;0;0;0;0
2020-03-02 06:00:00;84;101;0;41;63;15;1;4;0;1;0;3;0;0
