DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(DD2);8(DE1);9(TAFGB);10(TAFBA);11(TAFBB);12(TAFBC);13(TAFBD)
2020-07-13 00:00:00;5;4;7;7;9;2;0;0;0;0;0;0;0
2020-07-13 00:15:00;6;3;2;14;8;0;0;0;0;0;0;0;0
2020-07-13 00:30:00;3;5;5;14;5;0;0;0;0;0;0;0;0
2020-07-13 00:45:00;0;6;0;7;4;1;0;0;0;0;0;0;0
2020-07-13 01:00:00;2;5;4;8;3;0;0;0;0;0;0;0;0
2020-07-13 01:15:00;2;5;1;6;3;0;0;0;0;0;0;0;0
2020-07-13 01:30:00;2;1;5;7;5;0;0;0;0;0;0;0;0
2020-07-13 01:45:00;2;0;6;9;3;0;0;0;0;0;0;0;0
2020-07-13 02:00:00;1;8;2;2;2;0;0;0;0;0;0;0;0
2020-07-13 02:15:00;2;2;3;4;2;0;0;0;0;0;0;0;0
2020-07-13 02:30:00;1;4;3;9;4;0;0;0;0;0;0;0;0
2020-07-13 02:45:00;1;5;0;5;0;0;0;0;0;0;0;0;0
2020-07-13 03:00:00;3;3;2;1;0;0;0;0;0;0;0;0;0
2020-07-13 03:15:00;0;0;0;3;0;1;0;0;0;0;0;0;0
2020-07-13 03:30:00;1;2;3;3;2;0;0;0;0;0;0;0;0
2020-07-13 03:45:00;1;3;3;1;1;0;0;0;0;0;0;0;0
2020-07-13 04:00:00;1;2;5;7;7;0;0;0;0;0;0;0;0
2020-07-13 04:15:00;4;5;2;6;2;0;0;0;0;0;0;0;0
2020-07-13 04:30:00;2;11;3;15;9;0;0;0;0;0;0;0;0
2020-07-13 04:45:00;5;9;5;29;18;1;0;0;0;0;0;0;0
2020-07-13 05:00:00;4;21;7;69;62;2;0;1;0;0;0;0;0
2020-07-13 05:15:00;9;19;11;90;84;1;0;0;0;0;0;0;0
2020-07-13 05:30:00;14;32;9;81;94;0;0;0;1;0;0;0;0
2020-07-13 05:45:00;13;31;15;60;62;2;0;0;0;0;0;0;0
2020-07-13 06:00:00;16;34;16;66;67;5;0;0;0;0;0;0;0
2020-07-13 06:15:00;19;43;26;81;87;6;0;0;0;0;0;0;0
2020-07-13 06:30:00;21;44;31;90;97;2;0;0;1;0;0;0;0
2020-07-13 06:45:00;35;50;32;81;84;5;0;2;0;0;0;0;0
2020-07-13 07:00:00;27;56;31;81;96;9;0;1;1;0;8;0;0
2020-07-13 07:15:00;48;70;50;114;113;18;0;1;11;3;0;4;0
2020-07-13 07:30:00;41;77;60;121;124;15;0;1;0;0;0;0;1
2020-07-13 07:45:00;38;76;48;129;117;26;0;3;2;0;0;0;0
2020-07-13 08:00:00;50;66;37;119;107;10;0;0;24;0;0;0;0
2020-07-13 08:15:00;44;88;47;103;106;30;0;1;10;0;0;0;0
2020-07-13 08:30:00;48;71;39;111;96;24;0;0;2;0;0;0;0
2020-07-13 08:45:00;45;70;44;99;107;24;0;1;3;0;0;0;0
2020-07-13 09:00:00;41;71;42;91;84;26;0;0;0;0;0;0;0
2020-07-13 09:15:00;48;62;35;93;81;16;0;0;0;0;0;0;0
2020-07-13 09:30:00;51;77;47;98;80;14;0;3;5;3;0;4;0
2020-07-13 09:45:00;51;80;47;105;88;23;0;1;9;3;0;0;0
2020-07-13 10:00:00;44;59;41;94;75;21;0;0;2;0;0;0;0
2020-07-13 10:15:00;54;81;43;89;76;28;0;0;1;0;0;0;0
2020-07-13 10:30:00;55;83;54;95;90;18;0;0;6;0;14;0;0
2020-07-13 10:45:00;55;97;49;91;98;35;0;1;11;1;10;0;0
2020-07-13 11:00:00;81;110;56;116;90;28;0;0;8;0;0;0;1
2020-07-13 11:15:00;60;94;44;91;85;36;0;1;7;0;0;17;0
2020-07-13 11:30:00;66;86;46;101;97;32;0;0;6;2;2;0;9
2020-07-13 11:45:00;44;76;39;95;82;20;0;0;7;1;0;0;0
2020-07-13 12:00:00;53;95;45;95;94;31;0;0;3;0;0;0;0
2020-07-13 12:15:00;55;80;34;101;82;19;0;1;12;0;0;0;17
2020-07-13 12:30:00;52;84;46;96;94;22;0;2;16;1;0;1;1
2020-07-13 12:45:00;50;96;42;127;104;32;0;0;64;1;0;0;0
2020-07-13 13:00:00;35;68;37;105;109;33;0;1;9;0;3;0;0
2020-07-13 13:15:00;41;64;48;106;106;18;0;0;0;0;0;1;0
2020-07-13 13:30:00;49;81;49;114;126;19;0;1;9;0;16;4;0
2020-07-13 13:45:00;56;96;52;133;120;22;0;0;22;0;16;0;0
2020-07-13 14:00:00;68;105;59;105;98;20;0;1;5;0;0;0;0
2020-07-13 14:15:00;87;133;58;94;88;26;0;1;16;0;0;2;0
2020-07-13 14:30:00;93;148;51;110;110;32;0;2;39;0;0;0;0
2020-07-13 14:45:00;77;136;44;114;103;34;0;0;5;0;0;6;0
2020-07-13 15:00:00;65;103;42;102;90;17;0;0;53;0;2;2;0
2020-07-13 15:15:00;54;98;57;110;103;33;0;1;0;0;0;2;0
2020-07-13 15:30:00;76;131;55;99;94;29;0;1;2;0;0;0;0
2020-07-13 15:45:00;60;113;50;110;110;32;0;3;3;0;0;20;0
2020-07-13 16:00:00;59;99;52;117;114;37;0;1;9;0;0;7;0
2020-07-13 16:15:00;85;110;61;105;114;33;0;1;18;0;0;0;0
2020-07-13 16:30:00;72;118;54;121;111;34;0;0;4;0;0;6;0
2020-07-13 16:45:00;64;102;65;102;102;36;0;0;10;1;1;0;0
2020-07-13 17:00:00;67;118;57;130;112;30;0;1;22;0;1;0;0
2020-07-13 17:15:00;65;115;67;97;101;31;0;1;4;0;0;0;1
2020-07-13 17:30:00;69;93;55;104;96;23;0;1;7;0;0;0;0
2020-07-13 17:45:00;70;108;50;117;92;28;0;0;6;0;0;18;0
2020-07-13 18:00:00;55;90;52;115;101;25;0;1;10;1;0;0;0
2020-07-13 18:15:00;59;83;37;99;77;21;0;4;5;0;0;0;0
2020-07-13 18:30:00;47;84;52;96;99;26;0;2;6;1;0;2;0
2020-07-13 18:45:00;43;75;41;71;64;22;0;2;8;0;5;0;0
2020-07-13 19:00:00;49;57;33;85;75;20;0;0;8;0;2;1;0
2020-07-13 19:15:00;29;47;36;74;64;13;0;1;10;0;0;0;16
2020-07-13 19:30:00;28;48;32;66;58;17;0;0;5;0;0;16;0
2020-07-13 19:45:00;35;52;27;82;58;17;0;2;1;0;0;1;0
2020-07-13 20:00:00;32;47;32;69;56;14;0;0;0;0;1;0;0
2020-07-13 20:15:00;33;57;35;67;53;8;0;0;3;0;0;2;0
2020-07-13 20:30:00;20;31;29;63;57;9;0;0;0;0;0;2;0
2020-07-13 20:45:00;19;34;24;55;54;3;0;0;0;0;0;0;0
2020-07-13 21:00:00;12;39;24;75;73;8;0;0;8;0;0;10;0
2020-07-13 21:15:00;24;34;30;78;87;4;0;1;18;0;0;0;0
2020-07-13 21:30:00;20;52;18;67;55;6;0;0;5;0;0;41;0
2020-07-13 21:45:00;38;63;14;49;37;6;0;0;6;0;0;1;0
2020-07-13 22:00:00;29;63;26;43;28;8;0;0;0;2;0;0;0
2020-07-13 22:15:00;29;50;22;35;32;6;0;1;0;0;0;0;0
2020-07-13 22:30:00;8;23;13;30;15;7;0;0;2;0;0;4;0
2020-07-13 22:45:00;8;15;16;34;18;5;0;0;0;0;0;0;0
2020-07-13 23:00:00;6;8;8;31;25;4;0;0;0;0;0;0;0
2020-07-13 23:15:00;11;12;7;17;16;2;0;0;0;0;0;0;0
2020-07-13 23:30:00;6;11;6;11;14;4;0;0;0;0;0;0;0
2020-07-13 23:45:00;9;13;10;15;10;4;0;0;0;0;0;0;0
