DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DDR1);7(DDL1)
2020-03-09 00:00:00;20;2;11;2;3;2;1
2020-03-09 00:15:00;19;3;12;6;3;5;2
2020-03-09 00:30:00;10;2;14;4;3;4;2
2020-03-09 00:45:00;10;2;2;4;2;2;6
2020-03-09 01:00:00;9;0;8;1;3;1;2
2020-03-09 01:15:00;7;4;4;3;5;6;4
2020-03-09 01:30:00;7;3;7;2;3;2;1
2020-03-09 01:45:00;8;3;6;2;5;7;2
2020-03-09 02:00:00;10;0;7;1;1;4;3
2020-03-09 02:15:00;6;3;12;3;3;2;1
2020-03-09 02:30:00;4;1;6;1;1;2;3
2020-03-09 02:45:00;7;0;6;2;5;8;4
2020-03-09 03:00:00;11;1;4;4;5;7;6
2020-03-09 03:15:00;6;4;9;0;2;6;2
2020-03-09 03:30:00;4;0;6;0;2;5;4
2020-03-09 03:45:00;11;3;6;4;7;5;0
2020-03-09 04:00:00;4;3;10;1;3;6;8
2020-03-09 04:15:00;9;11;13;3;4;3;0
2020-03-09 04:30:00;9;9;24;3;1;1;1
2020-03-09 04:45:00;24;7;35;10;5;2;0
2020-03-09 05:00:00;25;26;57;20;1;2;2
2020-03-09 05:15:00;57;28;114;36;1;0;0
2020-03-09 05:30:00;61;27;117;52;1;2;0
2020-03-09 05:45:00;61;37;126;58;2;1;1
2020-03-09 06:00:00;58;34;127;70;3;0;0
2020-03-09 06:15:00;91;55;181;97;5;1;0
2020-03-09 06:30:00;105;64;183;95;6;0;1
2020-03-09 06:45:00;148;82;187;108;6;0;1
2020-03-09 07:00:00;178;89;208;105;11;3;1
2020-03-09 07:15:00;190;119;222;119;19;2;0
2020-03-09 07:30:00;222;142;210;113;17;2;0
2020-03-09 07:45:00;202;133;224;113;12;2;0
2020-03-09 08:00:00;180;103;218;107;11;1;0
2020-03-09 08:15:00;160;98;187;123;10;0;2
2020-03-09 08:30:00;147;120;178;114;15;1;1
2020-03-09 08:45:00;150;99;154;86;13;1;0
2020-03-09 09:00:00;128;91;148;80;15;3;1
2020-03-09 09:15:00;135;106;146;69;14;2;1
2020-03-09 09:30:00;132;106;162;71;13;0;1
2020-03-09 09:45:00;130;99;156;80;7;0;3
2020-03-09 10:00:00;127;99;171;83;13;0;2
2020-03-09 10:15:00;127;89;145;66;11;2;0
2020-03-09 10:30:00;150;95;149;67;7;3;1
2020-03-09 10:45:00;137;112;154;84;6;5;4
2020-03-09 11:00:00;124;97;151;78;3;2;6
2020-03-09 11:15:00;128;104;148;84;7;3;1
2020-03-09 11:30:00;142;82;165;80;12;2;0
2020-03-09 11:45:00;135;94;150;76;8;3;3
2020-03-09 12:00:00;163;105;151;84;9;1;6
2020-03-09 12:15:00;128;93;150;66;9;9;7
2020-03-09 12:30:00;149;95;145;94;12;4;2
2020-03-09 12:45:00;158;85;171;84;16;1;5
2020-03-09 13:00:00;148;95;167;84;7;1;2
2020-03-09 13:15:00;150;103;156;84;12;3;3
2020-03-09 13:30:00;164;99;171;102;12;2;5
2020-03-09 13:45:00;157;97;168;87;8;5;0
2020-03-09 14:00:00;168;112;166;80;13;4;0
2020-03-09 14:15:00;165;123;149;88;8;2;1
2020-03-09 14:30:00;163;117;165;75;14;1;3
2020-03-09 14:45:00;179;140;152;100;18;3;2
2020-03-09 15:00:00;176;150;174;97;9;3;5
2020-03-09 15:15:00;205;143;160;107;7;1;4
2020-03-09 15:30:00;199;150;188;114;9;3;7
2020-03-09 15:45:00;204;165;181;111;15;4;2
2020-03-09 16:00:00;221;156;189;113;12;6;11
2020-03-09 16:15:00;218;195;180;105;26;3;4
2020-03-09 16:30:00;215;169;186;91;12;4;2
2020-03-09 16:45:00;216;170;178;104;17;5;7
2020-03-09 17:00:00;228;176;211;112;17;6;2
2020-03-09 17:15:00;239;196;200;102;22;5;12
2020-03-09 17:30:00;216;154;194;112;4;1;6
2020-03-09 17:45:00;203;164;193;114;15;4;2
2020-03-09 18:00:00;206;138;185;98;18;10;3
2020-03-09 18:15:00;199;115;169;83;14;7;1
2020-03-09 18:30:00;172;123;148;92;9;6;1
2020-03-09 18:45:00;158;99;124;75;6;3;3
2020-03-09 19:00:00;155;100;132;61;8;3;0
2020-03-09 19:15:00;129;73;124;60;4;3;2
2020-03-09 19:30:00;95;62;107;58;6;2;0
2020-03-09 19:45:00;97;67;103;69;3;0;2
2020-03-09 20:00:00;85;60;99;34;4;0;4
2020-03-09 20:15:00;74;56;85;46;1;5;0
2020-03-09 20:30:00;85;42;66;43;3;0;0
2020-03-09 20:45:00;71;42;80;45;3;0;0
2020-03-09 21:00:00;51;33;101;40;1;0;3
2020-03-09 21:15:00;79;40;92;35;0;0;0
2020-03-09 21:30:00;55;30;63;26;6;1;1
2020-03-09 21:45:00;86;66;51;22;6;1;2
2020-03-09 22:00:00;52;53;61;29;5;2;1
2020-03-09 22:15:00;54;44;64;32;2;4;0
2020-03-09 22:30:00;39;32;41;24;2;0;5
2020-03-09 22:45:00;37;22;31;12;3;2;0
2020-03-09 23:00:00;23;11;31;7;4;2;0
2020-03-09 23:15:00;27;12;32;9;7;1;3
2020-03-09 23:30:00;23;8;14;4;5;4;2
2020-03-09 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
