DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(DD1);8(DE1);9(DE2);10(DE3);11(DF1);12(DG1)
2020-08-08 00:00:00;55;14;10;20;18;27;52;23;31;0;0;4
2020-08-08 00:15:00;36;20;6;27;16;17;42;15;20;0;0;2
2020-08-08 00:30:00;36;11;7;21;14;20;40;20;26;0;1;2
2020-08-08 00:45:00;26;8;3;14;13;20;28;19;16;2;2;3
2020-08-08 01:00:00;25;10;6;8;10;14;24;14;11;0;0;1
2020-08-08 01:15:00;20;6;3;8;6;18;19;7;16;0;0;2
2020-08-08 01:30:00;22;9;5;5;9;15;22;9;14;0;0;0
2020-08-08 01:45:00;21;13;1;3;12;14;21;14;18;1;0;0
2020-08-08 02:00:00;15;6;1;4;3;9;16;8;10;4;0;2
2020-08-08 02:15:00;19;7;0;5;5;12;19;6;12;0;0;0
2020-08-08 02:30:00;10;4;2;4;5;8;12;5;8;0;0;0
2020-08-08 02:45:00;15;6;1;3;2;6;15;5;7;0;0;0
2020-08-08 03:00:00;10;7;0;6;3;6;10;3;6;0;1;0
2020-08-08 03:15:00;14;10;0;1;6;10;16;6;8;0;0;1
2020-08-08 03:30:00;9;4;1;1;4;8;9;6;6;0;0;0
2020-08-08 03:45:00;8;5;0;2;7;8;8;6;7;2;0;1
2020-08-08 04:00:00;7;5;0;3;5;8;9;5;9;0;0;1
2020-08-08 04:15:00;24;8;0;4;6;5;23;5;5;0;0;0
2020-08-08 04:30:00;10;4;2;1;5;8;10;7;8;0;0;0
2020-08-08 04:45:00;14;10;2;2;7;3;15;8;5;0;0;0
2020-08-08 05:00:00;12;8;1;2;9;9;16;11;8;1;0;0
2020-08-08 05:15:00;25;10;1;1;9;10;23;8;9;0;0;0
2020-08-08 05:30:00;30;12;0;1;23;29;31;19;28;0;0;2
2020-08-08 05:45:00;37;13;4;6;14;25;33;20;34;0;0;4
2020-08-08 06:00:00;49;15;1;3;15;13;49;13;15;0;0;0
2020-08-08 06:15:00;34;11;2;7;20;14;33;18;13;0;0;1
2020-08-08 06:30:00;45;20;5;3;16;21;52;24;29;0;0;3
2020-08-08 06:45:00;46;16;5;11;20;9;50;23;18;0;0;2
2020-08-08 07:00:00;58;19;12;7;13;16;63;17;25;0;1;1
2020-08-08 07:15:00;36;17;7;9;29;28;41;31;30;0;1;4
2020-08-08 07:30:00;73;23;10;10;32;31;81;30;36;0;0;4
2020-08-08 07:45:00;57;17;14;7;40;56;64;38;52;4;2;1
2020-08-08 08:00:00;68;26;7;8;42;56;79;34;54;1;3;9
2020-08-08 08:15:00;73;20;15;14;42;45;80;39;51;1;2;4
2020-08-08 08:30:00;110;28;16;16;55;68;121;53;74;1;2;13
2020-08-08 08:45:00;103;32;22;22;62;84;103;69;93;2;0;7
2020-08-08 09:00:00;112;29;16;24;62;81;119;69;86;3;0;9
2020-08-08 09:15:00;130;26;29;22;62;88;142;73;99;0;2;9
2020-08-08 09:30:00;129;26;24;26;56;97;153;69;98;1;4;14
2020-08-08 09:45:00;163;27;24;30;67;105;186;75;115;2;3;7
2020-08-08 10:00:00;165;31;24;20;66;124;171;71;124;0;3;13
2020-08-08 10:15:00;148;23;30;27;76;121;161;93;124;2;1;8
2020-08-08 10:30:00;162;36;30;33;79;121;186;92;122;4;4;19
2020-08-08 10:45:00;173;30;33;32;95;113;197;91;132;2;1;8
2020-08-08 11:00:00;175;27;36;35;62;96;190;95;107;2;4;16
2020-08-08 11:15:00;182;43;31;28;65;102;202;78;102;4;1;7
2020-08-08 11:30:00;177;36;19;32;77;114;196;85;117;1;1;7
2020-08-08 11:45:00;187;33;36;33;54;98;203;80;110;4;0;4
2020-08-08 12:00:00;183;38;38;38;61;105;196;87;110;1;3;6
2020-08-08 12:15:00;186;35;29;43;58;108;199;76;122;2;0;11
2020-08-08 12:30:00;174;33;40;39;68;106;178;97;113;3;4;9
2020-08-08 12:45:00;181;16;32;38;71;119;186;98;123;1;0;8
2020-08-08 13:00:00;204;30;36;50;56;113;211;83;122;2;0;9
2020-08-08 13:15:00;184;38;21;38;64;102;198;85;107;1;1;9
2020-08-08 13:30:00;208;30;22;39;79;128;220;99;135;2;3;5
2020-08-08 13:45:00;212;37;28;36;84;127;229;93;131;2;7;12
2020-08-08 14:00:00;187;27;20;53;65;116;200;80;123;0;0;9
2020-08-08 14:15:00;180;33;27;34;59;113;185;74;112;1;7;13
2020-08-08 14:30:00;199;24;15;39;62;112;214;79;110;0;2;5
2020-08-08 14:45:00;230;39;30;41;62;115;240;89;114;2;1;8
2020-08-08 15:00:00;160;31;25;41;68;103;157;86;102;1;0;8
2020-08-08 15:15:00;193;36;18;36;51;95;193;68;108;0;1;10
2020-08-08 15:30:00;151;31;16;31;33;46;142;68;86;2;1;8
2020-08-08 15:45:00;159;40;21;34;37;64;144;81;101;0;0;5
2020-08-08 16:00:00;148;27;29;64;43;97;130;95;130;1;0;7
2020-08-08 16:15:00;170;29;17;27;34;78;143;83;107;2;2;11
2020-08-08 16:30:00;205;40;19;33;34;103;180;139;105;3;2;9
2020-08-08 16:45:00;165;28;24;39;45;80;123;129;97;0;0;16
2020-08-08 17:00:00;162;34;20;38;41;75;95;66;103;1;2;13
2020-08-08 17:15:00;182;35;18;17;41;89;139;73;105;1;0;6
2020-08-08 17:30:00;183;35;23;23;54;74;151;74;102;0;2;10
2020-08-08 17:45:00;202;26;18;24;49;88;166;61;99;2;1;5
2020-08-08 18:00:00;191;29;17;38;50;94;154;73;102;2;1;11
2020-08-08 18:15:00;179;32;19;26;67;89;161;77;99;3;0;15
2020-08-08 18:30:00;172;23;22;30;48;95;124;75;106;1;2;8
2020-08-08 18:45:00;162;36;17;21;47;98;138;73;97;0;0;11
2020-08-08 19:00:00;152;19;10;18;54;85;108;62;87;1;3;9
2020-08-08 19:15:00;144;25;11;22;51;78;71;66;96;2;0;11
2020-08-08 19:30:00;156;23;11;18;38;80;58;53;77;0;0;9
2020-08-08 19:45:00;136;31;13;25;44;94;131;62;87;1;3;8
2020-08-08 20:00:00;157;27;15;35;61;68;103;62;86;0;1;13
2020-08-08 20:15:00;141;23;13;34;38;55;139;59;78;1;1;8
2020-08-08 20:30:00;138;31;13;15;32;58;146;55;71;1;0;8
2020-08-08 20:45:00;113;33;11;30;48;51;123;47;75;0;0;9
2020-08-08 21:00:00;100;24;15;25;34;49;110;47;52;0;4;11
2020-08-08 21:15:00;105;35;11;17;32;34;117;46;43;1;0;8
2020-08-08 21:30:00;97;22;7;17;26;54;99;35;48;0;1;6
2020-08-08 21:45:00;74;9;11;28;33;46;70;42;50;1;2;11
2020-08-08 22:00:00;79;15;11;27;31;36;87;40;46;1;0;5
