DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(TAFGA);9(TAFGC)
2020-08-23 00:00:00;5;7;12;4;2;0;10;0;0
2020-08-23 00:15:00;15;14;30;4;5;2;16;0;0
2020-08-23 00:30:00;7;9;12;1;0;0;16;0;0
2020-08-23 00:45:00;11;10;18;4;1;0;9;0;0
2020-08-23 01:00:00;12;11;18;2;1;1;12;0;0
2020-08-23 01:15:00;11;17;22;2;2;2;12;0;0
2020-08-23 01:30:00;3;9;11;0;0;1;9;0;0
2020-08-23 01:45:00;4;6;8;0;0;0;4;0;0
2020-08-23 02:00:00;3;6;10;2;0;0;7;0;0
2020-08-23 02:15:00;2;2;4;2;1;2;7;0;0
2020-08-23 02:30:00;6;5;11;1;0;1;9;0;0
2020-08-23 02:45:00;5;5;8;1;0;0;2;0;0
2020-08-23 03:00:00;4;8;11;1;0;0;5;0;0
2020-08-23 03:15:00;1;2;4;0;0;0;3;0;0
2020-08-23 03:30:00;4;7;11;0;1;0;3;0;0
2020-08-23 03:45:00;2;3;2;1;1;0;0;0;0
2020-08-23 04:00:00;3;5;8;0;0;0;5;0;0
2020-08-23 04:15:00;1;3;5;0;0;0;5;0;0
2020-08-23 04:30:00;0;1;1;2;0;0;0;0;0
2020-08-23 04:45:00;1;2;3;0;0;0;3;0;0
2020-08-23 05:00:00;0;2;3;0;0;0;4;0;0
2020-08-23 05:15:00;1;4;4;0;0;1;3;0;0
2020-08-23 05:30:00;2;6;8;5;1;0;8;0;0
2020-08-23 05:45:00;2;3;5;2;0;1;5;0;0
2020-08-23 06:00:00;1;2;4;1;0;0;5;0;0
2020-08-23 06:15:00;2;3;5;1;0;1;7;0;0
2020-08-23 06:30:00;3;1;7;2;0;0;10;0;0
2020-08-23 06:45:00;2;5;7;2;1;0;5;0;0
2020-08-23 07:00:00;5;7;13;0;0;2;8;0;0
2020-08-23 07:15:00;7;5;8;2;0;0;4;1;0
2020-08-23 07:30:00;6;6;8;1;1;1;8;0;0
2020-08-23 07:45:00;4;7;12;6;0;0;10;0;0
2020-08-23 08:00:00;8;12;17;1;0;0;8;0;0
2020-08-23 08:15:00;9;10;20;3;0;1;16;0;0
2020-08-23 08:30:00;13;8;18;2;0;1;11;0;0
2020-08-23 08:45:00;7;6;18;3;0;4;18;0;0
2020-08-23 09:00:00;14;11;22;2;2;0;16;0;1
2020-08-23 09:15:00;11;11;23;6;4;0;21;3;1
2020-08-23 09:30:00;19;18;32;4;2;0;23;0;0
2020-08-23 09:45:00;17;6;20;7;6;0;15;0;2
2020-08-23 10:00:00;20;21;41;9;2;1;32;1;7
2020-08-23 10:15:00;16;19;35;4;2;1;29;0;3
2020-08-23 10:30:00;17;23;38;3;1;1;23;0;0
2020-08-23 10:45:00;11;21;33;10;5;2;31;1;4
2020-08-23 11:00:00;24;26;49;7;6;4;41;7;0
2020-08-23 11:15:00;15;20;35;4;4;1;34;1;1
2020-08-23 11:30:00;23;27;44;12;6;2;31;14;4
2020-08-23 11:45:00;15;26;38;4;5;3;33;1;3
2020-08-23 12:00:00;25;24;37;10;4;2;37;4;0
2020-08-23 12:15:00;25;36;61;6;4;2;36;2;0
2020-08-23 12:30:00;16;17;36;10;4;1;44;9;4
2020-08-23 12:45:00;19;26;42;4;3;1;41;0;1
2020-08-23 13:00:00;31;25;54;12;4;4;45;1;1
2020-08-23 13:15:00;32;33;52;6;5;2;31;1;4
2020-08-23 13:30:00;21;20;42;11;8;3;50;0;0
2020-08-23 13:45:00;19;19;39;11;6;1;40;2;0
2020-08-23 14:00:00;22;19;42;12;6;3;49;5;4
2020-08-23 14:15:00;27;22;47;11;6;2;47;4;3
2020-08-23 14:30:00;23;32;45;12;8;4;40;2;1
2020-08-23 14:45:00;36;33;63;8;4;2;50;0;4
2020-08-23 15:00:00;26;23;42;11;6;0;41;2;1
2020-08-23 15:15:00;20;24;38;14;6;5;44;2;0
2020-08-23 15:30:00;32;29;59;8;7;5;44;12;2
2020-08-23 15:45:00;28;27;52;4;4;1;50;11;1
2020-08-23 16:00:00;24;15;32;10;10;4;44;8;1
2020-08-23 16:15:00;23;22;40;9;3;0;38;3;3
2020-08-23 16:30:00;30;22;44;10;6;2;47;0;1
2020-08-23 16:45:00;21;31;49;5;5;1;49;8;0
2020-08-23 17:00:00;27;31;52;8;6;1;43;1;0
2020-08-23 17:15:00;13;27;42;12;6;2;51;2;4
2020-08-23 17:30:00;24;28;51;10;5;2;40;4;4
2020-08-23 17:45:00;21;32;52;12;5;4;58;6;0
2020-08-23 18:00:00;19;26;37;11;6;3;41;2;8
2020-08-23 18:15:00;36;27;57;6;4;0;58;7;5
2020-08-23 18:30:00;26;19;36;9;4;5;53;3;8
