DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2);10(DE1);11(DF1);12(TAFGA)
2020-01-13 00:00:00;1;1;2;0;0;0;3;0;1;0;0;0
2020-01-13 00:15:00;3;1;3;1;5;0;6;0;0;0;0;0
2020-01-13 00:30:00;3;3;3;0;1;2;6;0;0;0;0;0
2020-01-13 00:45:00;2;2;2;0;0;1;5;0;0;0;0;0
2020-01-13 01:00:00;1;2;3;0;0;1;3;0;0;0;0;0
2020-01-13 01:15:00;0;0;0;0;1;0;0;0;0;0;0;0
2020-01-13 01:30:00;1;1;2;0;0;3;4;0;1;0;0;0
2020-01-13 01:45:00;2;0;1;0;0;0;0;0;0;0;0;0
2020-01-13 02:00:00;1;0;0;0;0;0;0;0;0;0;0;0
2020-01-13 02:15:00;1;1;1;0;0;1;1;0;0;0;0;0
2020-01-13 02:30:00;0;0;0;0;0;0;0;0;0;0;0;0
2020-01-13 02:45:00;0;0;0;0;0;0;1;0;0;0;0;0
2020-01-13 03:00:00;0;1;1;1;1;1;3;0;0;0;0;0
2020-01-13 03:15:00;1;1;2;0;0;1;1;0;0;0;0;0
2020-01-13 03:30:00;0;0;0;0;0;0;1;0;0;0;0;0
2020-01-13 03:45:00;0;1;1;0;0;0;0;0;0;0;0;0
2020-01-13 04:00:00;0;2;2;0;0;0;0;0;0;0;0;0
2020-01-13 04:15:00;1;1;1;2;1;0;3;0;0;0;0;0
2020-01-13 04:30:00;1;0;0;0;0;0;3;0;0;0;0;0
2020-01-13 04:45:00;4;2;3;0;0;0;8;0;0;1;0;0
2020-01-13 05:00:00;3;3;4;0;0;2;16;0;0;0;0;0
2020-01-13 05:15:00;8;10;11;2;1;3;34;0;0;1;0;0
2020-01-13 05:30:00;9;12;15;0;1;3;48;0;0;1;254;0
2020-01-13 05:45:00;16;19;19;0;3;3;23;0;0;0;0;0
2020-01-13 06:00:00;15;18;24;1;2;9;40;0;2;1;0;0
2020-01-13 06:15:00;17;8;14;1;1;4;23;0;1;0;0;0
2020-01-13 06:30:00;18;16;24;0;0;8;60;256;2;1;0;0
2020-01-13 06:45:00;36;28;32;1;2;15;60;6;2;1;0;0
2020-01-13 07:00:00;28;19;29;2;1;13;55;0;3;4;0;0
2020-01-13 07:15:00;44;40;51;1;2;12;63;0;2;6;0;0
2020-01-13 07:30:00;63;49;68;4;3;24;74;1;4;2;0;0
2020-01-13 07:45:00;39;44;55;3;1;17;55;257;5;5;0;0
2020-01-13 08:00:00;44;50;56;5;4;21;71;257;4;3;0;1
2020-01-13 08:15:00;48;34;42;1;3;14;54;254;8;0;0;0
2020-01-13 08:30:00;68;59;69;3;4;19;51;8;12;1;0;3
2020-01-13 08:45:00;59;60;67;3;8;14;36;7;12;3;0;0
2020-01-13 09:00:00;58;68;82;2;6;17;46;263;5;0;0;1
2020-01-13 09:15:00;53;59;61;4;18;17;49;259;7;0;0;2
2020-01-13 09:30:00;63;70;81;5;13;22;47;264;16;0;0;0
2020-01-13 09:45:00;79;70;81;9;14;18;54;16;13;0;0;0
2020-01-13 10:00:00;55;65;74;12;14;19;53;262;14;1;0;0
2020-01-13 10:15:00;63;84;83;12;22;29;70;14;24;0;0;2
2020-01-13 10:30:00;80;75;67;19;24;31;74;12;25;3;0;2
2020-01-13 10:45:00;69;64;73;15;15;33;77;23;29;2;0;1
2020-01-13 11:00:00;75;63;67;18;17;33;73;23;32;1;0;0
2020-01-13 11:15:00;63;72;72;21;22;33;86;13;22;1;0;0
2020-01-13 11:30:00;77;86;86;16;27;43;99;266;15;1;0;0
2020-01-13 11:45:00;70;73;78;23;22;54;107;78;28;0;0;0
2020-01-13 12:00:00;73;74;70;34;22;41;91;16;15;1;0;1
2020-01-13 12:15:00;58;56;59;18;25;45;85;12;31;1;0;0
