DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DB1);7(TARDCL)
2020-01-18 00:00:00;28;23;18;12;1;2;0
2020-01-18 00:15:00;23;34;21;16;4;9;0
2020-01-18 00:30:00;15;16;13;19;2;5;0
2020-01-18 00:45:00;18;23;13;14;6;1;0
2020-01-18 01:00:00;11;17;11;8;5;4;0
2020-01-18 01:15:00;13;26;24;11;0;4;0
2020-01-18 01:30:00;17;22;8;7;0;4;0
2020-01-18 01:45:00;16;15;12;9;1;2;0
2020-01-18 02:00:00;17;18;11;10;1;0;0
2020-01-18 02:15:00;13;10;12;13;2;1;0
2020-01-18 02:30:00;6;11;8;8;2;3;0
2020-01-18 02:45:00;5;9;8;9;0;1;0
2020-01-18 03:00:00;6;7;7;4;1;1;0
2020-01-18 03:15:00;5;17;6;10;2;0;0
2020-01-18 03:30:00;3;2;3;5;0;2;0
2020-01-18 03:45:00;7;9;8;6;0;1;0
2020-01-18 04:00:00;5;5;4;1;2;1;0
2020-01-18 04:15:00;7;12;6;3;2;4;0
2020-01-18 04:30:00;7;10;10;1;0;1;0
2020-01-18 04:45:00;5;17;6;9;3;1;0
2020-01-18 05:00:00;14;13;17;7;2;0;0
2020-01-18 05:15:00;19;29;37;16;1;3;0
2020-01-18 05:30:00;23;27;45;28;7;1;0
2020-01-18 05:45:00;74;97;42;38;9;3;0
2020-01-18 06:00:00;105;102;22;29;6;1;0
2020-01-18 06:15:00;53;66;32;25;3;4;0
2020-01-18 06:30:00;22;42;41;27;5;5;0
2020-01-18 06:45:00;29;40;33;23;1;12;0
2020-01-18 07:00:00;27;26;28;19;5;7;3
2020-01-18 07:15:00;28;25;40;19;10;2;0
2020-01-18 07:30:00;30;42;32;35;82;4;0
2020-01-18 07:45:00;31;45;37;25;34;5;0
2020-01-18 08:00:00;25;35;35;31;167;13;1
2020-01-18 08:15:00;28;36;40;46;14;8;0
2020-01-18 08:30:00;38;32;48;49;15;10;0
2020-01-18 08:45:00;41;55;61;61;17;9;0
2020-01-18 09:00:00;42;54;59;65;19;17;0
2020-01-18 09:15:00;49;66;72;86;18;10;0
2020-01-18 09:30:00;56;82;86;105;18;21;0
2020-01-18 09:45:00;72;102;81;96;16;18;0
2020-01-18 10:00:00;74;92;97;91;55;27;0
2020-01-18 10:15:00;68;90;90;103;267;31;0
2020-01-18 10:30:00;65;102;102;113;27;18;0
2020-01-18 10:45:00;79;113;98;128;27;22;0
2020-01-18 11:00:00;79;129;102;131;21;16;6
2020-01-18 11:15:00;83;124;102;125;17;18;0
2020-01-18 11:30:00;75;137;98;134;18;35;1
2020-01-18 11:45:00;89;153;101;138;17;27;1
2020-01-18 12:00:00;91;129;110;142;36;19;0
2020-01-18 12:15:00;78;150;98;138;19;34;0
2020-01-18 12:30:00;100;170;106;130;23;30;0
2020-01-18 12:45:00;98;144;119;123;22;18;0
2020-01-18 13:00:00;100;148;105;150;31;35;0
2020-01-18 13:15:00;92;150;122;138;94;22;0
2020-01-18 13:30:00;98;146;127;143;27;36;0
2020-01-18 13:45:00;104;184;121;161;26;30;0
2020-01-18 14:00:00;114;165;126;160;33;53;4
2020-01-18 14:15:00;99;152;117;131;43;32;0
2020-01-18 14:30:00;111;156;126;148;105;36;0
2020-01-18 14:45:00;107;164;126;153;48;31;1
2020-01-18 15:00:00;112;165;111;135;33;29;0
2020-01-18 15:15:00;84;161;132;152;21;41;0
2020-01-18 15:30:00;90;154;122;132;28;38;0
2020-01-18 15:45:00;103;153;128;144;31;36;2
2020-01-18 16:00:00;108;175;114;118;24;39;0
2020-01-18 16:15:00;106;165;133;139;75;39;0
2020-01-18 16:30:00;110;159;112;135;23;26;0
2020-01-18 16:45:00;110;159;113;124;28;25;4
2020-01-18 17:00:00;97;156;110;150;23;37;0
2020-01-18 17:15:00;101;161;106;132;23;42;0
2020-01-18 17:30:00;103;139;144;128;27;33;1
2020-01-18 17:45:00;97;181;120;132;28;31;3
2020-01-18 18:00:00;98;150;119;117;22;37;0
2020-01-18 18:15:00;91;140;104;102;21;36;1
2020-01-18 18:30:00;73;139;94;111;220;21;0
2020-01-18 18:45:00;79;134;97;111;18;24;0
2020-01-18 19:00:00;86;117;92;115;46;23;0
2020-01-18 19:15:00;64;103;81;110;17;22;0
2020-01-18 19:30:00;86;113;70;66;17;25;0
2020-01-18 19:45:00;72;100;68;81;13;19;0
2020-01-18 20:00:00;79;106;56;62;5;13;0
2020-01-18 20:15:00;75;111;62;64;12;9;0
2020-01-18 20:30:00;40;74;57;54;9;13;0
2020-01-18 20:45:00;45;41;59;55;11;7;0
2020-01-18 21:00:00;46;57;52;42;8;14;0
2020-01-18 21:15:00;39;46;47;31;5;9;0
2020-01-18 21:30:00;52;60;55;50;2;9;0
2020-01-18 21:45:00;53;61;40;33;3;5;0
2020-01-18 22:00:00;67;87;43;45;5;4;0
2020-01-18 22:15:00;38;50;35;23;3;8;0
2020-01-18 22:30:00;64;85;40;48;3;6;0
2020-01-18 22:45:00;25;46;53;45;4;7;0
2020-01-18 23:00:00;50;62;48;36;4;8;0
2020-01-18 23:15:00;39;37;41;32;1;7;0
2020-01-18 23:30:00;33;38;42;19;2;5;0
2020-01-18 23:45:00;31;33;34;23;6;7;0
