DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(DC3);10(DD1);11(DE1)
2020-05-28 00:00:00;8;4;1;1;0;1;15;2;0;0;0
2020-05-28 00:15:00;12;3;1;0;2;3;12;4;0;1;0
2020-05-28 00:30:00;5;5;1;1;0;2;6;1;0;0;0
2020-05-28 00:45:00;6;1;0;0;0;1;8;2;0;2;0
2020-05-28 01:00:00;2;2;1;2;0;1;8;3;0;2;0
2020-05-28 01:15:00;4;3;0;0;0;0;5;3;0;0;0
2020-05-28 01:30:00;7;4;1;3;0;5;10;1;0;2;0
2020-05-28 01:45:00;6;5;1;1;0;3;4;1;0;0;0
2020-05-28 02:00:00;10;3;0;0;0;0;11;0;0;2;0
2020-05-28 02:15:00;4;4;2;1;0;2;8;0;0;0;0
2020-05-28 02:30:00;6;4;1;2;0;3;4;1;0;1;0
2020-05-28 02:45:00;4;2;0;1;0;3;5;1;0;1;0
2020-05-28 03:00:00;5;4;0;1;0;1;4;4;0;1;0
2020-05-28 03:15:00;1;4;3;1;0;1;3;2;0;0;0
2020-05-28 03:30:00;1;6;0;1;0;2;10;4;0;0;0
2020-05-28 03:45:00;5;3;1;2;0;4;8;1;0;0;0
2020-05-28 04:00:00;2;5;0;1;0;4;14;1;0;2;0
2020-05-28 04:15:00;7;6;1;0;0;0;14;0;0;0;1
2020-05-28 04:30:00;12;6;3;0;0;0;18;5;0;1;0
2020-05-28 04:45:00;11;9;0;2;0;3;31;13;0;2;0
2020-05-28 05:00:00;22;15;8;1;0;1;71;36;0;2;0
2020-05-28 05:15:00;30;12;8;3;0;9;98;80;0;8;0
2020-05-28 05:30:00;45;30;20;11;2;15;88;86;0;3;0
2020-05-28 05:45:00;79;26;22;17;1;25;81;67;1;2;0
2020-05-28 06:00:00;104;44;43;16;5;25;79;64;1;3;1
2020-05-28 06:15:00;71;36;34;22;4;34;106;103;1;6;1
2020-05-28 06:30:00;16;7;4;3;2;7;22;20;0;1;0
2020-05-28 06:45:00;65;44;42;29;8;41;92;107;1;6;2
2020-05-28 07:00:00;55;37;34;52;15;69;112;122;1;10;1
2020-05-28 07:15:00;64;41;44;60;22;82;113;132;3;12;0
2020-05-28 07:30:00;76;31;32;43;20;65;111;141;0;13;0
2020-05-28 07:45:00;79;33;32;37;14;53;103;123;4;4;1
2020-05-28 08:00:00;74;43;34;24;7;31;111;114;0;12;0
2020-05-28 08:15:00;72;31;18;33;10;47;95;86;1;14;2
2020-05-28 08:30:00;78;38;34;20;3;28;85;86;0;6;1
2020-05-28 08:45:00;76;40;27;18;9;25;73;77;3;13;1
2020-05-28 09:00:00;85;39;30;22;9;36;85;71;2;7;1
2020-05-28 09:15:00;85;35;34;20;6;27;82;84;0;9;2
2020-05-28 09:30:00;98;42;23;20;6;29;88;80;2;8;3
2020-05-28 09:45:00;92;33;26;17;7;26;94;79;0;4;0
2020-05-28 10:00:00;89;27;16;10;4;19;83;71;5;9;4
2020-05-28 10:15:00;95;35;26;14;2;18;85;85;1;6;4
2020-05-28 10:30:00;109;36;22;26;4;30;81;76;1;11;1
2020-05-28 10:45:00;101;38;25;20;4;27;82;65;2;9;2
2020-05-28 11:00:00;110;37;25;15;3;21;90;72;1;14;0
2020-05-28 11:15:00;108;46;46;13;3;17;72;69;0;16;2
2020-05-28 11:30:00;112;39;34;17;9;27;90;71;1;16;0
2020-05-28 11:45:00;113;34;35;15;2;22;87;62;0;8;3
2020-05-28 12:00:00;125;38;47;16;1;17;101;68;4;10;0
2020-05-28 12:15:00;137;51;43;15;6;22;91;80;2;12;1
2020-05-28 12:30:00;100;37;26;17;5;24;100;76;3;13;2
2020-05-28 12:45:00;105;46;31;24;6;31;91;89;3;14;2
2020-05-28 13:00:00;123;47;48;23;5;30;102;100;2;13;1
2020-05-28 13:15:00;102;39;34;17;6;31;124;106;1;15;0
2020-05-28 13:30:00;147;49;39;19;6;27;131;157;1;10;3
2020-05-28 13:45:00;101;45;47;19;6;28;126;119;0;6;1
2020-05-28 14:00:00;153;52;48;18;9;28;101;113;0;14;3
2020-05-28 14:15:00;206;86;80;20;4;23;100;76;0;9;1
2020-05-28 14:30:00;191;87;74;17;8;26;93;85;3;19;1
2020-05-28 14:45:00;166;63;68;21;7;28;94;90;2;15;1
2020-05-28 15:00:00;165;68;67;20;6;29;99;95;0;12;0
2020-05-28 15:15:00;166;71;71;18;6;22;92;84;1;12;0
2020-05-28 15:30:00;174;78;77;27;7;32;81;78;1;9;3
2020-05-28 15:45:00;188;60;59;25;4;26;87;87;4;14;0
2020-05-28 16:00:00;157;63;65;20;6;26;97;81;6;7;2
2020-05-28 16:15:00;188;94;92;17;8;26;93;95;1;12;3
2020-05-28 16:30:00;151;75;77;24;6;26;117;86;4;14;1
2020-05-28 16:45:00;160;73;65;25;4;28;112;96;2;11;2
2020-05-28 17:00:00;178;94;88;25;4;28;111;96;1;14;2
2020-05-28 17:15:00;172;76;60;21;5;30;109;89;4;12;4
2020-05-28 17:30:00;160;70;56;20;6;23;98;74;2;22;0
2020-05-28 17:45:00;134;69;47;13;4;15;108;92;3;9;1
2020-05-28 18:00:00;144;72;54;10;3;13;93;59;1;8;3
2020-05-28 18:15:00;112;55;46;8;5;14;113;81;2;12;0
2020-05-28 18:30:00;118;62;49;10;1;10;73;59;1;15;0
2020-05-28 18:45:00;106;47;28;16;5;20;65;42;0;9;0
2020-05-28 19:00:00;96;47;38;12;3;16;74;48;1;11;0
2020-05-28 19:15:00;85;36;25;16;5;21;59;46;2;10;0
2020-05-28 19:30:00;83;39;25;13;2;15;61;38;1;8;0
2020-05-28 19:45:00;83;32;13;12;4;14;60;34;0;9;0
2020-05-28 20:00:00;79;31;19;6;0;6;58;36;0;6;0
2020-05-28 20:15:00;68;27;16;15;0;16;44;21;1;7;0
2020-05-28 20:30:00;39;16;11;8;2;11;55;24;1;6;0
2020-05-28 20:45:00;55;19;9;5;2;7;59;32;0;10;1
2020-05-28 21:00:00;43;24;19;6;0;8;78;51;0;4;0
2020-05-28 21:15:00;37;19;17;4;1;8;82;50;0;3;0
2020-05-28 21:30:00;62;17;15;3;1;7;52;34;0;6;0
2020-05-28 21:45:00;93;45;43;5;0;6;21;12;0;2;0
2020-05-28 22:00:00;153;55;45;3;1;4;51;21;1;5;1
2020-05-28 22:15:00;121;50;44;8;1;9;38;10;0;7;0
2020-05-28 22:30:00;37;15;5;5;2;7;30;5;0;5;1
2020-05-28 22:45:00;17;14;8;2;0;3;31;9;0;2;0
2020-05-28 23:00:00;19;8;6;1;1;3;18;4;0;1;0
2020-05-28 23:15:00;ERROR:;ORA-12516:;TNS:listener;could;not;find;available;handler;with;matching;protocol;stack;SP2-0640:;Not;connected
2020-05-28 23:30:00;15;8;0;2;0;5;9;2;0;1;0
2020-05-28 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
