DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(TAFGA);9(TAFGC)
2020-12-13 00:00:00;3;5;7;0;0;0;5;0;0
2020-12-13 00:15:00;5;10;13;4;0;0;9;0;0
2020-12-13 00:30:00;6;8;13;1;0;0;6;0;0
2020-12-13 00:45:00;9;7;14;2;1;1;6;0;0
2020-12-13 01:00:00;0;3;6;1;1;0;8;0;0
2020-12-13 01:15:00;3;4;8;1;0;0;3;0;0
2020-12-13 01:30:00;4;4;7;0;0;1;6;0;0
2020-12-13 01:45:00;1;3;6;0;0;0;4;0;0
2020-12-13 02:00:00;1;1;2;0;0;0;3;0;0
2020-12-13 02:15:00;0;0;2;0;0;0;2;0;0
2020-12-13 02:30:00;0;1;3;1;0;0;4;0;0
2020-12-13 02:45:00;1;0;1;0;0;0;0;0;0
2020-12-13 03:00:00;1;2;4;0;0;0;6;0;0
2020-12-13 03:15:00;0;4;4;0;0;0;1;0;0
2020-12-13 03:30:00;1;0;2;0;0;0;2;0;0
2020-12-13 03:45:00;0;0;0;0;0;1;2;0;0
2020-12-13 04:00:00;0;0;0;0;0;0;1;0;0
2020-12-13 04:15:00;2;2;2;0;0;0;2;0;0
2020-12-13 04:30:00;2;2;4;0;0;0;2;0;0
2020-12-13 04:45:00;2;2;3;0;0;0;2;0;0
2020-12-13 05:00:00;1;6;10;1;0;0;6;0;0
2020-12-13 05:15:00;2;1;3;0;0;0;3;0;0
2020-12-13 05:30:00;2;1;4;3;0;1;7;0;0
2020-12-13 05:45:00;3;6;12;0;0;0;18;0;0
2020-12-13 06:00:00;1;1;3;6;1;0;4;0;0
2020-12-13 06:15:00;1;4;4;3;0;1;1;0;0
2020-12-13 06:30:00;1;2;4;1;0;0;4;0;0
2020-12-13 06:45:00;5;6;8;2;1;0;5;0;0
2020-12-13 07:00:00;4;1;6;0;0;0;5;0;0
2020-12-13 07:15:00;1;4;4;2;0;1;7;0;0
2020-12-13 07:30:00;2;7;12;1;0;1;4;0;0
2020-12-13 07:45:00;3;5;7;5;1;0;7;0;0
2020-12-13 08:00:00;4;3;9;2;0;0;11;0;0
2020-12-13 08:15:00;11;0;9;2;0;0;12;0;0
2020-12-13 08:30:00;3;5;8;3;1;2;8;0;0
2020-12-13 08:45:00;6;5;12;1;0;1;16;0;0
2020-12-13 09:00:00;8;10;17;6;4;0;9;0;0
2020-12-13 09:15:00;5;14;17;3;2;0;13;0;0
