DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DB2);7(DB3);8(DC1);9(DC2);10(DC3);11(DD1);12(DD2);13(DD3)
2020-02-03 00:00:00;0;8;3;0;5;3;1;9;4;0;3;5;4
2020-02-03 00:15:00;0;9;5;2;0;7;2;6;1;2;3;3;3
2020-02-03 00:30:00;0;5;5;0;1;6;0;7;4;1;6;7;2
2020-02-03 00:45:00;0;3;3;1;1;8;0;2;5;3;6;4;3
2020-02-03 01:00:00;0;5;5;0;1;2;0;5;3;3;1;4;1
2020-02-03 01:15:00;0;6;5;0;0;3;1;1;1;0;4;5;3
2020-02-03 01:30:00;0;3;1;1;1;3;2;4;2;1;4;2;1
2020-02-03 01:45:00;0;3;2;1;0;1;0;2;1;1;2;2;2
2020-02-03 02:00:00;0;1;4;0;1;1;2;0;0;1;3;2;3
2020-02-03 02:15:00;0;1;1;0;1;1;0;0;1;0;7;8;6
2020-02-03 02:30:00;0;5;3;0;3;5;2;1;1;1;7;7;1
2020-02-03 02:45:00;0;0;2;0;2;5;1;0;1;0;7;6;0
2020-02-03 03:00:00;0;2;2;0;2;4;0;0;1;3;4;2;1
2020-02-03 03:15:00;0;1;0;1;0;1;0;1;0;1;3;1;4
2020-02-03 03:30:00;0;1;1;0;4;5;1;2;1;0;3;2;1
2020-02-03 03:45:00;0;3;1;0;1;4;1;2;3;1;1;4;2
2020-02-03 04:00:00;0;6;1;0;0;4;3;1;0;1;4;4;4
2020-02-03 04:15:00;0;10;6;3;2;8;2;9;7;3;11;6;2
2020-02-03 04:30:00;0;13;7;0;5;7;6;13;5;0;25;17;9
2020-02-03 04:45:00;0;8;8;3;5;14;4;18;3;1;30;27;11
2020-02-03 05:00:00;0;19;13;1;5;15;11;33;16;2;68;62;14
2020-02-03 05:15:00;0;23;14;4;7;18;8;46;37;8;66;88;15
2020-02-03 05:30:00;0;19;16;2;13;35;17;61;45;2;81;98;23
2020-02-03 05:45:00;0;21;24;1;22;33;6;63;47;1;65;68;64
2020-02-03 06:00:00;0;18;18;1;20;46;12;59;62;4;57;60;17
2020-02-03 06:15:00;0;36;25;4;16;40;9;72;75;3;86;86;18
2020-02-03 06:30:00;0;31;31;6;34;53;20;112;128;3;85;87;40
2020-02-03 06:45:00;0;41;40;2;31;55;17;104;131;9;87;92;45
2020-02-03 07:00:00;0;47;48;6;28;56;12;146;164;6;85;87;46
2020-02-03 07:15:00;0;43;38;5;37;66;14;149;164;8;100;98;50
2020-02-03 07:30:00;0;56;62;9;72;68;30;174;169;10;111;95;71
2020-02-03 07:45:00;0;76;71;7;47;67;20;107;121;10;91;94;89
2020-02-03 08:00:00;0;78;75;10;61;75;19;132;166;9;107;104;92
2020-02-03 08:15:00;0;47;34;9;44;58;20;98;104;12;82;211;78
2020-02-03 08:30:00;0;72;72;15;63;74;26;121;134;13;96;89;57
2020-02-03 08:45:00;0;48;47;12;50;61;15;95;85;9;71;79;38
2020-02-03 09:00:00;0;53;45;9;31;48;20;71;67;11;54;71;45
2020-02-03 09:15:00;0;58;49;9;49;62;22;84;72;9;55;61;53
2020-02-03 09:30:00;0;58;39;7;54;71;22;99;68;19;62;59;53
2020-02-03 09:45:00;0;75;73;12;52;73;22;86;73;11;63;57;53
2020-02-03 10:00:00;0;56;63;9;50;57;17;74;48;13;60;53;55
2020-02-03 10:15:00;0;60;54;10;51;68;23;69;40;32;64;51;44
2020-02-03 10:30:00;0;59;103;9;48;57;17;64;53;13;64;54;38
2020-02-03 10:45:00;0;49;55;9;54;69;23;72;60;20;66;53;55
2020-02-03 11:00:00;0;67;55;12;58;62;20;62;49;24;69;60;50
2020-02-03 11:15:00;0;75;66;14;44;60;25;78;60;18;67;65;45
2020-02-03 11:30:00;0;56;59;5;44;67;19;80;55;17;77;69;35
2020-02-03 11:45:00;0;73;50;12;44;59;28;61;45;8;55;44;43
2020-02-03 12:00:00;0;135;67;14;49;68;21;71;56;13;61;60;51
2020-02-03 12:15:00;0;68;56;13;48;54;22;68;63;7;68;57;40
2020-02-03 12:30:00;0;81;63;10;53;71;27;62;35;13;58;59;59
2020-02-03 12:45:00;0;73;79;16;49;73;28;73;52;8;59;53;39
2020-02-03 13:00:00;0;81;78;9;59;68;38;68;60;15;68;72;44
2020-02-03 13:15:00;0;88;97;15;48;68;24;88;68;10;77;88;38
2020-02-03 13:30:00;0;75;69;14;52;73;26;88;71;14;75;87;46
2020-02-03 13:45:00;0;66;59;15;59;68;28;77;51;14;73;87;57
2020-02-03 14:00:00;0;91;79;4;84;92;27;62;38;12;55;57;48
2020-02-03 14:15:00;0;73;84;11;63;105;27;85;54;21;58;60;38
2020-02-03 14:30:00;0;97;122;18;75;117;27;79;59;21;71;73;34
2020-02-03 14:45:00;0;92;91;12;82;102;27;71;57;16;67;60;52
2020-02-03 15:00:00;0;101;102;10;90;116;42;80;58;21;120;59;56
2020-02-03 15:15:00;0;104;132;12;74;99;49;87;54;17;67;58;52
2020-02-03 15:30:00;0;100;118;22;73;97;31;85;56;12;56;67;47
2020-02-03 15:45:00;0;108;121;15;91;102;46;74;64;7;70;65;52
2020-02-03 16:00:00;0;135;152;10;103;116;52;91;71;29;78;82;48
2020-02-03 16:15:00;0;108;146;9;71;95;40;80;57;18;57;62;67
2020-02-03 16:30:00;0;138;155;14;94;110;36;93;68;14;73;72;58
2020-02-03 16:45:00;0;106;128;10;83;85;37;81;62;10;68;54;49
2020-02-03 17:00:00;0;105;108;16;97;107;33;78;72;24;72;79;51
2020-02-03 17:15:00;0;120;132;18;80;95;48;85;56;18;75;86;53
2020-02-03 17:30:00;0;92;93;14;80;102;31;79;70;21;55;65;42
2020-02-03 17:45:00;0;75;93;13;84;98;30;64;57;15;66;56;66
2020-02-03 18:00:00;0;76;83;10;68;93;29;71;48;5;53;64;41
2020-02-03 18:15:00;0;86;89;9;58;93;31;74;60;15;57;59;47
2020-02-03 18:30:00;0;61;56;8;54;75;23;62;45;12;53;44;43
2020-02-03 18:45:00;0;57;53;8;61;82;14;42;31;5;44;35;29
2020-02-03 19:00:00;0;42;41;6;38;62;18;49;19;8;49;48;33
2020-02-03 19:15:00;0;49;33;4;39;61;13;55;34;6;46;42;32
2020-02-03 19:30:00;0;37;38;5;23;43;15;37;23;3;40;35;22
2020-02-03 19:45:00;0;46;45;8;25;42;9;34;23;8;30;26;24
2020-02-03 20:00:00;0;48;43;6;19;36;10;44;23;4;33;38;32
2020-02-03 20:15:00;0;46;31;4;30;36;10;34;22;4;41;34;18
2020-02-03 20:30:00;0;36;31;3;10;29;11;36;17;2;27;35;17
2020-02-03 20:45:00;0;31;20;6;21;21;7;38;12;3;46;45;9
2020-02-03 21:00:00;0;19;27;3;18;23;5;32;14;4;67;64;15
2020-02-03 21:15:00;0;26;20;5;14;16;9;45;21;22;54;55;14
2020-02-03 21:30:00;0;25;19;4;20;25;7;33;12;1;38;47;16
2020-02-03 21:45:00;0;24;19;3;37;70;9;13;8;2;15;22;4
2020-02-03 22:00:00;0;30;34;4;32;66;15;32;13;6;14;22;17
2020-02-03 22:15:00;0;37;24;0;23;54;18;24;8;4;16;15;9
2020-02-03 22:30:00;0;18;19;4;11;32;6;19;7;1;14;16;10
2020-02-03 22:45:00;0;17;13;2;7;23;7;10;2;1;15;15;8
2020-02-03 23:00:00;0;19;9;2;5;6;1;11;6;4;12;11;6
2020-02-03 23:15:00;0;10;3;1;6;8;2;14;2;1;17;11;5
2020-02-03 23:30:00;0;9;4;1;4;9;3;7;4;1;7;3;3
2020-02-03 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
