DATUM;1(DB1);2(DB2);3(DB3);4(DC1);5(DC2);6(DC3);7(DE1);8(DE2);9(DE3);10(DR2);11(DR3);12(TA1);13(TA2);14(TA3)
2020-02-22 00:00:00;14;31;0;9;19;8;2;7;3;0;0;0;0;0
2020-02-22 00:15:00;20;29;1;13;18;11;9;5;5;0;0;0;0;0
2020-02-22 00:30:00;19;37;0;8;14;5;2;6;1;0;0;0;0;0
2020-02-22 00:45:00;14;23;0;9;24;5;5;9;6;0;0;0;0;0
2020-02-22 01:00:00;5;19;0;8;12;2;3;5;1;0;0;0;0;0
2020-02-22 01:15:00;13;17;1;12;21;9;3;8;7;0;0;0;0;0
2020-02-22 01:30:00;11;13;0;8;16;4;6;5;3;0;0;0;0;0
2020-02-22 01:45:00;11;17;0;9;16;6;1;8;4;0;0;0;0;0
2020-02-22 02:00:00;6;17;0;1;22;5;6;6;4;0;0;0;0;0
2020-02-22 02:15:00;8;9;0;7;14;7;8;8;4;0;0;0;0;0
2020-02-22 02:30:00;4;8;0;10;8;6;2;5;3;0;0;0;0;0
2020-02-22 02:45:00;9;16;1;3;8;4;2;6;2;0;0;0;0;0
2020-02-22 03:00:00;5;8;0;9;8;3;2;5;1;0;0;0;0;0
2020-02-22 03:15:00;5;11;0;2;11;6;2;8;4;1;0;0;0;0
2020-02-22 03:30:00;5;9;0;6;8;1;2;6;3;0;0;0;0;0
2020-02-22 03:45:00;12;9;0;6;14;7;2;4;2;0;0;0;0;0
2020-02-22 04:00:00;5;8;0;8;6;1;1;2;0;0;0;0;0;0
2020-02-22 04:15:00;4;5;0;5;13;4;1;1;0;0;0;0;0;0
2020-02-22 04:30:00;5;11;0;9;9;1;0;2;2;0;0;0;0;0
2020-02-22 04:45:00;11;10;0;10;13;3;2;2;0;0;4;0;0;0
2020-02-22 05:00:00;6;3;0;11;18;0;1;3;0;0;0;0;0;0
2020-02-22 05:15:00;18;17;0;13;19;6;2;0;2;0;0;0;0;0
2020-02-22 05:30:00;25;29;0;9;17;5;0;1;1;0;1;0;0;0
2020-02-22 05:45:00;28;47;0;31;46;3;3;3;1;0;0;0;0;0
2020-02-22 06:00:00;13;20;0;41;70;7;1;3;3;2;0;0;0;0
2020-02-22 06:15:00;21;17;0;31;51;8;0;1;0;1;0;0;0;0
2020-02-22 06:30:00;14;21;0;15;31;11;1;2;2;0;0;0;0;0
2020-02-22 06:45:00;23;24;0;20;48;9;1;2;1;1;0;0;0;0
2020-02-22 07:00:00;14;25;0;18;32;10;2;5;4;0;0;0;0;0
2020-02-22 07:15:00;19;41;0;28;31;13;0;7;5;0;1;0;0;1
2020-02-22 07:30:00;27;40;0;35;38;9;3;7;1;3;0;0;0;0
2020-02-22 07:45:00;41;49;0;36;42;24;2;9;4;0;0;0;0;0
2020-02-22 08:00:00;24;38;0;37;47;30;1;8;6;3;0;0;0;0
2020-02-22 08:15:00;38;50;0;41;47;23;6;9;8;4;0;0;0;0
2020-02-22 08:30:00;35;74;0;52;67;32;5;14;5;2;0;2;0;0
2020-02-22 08:45:00;58;116;3;48;62;29;5;16;7;17;1;0;47;0
2020-02-22 09:00:00;50;109;2;53;75;39;7;13;8;1;2;4;0;6
2020-02-22 09:15:00;68;136;0;58;67;43;12;27;6;9;0;0;8;0
2020-02-22 09:30:00;76;139;1;56;72;50;10;14;7;6;1;9;0;0
2020-02-22 09:45:00;92;157;3;84;98;70;6;15;5;19;2;0;9;1
2020-02-22 10:00:00;99;152;3;82;109;65;13;21;13;13;1;5;0;0
2020-02-22 10:15:00;91;155;5;101;109;63;13;23;10;23;0;7;2;0
2020-02-22 10:30:00;90;156;1;89;93;66;12;21;5;21;1;0;1;0
2020-02-22 10:45:00;86;143;0;103;111;72;12;22;6;20;4;4;1;11
2020-02-22 11:00:00;109;153;2;104;125;74;15;28;13;9;10;0;5;1
2020-02-22 11:15:00;98;140;4;97;99;63;6;26;14;19;5;1;72;20
2020-02-22 11:30:00;95;130;2;103;118;69;18;25;7;8;4;1;4;2
2020-02-22 11:45:00;112;166;2;98;100;61;14;37;14;17;7;0;4;5
2020-02-22 12:00:00;104;148;2;107;118;51;17;27;13;9;0;18;3;62
