DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(DC3);10(DD1);11(DD2);12(TAFGA);13(TAFBA);14(TAFBB);15(TAFGC);16(TAFBC);17(TAFBDRES)
2020-04-09 00:00:00;0;1;1;1;1;1;2;0;2;0;0;0;0;0;0;0;0
2020-04-09 00:15:00;0;1;1;0;1;0;2;2;2;0;0;0;0;0;0;0;0
2020-04-09 00:30:00;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0
2020-04-09 00:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-09 01:00:00;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
2020-04-09 01:15:00;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;0;0
2020-04-09 01:30:00;1;1;0;0;0;0;1;2;2;0;0;0;0;0;0;0;0
2020-04-09 01:45:00;0;1;1;1;0;0;2;2;2;0;0;0;0;0;0;0;0
2020-04-09 02:00:00;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-09 02:15:00;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-09 02:30:00;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
2020-04-09 02:45:00;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0
2020-04-09 03:00:00;0;0;1;0;1;0;0;0;0;1;2;0;0;0;0;0;0
2020-04-09 03:15:00;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
2020-04-09 03:30:00;0;0;0;1;1;2;1;1;1;0;0;0;0;0;0;0;0
2020-04-09 03:45:00;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
2020-04-09 04:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-09 04:15:00;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0
2020-04-09 04:30:00;0;0;0;0;0;0;2;3;3;0;0;0;0;0;0;0;0
2020-04-09 04:45:00;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-04-09 05:00:00;1;0;0;0;0;0;3;4;4;0;0;0;0;0;0;0;0
2020-04-09 05:15:00;5;4;0;0;0;0;4;8;8;0;0;0;0;0;0;0;0
2020-04-09 05:30:00;10;7;1;0;0;0;7;13;14;0;0;0;0;0;0;0;0
2020-04-09 05:45:00;8;3;1;2;1;1;7;10;10;0;0;0;0;0;0;0;0
2020-04-09 06:00:00;8;5;1;0;0;0;11;12;15;0;0;0;0;0;0;0;0
2020-04-09 06:15:00;12;6;0;1;0;1;9;10;11;0;0;0;0;0;0;0;0
2020-04-09 06:30:00;9;8;4;3;1;1;10;14;17;0;0;0;0;0;0;0;0
2020-04-09 06:45:00;20;9;3;4;2;2;11;18;18;0;0;0;0;0;0;0;0
2020-04-09 07:00:00;20;12;3;4;1;1;13;16;16;1;1;0;0;0;0;0;0
2020-04-09 07:15:00;24;14;4;5;5;2;15;14;18;1;1;0;0;0;0;0;0
2020-04-09 07:30:00;29;16;0;4;5;5;19;23;23;0;0;0;0;0;0;0;0
2020-04-09 07:45:00;37;16;2;4;3;5;16;18;20;0;0;0;0;0;0;0;0
2020-04-09 08:00:00;39;28;7;6;3;9;20;17;21;1;0;0;0;0;0;0;0
2020-04-09 08:15:00;26;18;6;5;9;7;17;15;16;0;1;0;0;0;0;0;0
2020-04-09 08:30:00;27;22;16;11;7;2;17;12;17;0;0;0;0;0;0;0;0
2020-04-09 08:45:00;28;32;11;7;8;7;26;25;30;0;0;0;0;0;0;0;0
2020-04-09 09:00:00;28;41;9;7;3;5;25;24;28;0;0;1;0;0;1;0;0
2020-04-09 09:15:00;17;26;10;4;7;2;30;24;29;0;1;0;0;0;0;0;0
2020-04-09 09:30:00;22;36;10;9;7;5;28;25;30;0;1;0;0;0;0;0;0
2020-04-09 09:45:00;32;41;15;10;13;12;35;30;36;0;2;1;0;0;0;0;0
2020-04-09 10:00:00;25;31;18;12;9;5;24;28;27;3;2;0;0;0;0;0;0
2020-04-09 10:15:00;27;27;16;11;8;6;29;29;31;2;4;0;0;0;0;0;0
