DATUM;1(DA1);2(DA2);3(DB1);4(DD1);5(DD2);6(DE1);7(DC1);8(DC2);9(DF2);10(DF1)
2020-04-26 00:00:00;7;5;1;13;9;3;11;10;5;5
2020-04-26 00:15:00;12;12;0;5;9;2;8;5;11;8
2020-04-26 00:30:00;5;6;1;2;3;1;3;1;11;5
2020-04-26 00:45:00;4;0;3;5;6;1;7;7;1;4
2020-04-26 01:00:00;4;9;0;9;7;0;8;5;9;1
2020-04-26 01:15:00;2;3;2;5;3;0;4;4;3;2
2020-04-26 01:30:00;3;1;1;1;1;0;1;1;2;2
2020-04-26 01:45:00;1;2;0;6;2;2;2;5;2;1
2020-04-26 02:00:00;1;0;0;1;1;0;1;0;0;0
2020-04-26 02:15:00;2;2;0;3;1;0;1;2;2;2
2020-04-26 02:30:00;0;0;0;1;0;1;0;2;0;0
2020-04-26 02:45:00;1;0;1;0;2;0;2;2;1;1
2020-04-26 03:00:00;1;2;0;0;2;3;3;0;1;1
2020-04-26 03:15:00;3;2;0;1;3;0;3;2;2;3
2020-04-26 03:30:00;0;1;0;2;1;0;1;1;1;0
2020-04-26 03:45:00;1;1;0;3;2;0;1;3;2;1
2020-04-26 04:00:00;2;1;0;2;1;0;1;1;1;0
2020-04-26 04:15:00;4;1;0;0;2;0;2;0;2;4
2020-04-26 04:30:00;0;0;0;1;1;2;2;2;0;0
2020-04-26 04:45:00;1;0;0;1;1;0;1;1;1;1
2020-04-26 05:00:00;4;1;0;1;2;0;1;1;2;5
2020-04-26 05:15:00;3;4;0;3;2;1;1;2;4;2
2020-04-26 05:30:00;4;1;0;4;11;2;14;6;2;4
2020-04-26 05:45:00;3;3;0;7;11;1;12;6;3;3
2020-04-26 06:00:00;3;2;1;4;8;0;8;3;2;2
2020-04-26 06:15:00;5;6;0;3;8;0;7;2;6;5
2020-04-26 06:30:00;2;0;2;1;7;1;8;3;1;2
2020-04-26 06:45:00;3;4;1;2;3;0;3;1;4;2
2020-04-26 07:00:00;14;5;1;4;4;6;4;1;6;12
2020-04-26 07:15:00;11;9;3;7;10;7;11;5;11;10
2020-04-26 07:30:00;9;5;0;3;8;1;8;4;4;8
2020-04-26 07:45:00;14;4;0;5;5;2;7;4;3;13
2020-04-26 08:00:00;5;3;0;3;7;2;6;3;4;3
2020-04-26 08:15:00;12;3;4;3;9;4;11;2;3;8
2020-04-26 08:30:00;8;5;2;3;9;6;12;3;6;8
2020-04-26 08:45:00;16;2;3;5;10;6;12;6;3;15
2020-04-26 09:00:00;17;8;2;3;14;4;16;5;8;12
2020-04-26 09:15:00;19;8;0;7;12;6;11;5;8;18
2020-04-26 09:30:00;15;6;4;9;15;6;19;9;6;15
2020-04-26 09:45:00;13;9;4;11;14;10;18;11;8;10
2020-04-26 10:00:00;14;11;3;9;17;7;19;9;12;11
2020-04-26 10:15:00;18;10;3;15;19;8;24;11;9;18
