DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2020-08-15 00:00:00;0;3;0;0;0;0;0;0
2020-08-15 00:15:00;0;2;1;0;0;0;0;0
2020-08-15 00:30:00;0;2;1;0;0;0;0;0
2020-08-15 00:45:00;0;2;0;0;1;0;0;0
2020-08-15 01:00:00;0;5;2;0;0;0;0;0
2020-08-15 01:15:00;0;1;0;0;0;0;0;0
2020-08-15 01:30:00;0;1;2;0;0;0;0;0
2020-08-15 01:45:00;0;0;1;0;0;0;0;0
2020-08-15 02:00:00;0;0;0;0;0;0;0;0
2020-08-15 02:15:00;0;0;0;0;0;0;0;0
2020-08-15 02:30:00;0;0;0;0;0;0;0;0
2020-08-15 02:45:00;0;0;1;0;0;0;0;0
2020-08-15 03:00:00;0;3;1;1;0;0;0;0
2020-08-15 03:15:00;0;2;1;1;0;0;0;0
2020-08-15 03:30:00;0;0;0;0;0;0;0;0
2020-08-15 03:45:00;0;0;0;0;0;0;0;0
2020-08-15 04:00:00;0;1;0;0;0;0;0;0
2020-08-15 04:15:00;0;1;2;1;0;0;0;0
2020-08-15 04:30:00;0;1;2;0;0;0;0;0
2020-08-15 04:45:00;0;4;1;1;0;0;0;0
2020-08-15 05:00:00;0;0;1;1;0;0;0;0
2020-08-15 05:15:00;0;0;0;0;0;0;0;0
2020-08-15 05:30:00;0;2;1;0;0;0;0;0
2020-08-15 05:45:00;0;3;0;0;2;0;0;0
2020-08-15 06:00:00;1;0;1;0;1;0;0;0
2020-08-15 06:15:00;0;0;0;0;0;0;0;0
2020-08-15 06:30:00;0;0;0;0;0;0;0;0
2020-08-15 06:45:00;0;1;1;0;0;0;0;0
2020-08-15 07:00:00;0;1;0;0;0;0;0;0
2020-08-15 07:15:00;1;0;1;0;0;0;0;0
2020-08-15 07:30:00;0;0;1;0;0;0;0;0
2020-08-15 07:45:00;0;2;0;0;0;0;0;0
2020-08-15 08:00:00;0;1;0;0;0;0;0;0
2020-08-15 08:15:00;0;0;1;0;0;0;0;0
2020-08-15 08:30:00;0;2;2;0;0;0;0;0
2020-08-15 08:45:00;0;0;2;1;0;0;0;0
2020-08-15 09:00:00;2;6;1;0;0;0;0;0
2020-08-15 09:15:00;0;4;2;0;0;0;0;0
2020-08-15 09:30:00;0;2;0;0;0;0;0;0
2020-08-15 09:45:00;0;2;1;0;0;0;0;0
2020-08-15 10:00:00;0;3;4;2;2;0;0;0
2020-08-15 10:15:00;0;1;2;1;1;0;0;0
2020-08-15 10:30:00;0;7;4;0;0;0;0;0
2020-08-15 10:45:00;1;10;3;2;0;0;0;0
2020-08-15 11:00:00;0;1;3;0;0;0;0;0
2020-08-15 11:15:00;1;7;6;2;0;0;0;0
2020-08-15 11:30:00;2;3;1;0;0;0;0;0
2020-08-15 11:45:00;0;2;3;0;0;0;0;0
2020-08-15 12:00:00;1;5;2;0;0;0;0;0
2020-08-15 12:15:00;0;5;2;1;1;0;0;0
2020-08-15 12:30:00;0;7;3;0;1;0;0;0
2020-08-15 12:45:00;0;4;8;1;1;0;0;0
2020-08-15 13:00:00;0;1;2;0;2;0;0;0
2020-08-15 13:15:00;0;2;1;0;0;0;0;0
2020-08-15 13:30:00;0;6;3;1;0;0;0;0
2020-08-15 13:45:00;1;2;1;1;0;0;0;0
2020-08-15 14:00:00;0;4;4;0;0;0;0;0
2020-08-15 14:15:00;0;6;2;1;1;0;0;0
2020-08-15 14:30:00;0;6;5;3;3;0;0;0
2020-08-15 14:45:00;1;7;3;2;1;0;0;0
2020-08-15 15:00:00;0;10;6;3;0;0;0;0
2020-08-15 15:15:00;2;7;5;1;1;0;0;0
2020-08-15 15:30:00;1;2;7;5;4;0;0;0
2020-08-15 15:45:00;2;13;9;2;3;0;0;0
2020-08-15 16:00:00;3;5;2;1;0;0;0;0
2020-08-15 16:15:00;0;9;6;2;0;0;0;0
2020-08-15 16:30:00;0;5;4;0;1;0;0;0
2020-08-15 16:45:00;0;6;10;2;0;0;0;0
2020-08-15 17:00:00;1;8;3;2;0;0;0;0
2020-08-15 17:15:00;0;4;4;1;0;0;0;0
2020-08-15 17:30:00;0;9;3;1;1;0;0;0
2020-08-15 17:45:00;0;3;2;0;0;0;0;0
2020-08-15 18:00:00;2;8;3;2;0;0;0;0
2020-08-15 18:15:00;1;5;6;3;2;0;0;0
2020-08-15 18:30:00;0;4;6;1;0;0;0;0
2020-08-15 18:45:00;0;10;1;3;0;0;0;0
2020-08-15 19:00:00;0;5;3;1;1;0;0;0
2020-08-15 19:15:00;0;4;2;1;1;0;0;0
2020-08-15 19:30:00;0;3;1;0;0;0;0;0
2020-08-15 19:45:00;0;5;3;3;1;0;0;0
2020-08-15 20:00:00;1;4;6;2;0;0;0;0
2020-08-15 20:15:00;0;12;4;1;0;0;0;0
2020-08-15 20:30:00;0;6;0;0;0;0;0;0
2020-08-15 20:45:00;0;6;1;0;0;0;0;0
2020-08-15 21:00:00;1;7;5;2;0;0;0;0
2020-08-15 21:15:00;0;4;0;0;0;0;0;0
2020-08-15 21:30:00;0;5;2;1;2;0;0;0
2020-08-15 21:45:00;1;8;3;1;1;0;0;0
2020-08-15 22:00:00;0;3;5;1;0;0;0;0
2020-08-15 22:15:00;0;2;3;0;1;0;0;0
2020-08-15 22:30:00;1;4;2;1;0;0;0;0
2020-08-15 22:45:00;0;3;2;0;0;0;0;0
2020-08-15 23:00:00;0;1;2;2;0;0;0;0
2020-08-15 23:15:00;0;4;1;2;0;0;0;0
2020-08-15 23:30:00;1;3;3;0;0;0;0;0
2020-08-15 23:45:00;0;6;3;3;0;0;0;0
