DATUM;1(DA1);2(DA2);3(DA3);4(DAL1);5(DB1);6(DB2);7(DB3);8(DBL1);9(DBL2);10(DC1);11(DCL1);12(DCL2);13(DD1);14(DD2);15(DD3);16(DDL1);17(DEG21);18(DEG22);19(DEG23);20(DEG24);21(DEG25);22(DEG26);23(DEG27);24(DEG28)
2019-11-04 12:15:00;23;22;35;21;25;70;65;53;42;33;48;41;110;112;103;16;0;0;30;0;0;0;0;0
2019-11-04 12:30:00;23;19;36;39;22;75;71;52;47;38;48;46;96;103;85;16;0;0;30;0;0;0;0;0
2019-11-04 12:45:00;15;21;37;26;33;73;73;50;52;48;50;48;91;106;92;17;0;0;30;0;0;0;0;0
2019-11-04 13:00:00;18;40;47;44;19;65;66;50;40;34;57;45;105;90;85;18;0;0;31;0;0;0;0;0
2019-11-04 13:15:00;21;30;44;30;26;68;67;49;40;41;54;41;114;104;85;16;0;0;30;0;0;0;0;0
2019-11-04 13:30:00;20;25;43;24;22;73;86;53;46;44;57;58;110;92;87;16;0;0;29;0;0;0;0;0
2019-11-04 13:45:00;21;30;36;27;29;74;72;50;46;51;55;57;98;99;99;18;0;0;30;0;0;0;0;0
2019-11-04 14:00:00;21;23;34;33;25;78;86;55;38;36;60;48;101;104;99;23;0;0;30;0;0;0;0;0
2019-11-04 14:15:00;23;30;41;47;21;80;80;61;59;39;56;52;111;97;92;20;0;0;30;0;0;0;0;0
2019-11-04 14:30:00;19;28;42;30;34;80;88;67;52;44;55;57;106;117;92;23;0;0;30;0;0;0;0;0
2019-11-04 14:45:00;23;32;46;26;44;78;72;65;51;39;70;58;95;107;97;16;0;0;30;0;0;0;0;0
2019-11-04 15:00:00;28;23;53;38;23;84;98;58;54;48;67;60;110;107;104;14;0;0;30;0;0;0;0;0
2019-11-04 15:15:00;35;36;53;25;33;90;89;59;59;34;64;53;102;108;90;15;0;0;30;0;0;0;0;0
2019-11-04 15:30:00;36;33;44;61;37;84;94;82;64;50;64;55;105;110;95;23;0;0;30;0;0;0;0;0
2019-11-04 15:45:00;56;46;60;58;27;101;106;69;61;48;65;60;111;108;102;25;0;0;30;0;0;0;0;0
2019-11-04 16:00:00;44;61;63;70;25;98;98;52;58;38;70;63;101;108;94;20;0;0;30;0;0;0;0;0
2019-11-04 16:15:00;39;56;70;54;40;119;124;87;86;36;52;50;108;109;95;14;0;0;30;0;0;0;0;0
2019-11-04 16:30:00;63;61;75;62;31;109;94;63;62;33;53;45;96;84;98;21;0;0;30;0;0;0;0;0
2019-11-04 16:45:00;40;48;66;50;26;115;115;74;64;35;60;56;107;98;94;22;0;0;30;0;0;0;0;0
2019-11-04 17:00:00;45;44;59;54;35;102;95;84;68;40;68;63;117;99;90;22;0;0;30;0;0;0;0;0
2019-11-04 17:15:00;38;48;69;52;36;101;101;69;53;45;71;74;109;112;101;19;0;0;30;0;0;0;0;0
2019-11-04 17:30:00;46;52;60;61;35;120;113;78;68;34;58;61;98;128;109;18;0;0;30;0;0;0;0;0
2019-11-04 17:45:00;29;27;48;49;40;103;117;74;62;46;52;51;101;123;106;24;0;0;30;0;0;0;0;0
2019-11-04 18:00:00;41;34;59;47;21;104;109;57;52;37;63;58;114;106;94;19;0;0;30;0;0;0;0;0
2019-11-04 18:15:00;29;35;45;40;33;111;111;57;57;26;55;49;111;118;97;14;0;0;30;0;0;0;0;0
2019-11-04 18:30:00;15;30;54;37;10;77;93;54;51;33;47;44;103;119;94;7;0;0;30;0;0;0;0;0
2019-11-04 18:45:00;22;31;43;27;22;82;93;44;41;22;52;42;103;127;95;10;0;0;30;0;0;0;0;0
2019-11-04 19:00:00;21;19;28;31;13;73;80;42;40;18;49;43;102;91;87;12;0;1;30;0;0;0;0;0
2019-11-04 19:15:00;15;16;27;14;26;71;74;40;38;30;43;30;79;109;87;12;0;0;30;0;0;0;0;0
2019-11-04 19:30:00;17;19;24;22;18;57;58;25;30;27;35;29;79;105;77;20;0;0;30;0;0;0;0;0
2019-11-04 19:45:00;17;14;17;19;13;51;44;27;26;26;28;25;82;108;70;10;0;0;30;0;0;0;0;0
2019-11-04 20:00:00;16;10;23;11;8;36;49;27;31;14;33;27;75;102;65;3;0;0;30;0;0;0;0;0
2019-11-04 20:15:00;12;10;18;13;11;46;54;19;22;6;29;19;74;110;72;3;0;0;30;0;0;0;0;0
2019-11-04 20:30:00;17;15;18;19;7;30;43;24;28;11;42;30;53;68;40;5;0;0;30;0;0;0;0;0
2019-11-04 20:45:00;10;9;12;9;7;30;38;14;26;9;26;16;44;69;55;3;0;0;30;0;0;0;0;0
2019-11-04 21:00:00;15;12;21;19;5;33;33;16;20;13;33;26;55;84;44;2;0;1;30;0;0;0;0;0
2019-11-04 21:15:00;9;11;13;12;5;27;25;23;27;8;30;22;40;75;60;4;0;0;30;0;0;0;0;0
2019-11-04 21:30:00;19;17;20;23;3;23;23;10;18;11;25;15;40;62;38;3;0;1;30;0;0;0;0;0
2019-11-04 21:45:00;28;12;19;18;5;25;31;26;25;8;18;9;48;69;44;1;0;0;30;0;0;0;0;0
2019-11-04 22:00:00;13;12;18;5;5;24;28;10;21;9;15;12;70;79;37;1;0;0;30;0;0;0;0;0
2019-11-04 22:15:00;8;16;23;13;5;30;31;18;23;5;12;9;26;55;46;6;0;0;30;0;0;0;0;0
2019-11-04 22:30:00;8;9;11;5;1;15;27;11;12;10;20;12;35;56;35;4;0;0;30;0;0;0;0;0
2019-11-04 22:45:00;6;11;7;2;6;24;17;9;9;7;15;15;24;37;19;1;0;0;30;0;0;0;0;0
2019-11-04 23:00:00;3;4;9;5;0;15;12;9;10;3;18;6;21;40;22;0;0;0;30;0;0;0;0;0
2019-11-04 23:15:00;0;3;7;0;3;18;12;7;12;6;10;6;21;36;17;0;0;0;30;0;0;0;0;0
2019-11-04 23:30:00;1;5;5;0;2;12;9;7;10;7;13;5;12;16;6;1;0;1;30;0;0;0;0;0
2019-11-04 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
