DATUM;1(DA1);2(DA2);3(DB1);4(DD1);5(DD2);6(DE1);7(DC1);8(DC2);9(DF2);10(DF1)
2020-10-15 00:00:00;4;3;0;3;5;1;5;2;2;4
2020-10-15 00:15:00;8;3;4;4;4;0;5;4;1;7
2020-10-15 00:30:00;5;3;0;5;2;1;2;5;2;4
2020-10-15 00:45:00;5;6;0;3;5;2;6;2;6;4
2020-10-15 01:00:00;0;0;0;4;3;1;3;3;0;0
2020-10-15 01:15:00;5;4;0;5;2;1;2;2;4;3
2020-10-15 01:30:00;3;1;0;5;2;0;2;5;1;2
2020-10-15 01:45:00;3;1;0;4;2;0;2;3;3;3
2020-10-15 02:00:00;0;0;0;2;2;0;2;1;0;0
2020-10-15 02:15:00;3;3;2;3;1;2;1;1;4;2
2020-10-15 02:30:00;3;1;0;1;1;1;1;0;0;1
2020-10-15 02:45:00;5;2;2;1;3;0;3;0;2;3
2020-10-15 03:00:00;6;1;0;2;2;0;2;1;1;5
2020-10-15 03:15:00;3;0;0;3;1;1;1;1;0;2
2020-10-15 03:30:00;6;2;0;1;2;1;2;1;2;6
2020-10-15 03:45:00;3;1;1;7;6;1;4;6;1;4
2020-10-15 04:00:00;3;3;0;1;1;1;0;0;4;3
2020-10-15 04:15:00;5;3;4;3;2;0;1;3;1;5
2020-10-15 04:30:00;2;4;0;2;5;2;6;2;5;2
2020-10-15 04:45:00;11;10;3;9;11;3;14;9;14;11
2020-10-15 05:00:00;21;7;5;14;23;9;23;14;14;26
2020-10-15 05:15:00;23;15;3;43;45;7;45;41;18;20
2020-10-15 05:30:00;30;24;2;57;57;16;63;56;26;22
2020-10-15 05:45:00;39;36;2;62;53;6;56;62;42;26
2020-10-15 06:00:00;54;43;7;58;53;11;54;56;47;42
2020-10-15 06:15:00;72;60;5;81;69;21;79;78;60;64
2020-10-15 06:30:00;44;30;5;103;88;16;84;107;31;41
2020-10-15 06:45:00;54;50;8;118;99;17;100;116;50;50
2020-10-15 07:00:00;50;51;11;137;109;22;115;121;49;44
2020-10-15 07:15:00;54;50;14;196;137;24;139;185;41;45
2020-10-15 07:30:00;83;43;21;188;150;37;162;181;47;66
2020-10-15 07:45:00;108;86;12;144;135;53;149;149;83;78
2020-10-15 08:00:00;74;47;18;113;114;25;113;108;53;62
2020-10-15 08:15:00;59;55;14;101;89;28;102;103;52;54
2020-10-15 08:30:00;57;67;7;113;83;30;87;101;51;47
2020-10-15 08:45:00;64;72;8;77;82;12;83;74;44;74
2020-10-15 09:00:00;67;53;17;65;72;17;82;67;43;52
2020-10-15 09:15:00;53;65;11;67;85;23;84;67;58;51
2020-10-15 09:30:00;65;51;19;77;82;23;93;69;54;49
2020-10-15 09:45:00;64;58;9;77;83;22;93;78;61;55
2020-10-15 10:00:00;63;44;14;59;72;22;84;57;45;49
2020-10-15 10:15:00;66;63;14;60;67;15;66;62;67;63
2020-10-15 10:30:00;65;63;24;72;69;19;84;69;71;58
2020-10-15 10:45:00;65;75;22;79;76;16;83;66;67;56
2020-10-15 11:00:00;61;70;13;94;57;24;77;78;74;58
2020-10-15 11:15:00;61;68;22;74;83;14;80;64;66;54
2020-10-15 11:30:00;80;77;23;72;69;19;74;60;80;71
2020-10-15 11:45:00;66;67;11;66;69;17;78;59;60;67
2020-10-15 12:00:00;80;73;29;59;69;24;83;51;78;69
2020-10-15 12:15:00;76;64;16;77;76;35;85;62;66;74
2020-10-15 12:30:00;84;77;25;76;82;18;91;73;77;83
2020-10-15 12:45:00;86;89;10;74;91;19;91;68;82;76
2020-10-15 13:00:00;101;121;16;66;79;27;86;67;118;84
2020-10-15 13:15:00;94;87;16;73;84;22;91;65;90;89
2020-10-15 13:30:00;86;82;16;115;111;19;127;111;87;77
2020-10-15 13:45:00;74;91;16;90;104;24;106;89;88;71
2020-10-15 14:00:00;97;99;1;70;83;25;91;63;99;80
2020-10-15 14:15:00;108;105;9;86;92;18;98;74;101;88
2020-10-15 14:30:00;120;104;19;87;104;29;118;77;107;102
2020-10-15 14:45:00;108;96;14;85;92;20;121;79;97;94
2020-10-15 15:00:00;84;91;18;79;98;23;104;65;94;75
2020-10-15 15:15:00;105;107;18;80;97;24;101;73;112;91
2020-10-15 15:30:00;110;122;25;98;98;24;107;92;127;100
2020-10-15 15:45:00;137;104;24;93;103;23;114;72;115;129
2020-10-15 16:00:00;125;118;29;80;114;44;132;75;126;111
2020-10-15 16:15:00;130;115;25;93;106;26;110;82;125;128
2020-10-15 16:30:00;143;129;21;101;113;21;114;89;128;129
