DATUM;1(DAL1);2(DBR1);3(DBL1);4(DBL2);5(DC1);6(DC2);7(DC3);8(DEG11);9(DEG12);10(DEG13);11(DEG14);12(DEG15);13(DEG16);14(DEG17)
2019-10-19 00:00:00;20;6;2;2;37;14;26;16;8;23;16;8;23;0
2019-10-19 00:15:00;29;14;7;3;41;14;15;20;10;30;20;10;30;0
2019-10-19 00:30:00;23;7;8;2;29;7;13;20;10;30;20;10;30;0
2019-10-19 00:45:00;27;6;7;0;26;8;10;20;10;30;20;10;30;0
2019-10-19 01:00:00;14;6;3;1;33;5;8;26;13;39;26;13;39;0
2019-10-19 01:15:00;9;4;1;0;28;6;14;26;13;39;26;13;39;0
2019-10-19 01:30:00;9;2;5;0;19;11;4;24;12;36;24;12;36;0
2019-10-19 01:45:00;6;5;5;0;32;7;12;26;13;39;26;13;39;0
2019-10-19 02:00:00;5;3;4;0;31;7;10;26;13;39;26;13;39;0
2019-10-19 02:15:00;8;8;9;2;31;6;6;26;13;39;26;13;39;0
2019-10-19 02:30:00;4;3;5;0;14;3;4;26;13;39;26;13;39;0
2019-10-19 02:45:00;10;3;3;0;20;5;4;26;13;39;26;13;39;0
2019-10-19 03:00:00;4;3;4;0;16;6;5;26;13;39;26;13;39;0
2019-10-19 03:15:00;6;2;1;1;12;2;4;24;12;36;24;12;36;0
2019-10-19 03:30:00;6;3;2;1;9;3;2;26;13;39;26;13;39;0
2019-10-19 03:45:00;3;7;3;1;6;4;6;26;13;39;26;13;39;0
2019-10-19 04:00:00;5;3;2;0;14;2;7;26;13;39;26;13;39;0
2019-10-19 04:15:00;7;5;2;1;15;7;8;26;13;39;26;13;39;0
2019-10-19 04:30:00;3;8;2;0;10;4;3;26;13;39;26;13;39;0
2019-10-19 04:45:00;3;3;3;0;14;4;4;26;13;39;26;13;39;0
2019-10-19 05:00:00;7;6;4;5;22;11;9;18;9;27;18;9;27;0
2019-10-19 05:15:00;13;13;12;5;19;6;2;20;10;30;20;10;30;0
2019-10-19 05:30:00;22;21;15;14;21;13;6;20;10;29;20;10;30;0
2019-10-19 05:45:00;17;11;8;9;52;10;44;20;10;30;20;10;30;0
2019-10-19 06:00:00;24;8;6;3;82;18;39;20;10;30;20;10;30;0
2019-10-19 06:15:00;21;10;14;2;70;21;24;20;10;30;20;10;30;0
2019-10-19 06:30:00;16;18;15;3;55;19;16;20;10;30;20;10;30;0
2019-10-19 06:45:00;22;14;17;11;46;17;17;20;10;30;20;10;30;0
2019-10-19 07:00:00;10;21;17;9;44;14;15;20;10;30;20;10;30;0
2019-10-19 07:15:00;22;36;23;9;41;17;31;20;10;30;20;10;30;0
2019-10-19 07:30:00;36;51;28;17;53;25;18;20;10;29;20;10;30;0
2019-10-19 07:45:00;41;35;20;14;56;25;24;20;10;31;20;10;31;0
2019-10-19 08:00:00;44;38;17;8;56;23;24;20;10;29;20;10;29;0
2019-10-19 08:15:00;44;43;25;13;51;36;22;20;10;30;20;10;30;0
2019-10-19 08:30:00;52;57;35;19;87;28;32;20;10;30;20;10;30;0
2019-10-19 08:45:00;50;68;42;32;74;33;33;22;12;30;22;12;30;0
2019-10-19 09:00:00;56;58;33;26;79;35;41;20;10;31;20;10;31;0
2019-10-19 09:15:00;64;78;37;29;75;43;55;20;10;29;20;10;29;0
2019-10-19 09:30:00;80;100;43;31;92;49;48;20;10;30;20;10;30;0
2019-10-19 09:45:00;87;92;59;43;103;46;55;20;10;30;20;10;30;0
2019-10-19 10:00:00;89;78;45;34;103;56;61;20;10;30;20;10;30;0
2019-10-19 10:15:00;102;75;47;26;116;57;65;20;10;30;20;10;30;0
2019-10-19 10:30:00;84;63;53;34;113;49;50;18;9;27;18;9;27;0
2019-10-19 10:45:00;113;87;51;38;106;62;73;21;11;30;21;11;30;0
2019-10-19 11:00:00;107;79;60;49;115;56;68;20;10;30;20;10;30;0
2019-10-19 11:15:00;108;86;51;34;108;50;84;20;10;30;20;10;30;0
2019-10-19 11:30:00;94;68;42;40;105;54;85;18;9;27;18;9;27;0
2019-10-19 11:45:00;99;75;53;47;146;52;67;20;10;30;20;10;30;0
2019-10-19 12:00:00;111;60;54;41;128;74;102;20;10;30;20;10;30;0
2019-10-19 12:15:00;94;69;43;44;137;62;84;20;10;30;20;10;30;0
2019-10-19 12:30:00;108;89;51;47;134;86;88;20;10;30;20;10;30;0
2019-10-19 12:45:00;98;77;38;34;137;79;90;20;10;30;20;10;30;0
2019-10-19 13:00:00;107;79;37;26;134;84;100;20;10;30;20;10;30;0
2019-10-19 13:15:00;120;90;46;38;134;82;98;20;10;30;20;10;30;0
2019-10-19 13:30:00;105;81;38;37;139;80;96;20;10;30;20;10;30;0
2019-10-19 13:45:00;129;60;47;39;149;74;89;20;10;30;20;10;30;0
2019-10-19 14:00:00;108;60;53;44;148;71;80;20;10;30;20;10;30;0
2019-10-19 14:15:00;106;63;47;45;154;82;120;20;10;30;20;10;30;0
2019-10-19 14:30:00;138;61;49;41;119;72;98;20;10;30;20;10;30;0
2019-10-19 14:45:00;104;67;52;46;136;73;89;21;11;30;21;11;30;0
2019-10-19 15:00:00;114;60;39;29;136;65;112;20;10;30;20;10;30;0
2019-10-19 15:15:00;90;68;31;31;126;73;80;21;11;30;21;11;30;0
2019-10-19 15:30:00;114;53;39;37;144;76;72;20;10;30;20;10;30;0
2019-10-19 15:45:00;95;52;38;39;140;61;84;20;10;30;20;10;30;0
2019-10-19 16:00:00;132;46;30;21;129;77;80;20;10;30;20;10;30;0
2019-10-19 16:15:00;135;52;43;27;137;68;92;20;10;30;20;10;30;0
2019-10-19 16:30:00;130;63;34;32;150;69;87;20;10;30;20;10;30;0
2019-10-19 16:45:00;121;49;52;42;154;78;80;20;10;30;20;10;30;0
2019-10-19 17:00:00;115;42;35;33;149;74;89;20;10;30;20;10;30;0
2019-10-19 17:15:00;116;48;38;27;136;66;103;21;11;30;21;11;30;0
2019-10-19 17:30:00;130;54;35;28;135;76;87;20;10;30;20;10;30;0
2019-10-19 17:45:00;99;65;41;34;152;69;71;20;10;30;20;10;30;0
2019-10-19 18:00:00;126;53;34;34;146;96;79;20;10;30;20;10;30;0
2019-10-19 18:15:00;97;54;44;27;150;66;92;20;10;30;20;10;30;0
2019-10-19 18:30:00;93;63;41;28;128;75;70;20;10;30;20;10;30;0
2019-10-19 18:45:00;98;49;37;30;137;65;92;21;11;30;21;11;30;0
2019-10-19 19:00:00;107;72;34;27;120;45;69;20;10;30;20;10;30;0
2019-10-19 19:15:00;85;51;33;19;128;60;72;20;10;30;20;10;30;0
2019-10-19 19:30:00;75;50;36;28;133;49;73;20;10;30;20;10;30;0
2019-10-19 19:45:00;71;49;31;20;107;44;60;20;10;30;20;10;30;0
2019-10-19 20:00:00;79;30;21;18;111;48;62;20;10;30;20;10;30;0
2019-10-19 20:15:00;69;22;29;16;121;49;68;20;10;30;20;10;30;0
2019-10-19 20:30:00;50;26;21;9;91;30;34;20;10;30;20;10;30;0
2019-10-19 20:45:00;49;17;20;11;93;36;47;20;10;30;20;10;30;0
2019-10-19 21:00:00;45;29;17;9;67;25;38;20;10;30;20;10;30;0
2019-10-19 21:15:00;48;13;13;8;81;36;34;20;10;30;20;10;30;0
2019-10-19 21:30:00;53;22;16;6;65;32;40;20;10;30;20;10;30;0
2019-10-19 21:45:00;43;28;13;6;64;37;42;20;10;30;20;10;30;0
2019-10-19 22:00:00;45;21;25;12;69;38;36;20;10;30;20;10;30;0
2019-10-19 22:15:00;38;14;12;5;68;32;39;20;10;30;20;10;30;0
2019-10-19 22:30:00;37;16;17;6;70;30;59;20;10;30;20;10;30;0
2019-10-19 22:45:00;42;20;12;8;99;37;47;20;10;30;20;10;30;0
2019-10-19 23:00:00;32;15;13;6;72;23;37;20;10;30;20;10;30;0
2019-10-19 23:15:00;33;15;9;2;64;22;34;20;10;30;20;10;30;0
2019-10-19 23:30:00;27;12;10;4;45;19;25;20;10;30;20;10;30;0
2019-10-19 23:45:00;26;9;17;5;50;25;27;20;10;30;20;10;30;0
