DATUM;1(DA1);2(DB1);3(TAFGA);4(TAFGB);5(TAFBA);6(TAFBB)
2020-07-16 00:00:00;3;3;0;0;0;0
2020-07-16 00:15:00;3;0;0;0;0;0
2020-07-16 00:30:00;1;2;0;0;0;0
2020-07-16 00:45:00;0;0;0;0;0;0
2020-07-16 01:00:00;0;0;0;0;0;0
2020-07-16 01:15:00;0;1;0;0;0;0
2020-07-16 01:30:00;0;0;0;0;0;0
2020-07-16 01:45:00;0;0;0;0;0;0
2020-07-16 02:00:00;0;2;0;0;0;0
2020-07-16 02:15:00;1;0;0;0;0;0
2020-07-16 02:30:00;0;0;0;0;0;0
2020-07-16 02:45:00;1;0;0;0;0;0
2020-07-16 03:00:00;3;2;0;0;0;0
2020-07-16 03:15:00;1;0;0;0;0;0
2020-07-16 03:30:00;0;0;0;0;0;0
2020-07-16 03:45:00;0;1;0;0;0;0
2020-07-16 04:00:00;0;0;0;0;0;0
2020-07-16 04:15:00;0;1;0;0;0;0
2020-07-16 04:30:00;0;0;0;0;0;0
2020-07-16 04:45:00;2;1;0;0;0;0
2020-07-16 05:00:00;2;5;0;0;0;0
2020-07-16 05:15:00;1;3;0;0;0;0
2020-07-16 05:30:00;6;4;0;0;0;0
2020-07-16 05:45:00;13;7;0;0;0;0
2020-07-16 06:00:00;10;13;0;0;0;0
2020-07-16 06:15:00;5;6;0;0;0;0
2020-07-16 06:30:00;13;12;0;1;0;0
2020-07-16 06:45:00;23;9;0;0;0;0
2020-07-16 07:00:00;13;9;0;0;0;0
2020-07-16 07:15:00;11;6;0;0;0;0
2020-07-16 07:30:00;14;18;0;1;0;0
2020-07-16 07:45:00;21;14;0;3;0;0
2020-07-16 08:00:00;14;14;1;0;0;0
2020-07-16 08:15:00;15;19;0;0;0;0
2020-07-16 08:30:00;10;20;1;0;0;0
2020-07-16 08:45:00;16;13;0;0;0;0
2020-07-16 09:00:00;7;27;2;1;0;0
2020-07-16 09:15:00;8;14;5;0;0;0
2020-07-16 09:30:00;13;10;2;4;0;0
2020-07-16 09:45:00;14;7;2;0;0;0
2020-07-16 10:00:00;7;15;0;0;0;0
2020-07-16 10:15:00;9;18;0;0;0;0
2020-07-16 10:30:00;14;10;1;0;0;0
2020-07-16 10:45:00;9;13;0;0;0;0
2020-07-16 11:00:00;10;14;0;0;0;0
2020-07-16 11:15:00;13;13;0;0;0;0
2020-07-16 11:30:00;23;19;0;0;0;0
2020-07-16 11:45:00;18;20;0;0;0;0
2020-07-16 12:00:00;15;7;2;0;0;0
2020-07-16 12:15:00;12;14;1;0;0;0
2020-07-16 12:30:00;14;7;1;0;0;0
2020-07-16 12:45:00;8;12;0;0;0;0
2020-07-16 13:00:00;7;7;0;0;0;0
2020-07-16 13:15:00;11;11;0;0;0;0
2020-07-16 13:30:00;11;12;0;1;0;0
2020-07-16 13:45:00;7;17;0;0;0;0
2020-07-16 14:00:00;17;9;2;0;0;0
2020-07-16 14:15:00;13;15;2;0;0;0
2020-07-16 14:30:00;16;17;0;0;0;0
2020-07-16 14:45:00;25;12;0;0;0;0
2020-07-16 15:00:00;15;19;0;0;0;0
2020-07-16 15:15:00;13;25;0;0;0;0
2020-07-16 15:30:00;11;25;0;0;0;0
2020-07-16 15:45:00;23;26;1;0;0;0
2020-07-16 16:00:00;27;38;1;0;0;0
2020-07-16 16:15:00;27;33;0;0;0;0
2020-07-16 16:30:00;23;22;3;0;0;0
2020-07-16 16:45:00;21;30;1;0;0;0
2020-07-16 17:00:00;16;26;0;1;0;0
2020-07-16 17:15:00;20;16;3;0;0;0
2020-07-16 17:30:00;18;23;0;0;0;0
2020-07-16 17:45:00;12;13;0;0;0;0
2020-07-16 18:00:00;20;22;1;0;0;0
2020-07-16 18:15:00;18;15;0;0;0;0
2020-07-16 18:30:00;11;14;0;0;0;0
2020-07-16 18:45:00;14;9;0;0;0;0
2020-07-16 19:00:00;9;14;0;0;0;0
2020-07-16 19:15:00;8;12;0;0;0;0
2020-07-16 19:30:00;12;2;0;0;0;0
2020-07-16 19:45:00;12;10;0;0;0;0
2020-07-16 20:00:00;8;16;0;0;0;0
2020-07-16 20:15:00;9;7;0;0;0;0
2020-07-16 20:30:00;10;4;0;0;0;0
2020-07-16 20:45:00;2;2;0;0;0;0
2020-07-16 21:00:00;3;3;0;0;0;0
2020-07-16 21:15:00;4;4;0;0;0;0
2020-07-16 21:30:00;0;2;0;0;0;0
2020-07-16 21:45:00;3;4;0;0;0;0
2020-07-16 22:00:00;3;4;0;0;0;0
2020-07-16 22:15:00;4;2;0;0;0;0
2020-07-16 22:30:00;3;0;0;0;0;0
2020-07-16 22:45:00;4;1;0;0;0;0
2020-07-16 23:00:00;1;2;0;0;0;0
2020-07-16 23:15:00;1;2;0;0;0;0
2020-07-16 23:30:00;1;1;0;0;0;0
2020-07-16 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
