DATUM;1(TAA);3(DA1);4(DA2);5(DC1);6(DC2);7(DC3);8(DC4)
2020-09-18 00:00:00;0;7;6;10;2;0;0
2020-09-18 00:15:00;0;8;5;12;9;3;3
2020-09-18 00:30:00;0;13;8;14;7;0;0
2020-09-18 00:45:00;0;3;4;9;7;0;0
2020-09-18 01:00:00;0;12;5;5;5;0;0
2020-09-18 01:15:00;0;6;2;5;4;0;0
2020-09-18 01:30:00;0;6;2;9;4;0;0
2020-09-18 01:45:00;0;7;3;5;4;0;0
2020-09-18 02:00:00;0;4;0;13;2;0;0
2020-09-18 02:15:00;0;3;1;2;5;0;0
2020-09-18 02:30:00;0;5;1;5;1;0;0
2020-09-18 02:45:00;0;5;0;1;3;0;0
2020-09-18 03:00:00;0;1;1;6;3;0;0
2020-09-18 03:15:00;0;3;1;4;1;0;0
2020-09-18 03:30:00;0;1;0;3;0;0;0
2020-09-18 03:45:00;0;7;3;5;4;0;0
2020-09-18 04:00:00;0;7;2;5;1;0;0
2020-09-18 04:15:00;0;7;5;11;1;0;0
2020-09-18 04:30:00;0;11;5;13;3;0;0
2020-09-18 04:45:00;0;26;6;17;7;0;0
2020-09-18 05:00:00;1;51;41;24;21;0;0
2020-09-18 05:15:00;0;66;66;26;22;0;0
2020-09-18 05:30:00;0;67;71;44;30;1;1
2020-09-18 05:45:00;11;45;59;54;40;2;2
2020-09-18 06:00:00;4;41;47;54;69;5;5
2020-09-18 06:15:00;6;65;82;69;63;4;4
2020-09-18 06:30:00;10;74;86;70;49;6;6
2020-09-18 06:45:00;10;90;104;70;82;4;4
2020-09-18 07:00:00;7;101;118;67;56;4;4
2020-09-18 07:15:00;3;124;138;88;77;9;9
2020-09-18 07:30:00;23;150;158;94;103;4;4
2020-09-18 07:45:00;23;128;133;110;116;5;5
2020-09-18 08:00:00;11;105;100;105;69;5;5
2020-09-18 08:15:00;7;94;95;86;76;3;3
2020-09-18 08:30:00;5;100;104;102;93;6;6
2020-09-18 08:45:00;13;100;108;93;95;2;2
2020-09-18 09:00:00;5;80;85;84;99;4;4
2020-09-18 09:15:00;18;104;101;92;81;3;2
2020-09-18 09:30:00;12;84;73;99;86;3;4
2020-09-18 09:45:00;11;109;106;110;115;4;4
2020-09-18 10:00:00;2;110;94;100;89;3;3
2020-09-18 10:15:00;6;94;96;101;106;3;3
2020-09-18 10:30:00;9;110;102;110;117;6;5
2020-09-18 10:45:00;7;107;106;113;145;2;3
2020-09-18 11:00:00;8;96;81;111;91;4;4
2020-09-18 11:15:00;16;106;102;120;102;2;2
2020-09-18 11:30:00;10;111;103;113;137;7;7
2020-09-18 11:45:00;7;105;115;102;108;2;2
2020-09-18 12:00:00;35;113;95;99;103;5;5
2020-09-18 12:15:00;10;118;118;142;143;2;2
2020-09-18 12:30:00;24;135;134;140;164;4;4
2020-09-18 12:45:00;16;115;117;133;170;4;4
2020-09-18 13:00:00;33;131;120;115;140;3;3
2020-09-18 13:15:00;17;125;117;138;174;8;8
2020-09-18 13:30:00;6;126;148;124;157;7;7
2020-09-18 13:45:00;16;126;140;119;157;3;3
2020-09-18 14:00:00;30;127;126;116;155;3;3
2020-09-18 14:15:00;13;132;113;153;149;3;3
2020-09-18 14:30:00;28;118;121;124;160;6;6
2020-09-18 14:45:00;11;120;146;135;160;2;2
2020-09-18 15:00:00;10;114;111;145;146;4;4
2020-09-18 15:15:00;17;108;112;128;153;3;3
2020-09-18 15:30:00;9;114;127;123;152;4;4
2020-09-18 15:45:00;15;111;116;125;150;5;5
2020-09-18 16:00:00;27;119;118;141;140;3;3
2020-09-18 16:15:00;14;141;125;128;142;3;3
2020-09-18 16:30:00;9;112;125;111;134;4;4
2020-09-18 16:45:00;78;108;116;137;137;5;5
2020-09-18 17:00:00;24;118;118;120;139;5;5
2020-09-18 17:15:00;27;116;113;125;142;2;2
2020-09-18 17:30:00;10;140;123;111;124;5;5
2020-09-18 17:45:00;2;106;116;109;119;3;3
2020-09-18 18:00:00;16;132;132;95;113;4;4
2020-09-18 18:15:00;13;92;107;135;100;2;2
2020-09-18 18:30:00;3;97;90;110;123;4;3
2020-09-18 18:45:00;63;101;101;106;118;4;5
2020-09-18 19:00:00;27;91;95;85;99;3;3
2020-09-18 19:15:00;17;99;75;79;96;3;3
2020-09-18 19:30:00;1;82;84;82;69;5;5
2020-09-18 19:45:00;1;82;79;86;84;2;2
2020-09-18 20:00:00;7;65;77;83;61;4;4
2020-09-18 20:15:00;2;58;64;107;68;2;2
2020-09-18 20:30:00;0;60;66;74;61;3;3
2020-09-18 20:45:00;10;61;73;67;50;1;1
2020-09-18 21:00:00;4;70;61;64;56;3;3
2020-09-18 21:15:00;0;56;60;50;45;1;1
2020-09-18 21:30:00;1;41;39;58;30;1;1
2020-09-18 21:45:00;1;25;26;71;56;1;1
2020-09-18 22:00:00;2;25;32;81;81;2;2
2020-09-18 22:15:00;0;34;32;72;74;1;1
2020-09-18 22:30:00;0;36;34;57;41;3;3
2020-09-18 22:45:00;3;36;23;41;40;1;1
2020-09-18 23:00:00;0;32;25;50;21;2;2
2020-09-18 23:15:00;3;24;17;42;27;1;1
2020-09-18 23:30:00;0;32;12;36;24;1;1
2020-09-18 23:45:00;2;26;12;17;15;0;0
