DATUM;1(DA1);2(DA2);3(DA3);4(DA4);5(DB1);6(DC1);7(DC2);8(DD1);9(TAFGA)
2020-08-11 00:00:00;2;7;6;1;0;4;5;3;4
2020-08-11 00:15:00;10;9;10;4;2;8;4;1;3
2020-08-11 00:30:00;12;6;9;5;4;15;9;0;1
2020-08-11 00:45:00;9;4;3;1;0;11;5;0;1
2020-08-11 01:00:00;4;7;10;5;2;11;2;1;2
2020-08-11 01:15:00;4;4;3;1;0;11;2;1;1
2020-08-11 01:30:00;1;6;9;5;4;10;5;1;1
2020-08-11 01:45:00;3;3;3;0;1;8;3;1;2
2020-08-11 02:00:00;7;4;5;1;3;8;6;1;0
2020-08-11 02:15:00;5;9;6;2;0;4;5;0;2
2020-08-11 02:30:00;8;4;2;1;0;6;4;1;0
2020-08-11 02:45:00;2;3;3;1;0;8;3;2;0
2020-08-11 03:00:00;3;5;8;3;1;4;4;1;0
2020-08-11 03:15:00;1;2;4;2;0;2;4;0;0
2020-08-11 03:30:00;3;2;5;0;1;6;3;0;1
2020-08-11 03:45:00;1;1;7;0;0;6;8;1;1
2020-08-11 04:00:00;5;2;3;0;0;8;5;0;1
2020-08-11 04:15:00;7;2;4;2;0;10;5;1;0
2020-08-11 04:30:00;9;3;4;1;0;11;3;2;1
2020-08-11 04:45:00;8;8;6;2;1;17;9;1;1
2020-08-11 05:00:00;4;8;8;4;3;18;6;0;0
2020-08-11 05:15:00;19;11;17;5;0;35;19;0;1
2020-08-11 05:30:00;26;22;26;3;2;40;25;5;8
2020-08-11 05:45:00;35;24;26;7;1;45;27;3;6
2020-08-11 06:00:00;25;29;36;12;2;42;29;4;6
2020-08-11 06:15:00;59;42;50;10;6;65;47;6;16
2020-08-11 06:30:00;52;46;52;13;9;52;56;5;10
2020-08-11 06:45:00;84;80;84;22;10;77;71;8;11
2020-08-11 07:00:00;59;61;62;15;11;67;51;4;14
2020-08-11 07:15:00;78;84;68;11;11;81;67;9;9
2020-08-11 07:30:00;78;100;71;18;7;69;60;6;13
2020-08-11 07:45:00;69;86;64;6;9;83;71;4;13
2020-08-11 08:00:00;91;74;59;11;11;85;61;7;19
2020-08-11 08:15:00;61;65;64;13;8;70;62;11;14
2020-08-11 08:30:00;63;69;53;14;9;86;60;10;18
2020-08-11 08:45:00;68;65;59;14;12;86;75;14;13
2020-08-11 09:00:00;66;81;68;17;10;77;73;10;22
2020-08-11 09:15:00;75;76;71;16;10;72;51;9;8
2020-08-11 09:30:00;84;89;81;20;12;87;64;10;18
2020-08-11 09:45:00;88;90;67;24;15;86;58;19;20
2020-08-11 10:00:00;69;64;72;17;12;92;56;11;15
2020-08-11 10:15:00;80;94;71;28;13;97;81;14;20
2020-08-11 10:30:00;91;85;77;16;12;94;78;11;13
2020-08-11 10:45:00;75;80;70;19;14;78;65;9;15
2020-08-11 11:00:00;91;92;72;17;14;106;54;12;15
2020-08-11 11:15:00;79;86;79;14;8;97;75;13;18
2020-08-11 11:30:00;76;73;76;17;13;93;71;10;17
2020-08-11 11:45:00;110;108;91;19;11;102;74;8;13
2020-08-11 12:00:00;81;80;63;19;13;108;92;12;53
2020-08-11 12:15:00;70;90;95;25;12;97;74;9;19
2020-08-11 12:30:00;81;93;69;18;9;82;73;14;24
2020-08-11 12:45:00;66;83;67;22;14;101;90;11;13
2020-08-11 13:00:00;83;86;53;18;8;90;52;9;13
2020-08-11 13:15:00;49;69;61;15;11;87;79;12;18
2020-08-11 13:30:00;86;96;135;19;14;87;70;12;18
2020-08-11 13:45:00;84;96;67;16;15;97;86;10;16
2020-08-11 14:00:00;86;74;64;19;10;102;88;56;20
2020-08-11 14:15:00;99;89;94;22;12;105;76;10;16
2020-08-11 14:30:00;88;94;72;23;11;100;68;12;13
2020-08-11 14:45:00;89;93;67;22;14;97;75;14;20
2020-08-11 15:00:00;85;104;100;18;12;91;53;11;17
2020-08-11 15:15:00;84;93;86;18;12;93;71;16;21
2020-08-11 15:30:00;94;101;81;28;11;114;74;11;21
2020-08-11 15:45:00;97;102;87;31;9;110;108;11;20
2020-08-11 16:00:00;95;103;78;27;13;111;84;16;19
2020-08-11 16:15:00;101;109;69;20;14;114;75;10;19
2020-08-11 16:30:00;104;120;74;30;17;102;93;23;27
2020-08-11 16:45:00;89;133;51;32;13;80;79;14;22
2020-08-11 17:00:00;80;105;73;25;14;89;105;20;22
2020-08-11 17:15:00;93;116;77;28;18;103;83;22;29
2020-08-11 17:30:00;87;116;128;34;13;84;79;14;26
2020-08-11 17:45:00;109;124;77;20;11;86;62;16;22
2020-08-11 18:00:00;95;119;48;26;17;83;65;14;21
2020-08-11 18:15:00;75;91;67;23;14;94;74;17;24
2020-08-11 18:30:00;81;85;64;28;14;60;54;18;26
2020-08-11 18:45:00;59;90;72;22;16;81;56;10;16
2020-08-11 19:00:00;60;85;67;22;17;49;42;12;19
2020-08-11 19:15:00;69;88;63;23;9;66;50;8;20
2020-08-11 19:30:00;62;69;51;20;13;53;37;54;80
2020-08-11 19:45:00;60;65;47;21;13;38;43;3;14
2020-08-11 20:00:00;54;52;54;13;10;45;40;19;21
2020-08-11 20:15:00;42;41;33;12;15;34;21;5;4
2020-08-11 20:30:00;38;48;34;14;16;52;24;6;11
2020-08-11 20:45:00;36;38;28;10;11;33;30;5;14
2020-08-11 21:00:00;33;45;40;14;9;33;25;7;9
2020-08-11 21:15:00;36;52;38;18;11;42;27;6;11
2020-08-11 21:30:00;37;26;19;7;4;49;34;3;9
2020-08-11 21:45:00;39;42;38;12;5;36;28;2;10
2020-08-11 22:00:00;18;19;22;9;6;24;18;3;7
2020-08-11 22:15:00;30;30;17;8;5;29;14;1;2
2020-08-11 22:30:00;15;22;19;7;4;24;12;4;7
2020-08-11 22:45:00;19;21;17;7;10;20;6;1;6
2020-08-11 23:00:00;32;26;12;7;8;25;11;0;3
2020-08-11 23:15:00;14;14;8;1;2;24;7;0;1
2020-08-11 23:30:00;8;19;15;7;8;9;10;1;3
