DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(TAFGB);7(TAFBB);8(TAFBC);9(SKC)
2020-07-24 00:00:00;12;3;14;0;0;0;0;0;0
2020-07-24 00:15:00;15;9;33;1;1;0;0;0;0
2020-07-24 00:30:00;24;7;18;1;1;0;0;0;0
2020-07-24 00:45:00;10;8;22;0;0;0;0;0;0
2020-07-24 01:00:00;6;4;13;0;0;0;0;0;0
2020-07-24 01:15:00;8;5;6;0;0;0;0;0;0
2020-07-24 01:30:00;4;4;9;0;0;0;0;0;0
2020-07-24 01:45:00;13;4;8;0;0;0;0;0;0
2020-07-24 02:00:00;7;4;6;0;0;0;0;0;0
2020-07-24 02:15:00;6;2;6;0;0;0;0;0;0
2020-07-24 02:30:00;4;5;12;1;1;0;0;0;0
2020-07-24 02:45:00;1;3;9;0;0;0;0;0;0
2020-07-24 03:00:00;4;5;7;0;0;0;0;0;0
2020-07-24 03:15:00;8;3;11;1;1;0;0;0;0
2020-07-24 03:30:00;4;2;2;0;0;0;0;0;0
2020-07-24 03:45:00;3;6;7;0;0;0;0;0;0
2020-07-24 04:00:00;6;3;7;0;0;0;0;0;0
2020-07-24 04:15:00;12;6;13;0;0;0;0;0;0
2020-07-24 04:30:00;10;7;24;0;0;0;0;0;0
2020-07-24 04:45:00;11;8;27;0;0;0;0;0;0
2020-07-24 05:00:00;24;6;83;0;0;0;0;0;0
2020-07-24 05:15:00;48;14;108;1;0;0;0;0;0
2020-07-24 05:30:00;39;10;93;1;1;0;0;0;0
2020-07-24 05:45:00;63;16;106;1;0;0;0;0;0
2020-07-24 06:00:00;89;31;109;1;1;0;0;0;0
2020-07-24 06:15:00;109;41;130;1;1;0;0;0;0
2020-07-24 06:30:00;82;48;134;1;1;0;0;0;0
2020-07-24 06:45:00;89;42;186;1;1;0;0;0;0
2020-07-24 07:00:00;108;35;180;1;2;1;0;0;0
2020-07-24 07:15:00;68;45;220;4;4;0;0;0;0
2020-07-24 07:30:00;89;62;221;3;3;0;0;0;0
2020-07-24 07:45:00;115;58;181;0;0;0;0;0;0
2020-07-24 08:00:00;86;50;195;1;1;1;0;0;0
2020-07-24 08:15:00;101;42;204;1;1;1;0;0;0
2020-07-24 08:30:00;98;63;221;1;1;1;0;0;0
2020-07-24 08:45:00;140;64;217;1;1;2;0;0;0
2020-07-24 09:00:00;114;54;176;1;2;1;0;0;0
