DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(TAFBA);10(TAFBB);11(TAFBC)
2020-08-08 00:00:00;2;6;0;29;1;18;1;8;0;0;0
2020-08-08 00:15:00;5;6;0;22;3;14;0;2;0;0;0
2020-08-08 00:30:00;5;9;0;14;1;8;1;6;0;0;0
2020-08-08 00:45:00;7;12;0;29;1;20;2;2;0;0;0
2020-08-08 01:00:00;2;8;0;14;4;11;1;3;1;0;0
2020-08-08 01:15:00;2;9;0;11;1;9;1;3;1;0;0
2020-08-08 01:30:00;1;3;0;10;2;6;2;2;0;0;0
2020-08-08 01:45:00;4;8;0;19;3;15;0;1;0;0;0
2020-08-08 02:00:00;2;6;0;12;3;11;2;6;0;0;0
2020-08-08 02:15:00;0;6;0;12;1;9;1;1;0;0;0
2020-08-08 02:30:00;2;5;0;7;0;6;0;1;0;0;0
2020-08-08 02:45:00;1;4;0;7;0;3;0;0;0;0;0
2020-08-08 03:00:00;0;6;0;9;2;8;2;3;0;0;0
2020-08-08 03:15:00;0;2;0;7;1;5;0;2;0;0;0
2020-08-08 03:30:00;2;3;0;9;0;4;2;2;0;0;0
2020-08-08 03:45:00;1;3;0;4;2;3;0;4;0;0;0
2020-08-08 04:00:00;3;3;0;6;0;6;0;0;0;0;0
2020-08-08 04:15:00;1;1;0;3;1;2;0;1;0;0;0
2020-08-08 04:30:00;3;2;0;3;0;1;0;1;0;0;0
2020-08-08 04:45:00;0;3;0;5;0;5;0;0;0;0;0
2020-08-08 05:00:00;0;1;0;1;0;0;0;0;0;0;0
2020-08-08 05:15:00;7;5;0;5;0;4;0;5;0;0;0
2020-08-08 05:30:00;3;3;0;5;2;5;1;3;0;0;0
2020-08-08 05:45:00;4;6;0;4;0;3;1;1;0;0;0
2020-08-08 06:00:00;3;4;0;9;1;5;1;1;0;0;0
2020-08-08 06:15:00;10;12;0;8;0;5;1;2;0;0;0
2020-08-08 06:30:00;9;12;0;9;2;8;0;2;0;0;0
2020-08-08 06:45:00;12;8;0;5;0;3;2;2;2;0;0
2020-08-08 07:00:00;12;16;0;18;0;11;0;3;0;0;0
2020-08-08 07:15:00;17;11;0;17;1;12;2;6;0;0;0
2020-08-08 07:30:00;22;20;0;16;1;9;2;3;0;0;0
2020-08-08 07:45:00;23;31;0;27;1;14;1;4;0;0;0
2020-08-08 08:00:00;15;16;0;26;0;16;5;5;0;0;0
2020-08-08 08:15:00;18;19;0;23;3;16;3;6;0;0;0
2020-08-08 08:30:00;32;26;0;31;3;20;7;7;0;0;0
2020-08-08 08:45:00;26;28;0;30;3;22;1;11;0;0;0
2020-08-08 09:00:00;41;42;0;32;2;26;4;11;4;0;0
2020-08-08 09:15:00;42;27;0;33;7;26;4;13;0;0;0
2020-08-08 09:30:00;39;36;0;35;7;22;10;8;0;0;0
2020-08-08 09:45:00;49;43;0;44;3;27;13;11;0;0;0
2020-08-08 10:00:00;41;34;0;48;3;35;4;8;1;1;1
2020-08-08 10:15:00;26;30;0;49;4;31;14;5;27;0;0
2020-08-08 10:30:00;39;28;0;51;6;37;4;9;0;0;0
2020-08-08 10:45:00;41;30;0;58;3;38;7;6;0;1;0
2020-08-08 11:00:00;25;24;0;56;10;39;8;9;0;0;0
2020-08-08 11:15:00;33;40;0;55;5;30;10;15;0;0;0
2020-08-08 11:30:00;35;39;0;59;5;44;7;11;0;0;0
2020-08-08 11:45:00;33;34;0;49;4;37;7;11;0;0;0
2020-08-08 12:00:00;35;28;0;62;7;46;8;14;3;0;0
2020-08-08 12:15:00;22;26;0;51;9;35;7;7;0;0;0
2020-08-08 12:30:00;32;36;0;46;3;33;7;7;8;0;0
