DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DD1);6(DF1);7(DF2);8(DF3)
2019-11-01 00:00:00;9;7;2;2;5;8;14;6
2019-11-01 00:15:00;10;11;4;4;6;7;17;7
2019-11-01 00:30:00;3;10;6;3;8;3;12;5
2019-11-01 00:45:00;7;11;5;5;7;6;13;7
2019-11-01 01:00:00;10;5;2;13;8;2;4;3
2019-11-01 01:15:00;5;3;4;5;4;14;18;11
2019-11-01 01:30:00;11;8;5;2;3;6;14;4
2019-11-01 01:45:00;13;7;4;2;6;7;18;6
2019-11-01 02:00:00;11;6;3;6;7;2;16;3
2019-11-01 02:15:00;11;6;3;1;4;7;9;3
2019-11-01 02:30:00;7;5;1;1;1;7;13;3
2019-11-01 02:45:00;6;5;1;0;3;9;15;4
2019-11-01 03:00:00;7;8;2;9;9;1;6;2
2019-11-01 03:15:00;7;5;2;2;3;7;7;6
2019-11-01 03:30:00;3;4;4;6;4;2;3;2
2019-11-01 03:45:00;7;5;2;1;2;7;7;4
2019-11-01 04:00:00;7;5;2;1;2;2;3;0
2019-11-01 04:15:00;7;4;0;2;1;2;6;2
2019-11-01 04:30:00;2;3;1;2;4;2;3;1
2019-11-01 04:45:00;7;6;4;0;3;2;6;1
2019-11-01 05:00:00;5;5;1;4;0;1;5;2
2019-11-01 05:15:00;4;2;2;3;3;0;6;3
2019-11-01 05:30:00;5;5;4;8;8;3;6;4
2019-11-01 05:45:00;5;3;2;33;13;4;7;9
2019-11-01 06:00:00;5;8;4;27;9;3;9;6
2019-11-01 06:15:00;8;9;7;14;5;3;9;5
2019-11-01 06:30:00;6;3;1;6;6;4;7;6
2019-11-01 06:45:00;6;5;3;6;3;1;2;5
2019-11-01 07:00:00;7;5;2;4;2;0;15;5
2019-11-01 07:15:00;15;8;5;2;3;4;11;4
2019-11-01 07:30:00;7;5;3;6;5;1;8;5
2019-11-01 07:45:00;23;12;3;8;2;8;26;13
2019-11-01 08:00:00;15;8;0;6;3;6;16;6
2019-11-01 08:15:00;14;9;4;6;4;4;13;6
2019-11-01 08:30:00;22;16;2;10;11;8;18;6
2019-11-01 08:45:00;20;25;9;5;5;4;22;11
2019-11-01 09:00:00;28;13;7;10;7;6;18;12
2019-11-01 09:15:00;22;25;10;13;6;3;23;10
2019-11-01 09:30:00;16;18;12;19;11;12;30;18
2019-11-01 09:45:00;25;18;13;11;15;9;33;16
2019-11-01 10:00:00;35;26;11;8;6;8;34;18
2019-11-01 10:15:00;27;28;11;14;15;11;37;25
2019-11-01 10:30:00;25;28;14;10;9;10;42;24
2019-11-01 10:45:00;42;40;18;24;14;12;27;29
2019-11-01 11:00:00;42;24;10;16;26;18;41;33
2019-11-01 11:15:00;42;40;17;14;11;10;44;28
2019-11-01 11:30:00;48;32;24;20;10;11;38;26
2019-11-01 11:45:00;51;51;26;23;23;17;41;32
2019-11-01 12:00:00;48;51;20;17;15;15;32;27
2019-11-01 12:15:00;29;37;18;17;11;9;39;20
2019-11-01 12:30:00;37;34;12;21;15;12;32;28
2019-11-01 12:45:00;38;30;19;17;18;14;31;26
2019-11-01 13:00:00;37;26;18;24;14;25;46;37
2019-11-01 13:15:00;33;31;19;18;19;28;64;38
2019-11-01 13:30:00;35;24;22;17;46;22;51;36
2019-11-01 13:45:00;61;39;20;25;16;9;45;31
2019-11-01 14:00:00;40;30;27;23;18;20;38;36
2019-11-01 14:15:00;42;38;20;33;23;20;36;32
2019-11-01 14:30:00;52;38;20;28;19;19;49;29
2019-11-01 14:45:00;45;30;18;31;34;19;42;28
2019-11-01 15:00:00;40;34;19;17;15;30;43;24
2019-11-01 15:15:00;32;33;17;24;17;12;42;28
2019-11-01 15:30:00;41;36;19;23;16;16;45;30
2019-11-01 15:45:00;38;35;21;27;26;19;48;30
2019-11-01 16:00:00;52;33;16;28;23;12;40;31
2019-11-01 16:15:00;44;36;20;21;21;11;38;27
2019-11-01 16:30:00;40;36;17;16;23;13;38;26
2019-11-01 16:45:00;39;29;23;17;19;16;34;21
2019-11-01 17:00:00;31;29;21;14;16;28;48;20
2019-11-01 17:15:00;46;25;18;15;20;17;41;28
2019-11-01 17:30:00;38;23;12;15;9;22;38;25
2019-11-01 17:45:00;41;22;16;20;15;19;43;28
2019-11-01 18:00:00;26;16;19;12;22;21;46;28
2019-11-01 18:15:00;40;24;17;14;22;20;31;18
2019-11-01 18:30:00;41;22;9;25;15;19;32;31
2019-11-01 18:45:00;28;14;13;11;12;13;34;20
2019-11-01 19:00:00;31;17;11;11;22;15;27;20
2019-11-01 19:15:00;36;21;7;15;22;13;25;18
2019-11-01 19:30:00;40;13;11;10;16;10;32;17
2019-11-01 19:45:00;36;21;14;14;7;18;40;27
2019-11-01 20:00:00;36;17;12;21;15;18;35;21
2019-11-01 20:15:00;37;15;7;14;8;12;30;13
2019-11-01 20:30:00;29;11;9;9;10;16;27;15
2019-11-01 20:45:00;28;12;9;9;12;10;24;10
2019-11-01 21:00:00;25;17;6;8;18;17;25;10
2019-11-01 21:15:00;17;18;8;8;4;12;27;17
2019-11-01 21:30:00;22;13;7;11;9;20;30;15
2019-11-01 21:45:00;21;22;8;7;12;14;27;12
2019-11-01 22:00:00;26;13;12;12;12;13;27;13
2019-11-01 22:15:00;22;15;10;7;8;14;14;8
2019-11-01 22:30:00;24;16;9;9;11;10;17;13
2019-11-01 22:45:00;12;6;7;12;7;11;13;9
2019-11-01 23:00:00;17;12;4;16;8;10;25;12
2019-11-01 23:15:00;18;9;6;4;6;7;12;8
2019-11-01 23:30:00;17;12;4;5;3;8;24;4
2019-11-01 23:45:00;11;7;4;7;7;4;12;8
