DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGC);8(TAFBB);9(TAFBC);10(TAFBD)
2020-10-01 00:00:00;4;7;1;8;3;0;0;0;0;0
2020-10-01 00:15:00;9;3;1;3;2;0;0;0;0;0
2020-10-01 00:30:00;3;2;0;5;3;0;0;0;0;0
2020-10-01 00:45:00;4;1;0;7;3;0;0;0;0;0
2020-10-01 01:00:00;5;3;0;4;4;0;0;0;0;0
2020-10-01 01:15:00;7;5;1;3;0;0;0;0;0;0
2020-10-01 01:30:00;7;7;0;6;5;0;0;0;0;0
2020-10-01 01:45:00;3;1;0;6;3;0;0;0;0;0
2020-10-01 02:00:00;8;4;2;9;7;0;0;0;0;0
2020-10-01 02:15:00;5;2;0;6;4;0;0;0;0;0
2020-10-01 02:30:00;7;7;0;1;0;0;0;0;0;0
2020-10-01 02:45:00;8;7;0;3;2;0;0;0;0;0
2020-10-01 03:00:00;4;5;1;7;6;0;0;0;0;0
2020-10-01 03:15:00;7;6;1;11;11;0;0;0;0;0
2020-10-01 03:30:00;7;4;0;9;2;1;0;0;0;0
2020-10-01 03:45:00;8;4;0;3;2;2;0;0;0;0
2020-10-01 04:00:00;9;4;1;6;1;0;0;0;0;0
2020-10-01 04:15:00;8;3;0;11;3;0;0;0;0;0
2020-10-01 04:30:00;10;11;1;15;8;0;0;0;0;0
2020-10-01 04:45:00;16;11;3;14;6;1;0;0;0;0
2020-10-01 05:00:00;18;7;0;31;14;0;0;0;0;0
2020-10-01 05:15:00;26;11;0;29;13;0;0;0;0;0
2020-10-01 05:30:00;58;33;2;65;24;0;0;0;0;0
2020-10-01 05:45:00;54;28;0;45;22;3;0;0;0;0
2020-10-01 06:00:00;73;35;5;63;19;0;0;0;0;0
2020-10-01 06:15:00;75;38;3;57;38;1;0;0;0;0
2020-10-01 06:30:00;121;47;0;98;48;1;0;0;0;0
2020-10-01 06:45:00;134;67;1;94;47;7;0;0;0;0
2020-10-01 07:00:00;109;52;0;131;79;5;0;0;0;0
2020-10-01 07:15:00;109;53;0;132;85;7;1;0;0;0
2020-10-01 07:30:00;28;17;0;35;24;3;0;0;0;0
2020-10-01 07:45:00;131;70;0;108;55;3;0;0;0;0
2020-10-01 08:00:00;108;87;0;92;55;3;0;0;0;0
