DATUM;1(DA1);2(DA2);3(DAL1);4(DB1);5(DB2);6(DC1);7(DC2);8(DCL1);9(DD1);10(DD2);11(DD3)
2019-11-23 00:00:00;22;14;6;10;1;15;11;1;6;10;3
2019-11-23 00:15:00;29;26;10;6;3;21;13;0;2;17;5
2019-11-23 00:30:00;30;22;10;8;2;24;19;6;4;10;1
2019-11-23 00:45:00;19;13;2;8;3;20;8;3;2;3;1
2019-11-23 01:00:00;12;12;2;4;3;15;6;1;1;9;4
2019-11-23 01:15:00;17;13;2;6;4;19;12;3;2;3;1
2019-11-23 01:30:00;12;7;4;1;1;13;3;1;2;5;2
2019-11-23 01:45:00;14;13;2;3;2;17;8;2;3;9;3
2019-11-23 02:00:00;16;16;0;1;3;17;12;6;4;6;0
2019-11-23 02:15:00;13;8;3;3;1;15;4;1;4;7;0
2019-11-23 02:30:00;12;6;1;1;0;18;7;3;4;2;0
2019-11-23 02:45:00;13;4;1;6;4;10;6;0;1;2;0
2019-11-23 03:00:00;5;3;0;1;3;20;8;4;2;5;2
2019-11-23 03:15:00;11;6;3;2;2;10;4;0;1;3;2
2019-11-23 03:30:00;8;11;4;1;1;6;2;1;0;1;0
2019-11-23 03:45:00;12;10;2;3;0;16;2;1;1;5;3
2019-11-23 04:00:00;11;2;2;4;1;3;4;0;1;1;0
2019-11-23 04:15:00;5;7;1;1;0;6;3;2;5;4;1
2019-11-23 04:30:00;5;4;0;4;5;12;3;1;0;3;1
2019-11-23 04:45:00;10;12;5;4;5;10;5;3;2;8;5
2019-11-23 05:00:00;12;3;2;6;5;13;11;1;1;2;1
2019-11-23 05:15:00;23;17;7;6;5;24;6;1;1;2;0
2019-11-23 05:30:00;39;37;7;16;3;29;25;4;4;11;5
2019-11-23 05:45:00;71;65;23;9;4;20;20;4;5;6;3
2019-11-23 06:00:00;94;98;14;14;5;22;22;2;6;9;3
2019-11-23 06:15:00;60;52;17;13;4;30;20;6;4;9;4
2019-11-23 06:30:00;26;27;2;21;8;23;13;6;5;12;5
2019-11-23 06:45:00;32;34;12;23;7;26;16;5;7;14;6
2019-11-23 07:00:00;30;27;8;20;7;29;17;2;11;15;4
2019-11-23 07:15:00;50;41;8;19;9;36;16;6;15;12;3
2019-11-23 07:30:00;38;33;5;30;13;40;21;3;7;18;5
2019-11-23 07:45:00;54;52;10;43;19;37;23;12;21;20;10
2019-11-23 08:00:00;40;39;7;23;12;38;25;6;12;27;10
2019-11-23 08:15:00;44;48;14;39;13;36;24;15;16;21;5
2019-11-23 08:30:00;60;49;8;40;23;52;38;13;16;33;8
2019-11-23 08:45:00;60;37;13;75;20;57;36;14;15;34;11
2019-11-23 09:00:00;63;45;15;69;28;71;55;13;24;30;14
2019-11-23 09:15:00;82;47;10;62;27;70;51;14;30;35;18
2019-11-23 09:30:00;69;56;15;65;24;75;65;24;27;39;11
2019-11-23 09:45:00;72;76;20;72;32;79;53;34;28;45;18
2019-11-23 10:00:00;85;77;23;61;31;76;54;22;35;41;11
