DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DC5);10(DD1);11(TAFGAC)
2020-07-30 00:00:00;10;14;0;0;12;6;0;0;6;0;0
2020-07-30 00:15:00;7;14;2;0;11;10;0;0;10;0;0
2020-07-30 00:30:00;11;11;1;0;11;15;0;0;10;1;0
2020-07-30 00:45:00;7;5;1;0;20;11;0;0;9;0;0
2020-07-30 01:00:00;7;9;1;0;13;7;0;0;9;0;0
2020-07-30 01:15:00;10;7;0;0;7;5;0;0;5;0;0
2020-07-30 01:30:00;6;5;0;0;5;2;0;0;5;0;0
2020-07-30 01:45:00;7;5;0;0;5;4;0;0;6;0;0
2020-07-30 02:00:00;10;8;0;0;4;1;0;0;3;0;0
2020-07-30 02:15:00;5;4;1;0;10;2;0;0;6;0;0
2020-07-30 02:30:00;6;5;0;0;3;4;0;0;5;0;0
2020-07-30 02:45:00;2;2;0;0;7;6;0;0;9;0;0
2020-07-30 03:00:00;5;9;2;1;8;6;0;0;5;0;0
2020-07-30 03:15:00;5;3;0;0;2;2;1;0;3;0;0
2020-07-30 03:30:00;6;5;0;1;6;8;1;0;7;0;0
2020-07-30 03:45:00;5;10;1;0;6;1;0;0;4;0;0
2020-07-30 04:00:00;12;11;0;2;6;3;0;0;3;0;0
2020-07-30 04:15:00;11;7;0;0;13;10;0;0;11;0;0
2020-07-30 04:30:00;17;9;0;0;10;2;0;0;7;0;0
2020-07-30 04:45:00;24;14;1;1;12;6;1;0;7;0;0
2020-07-30 05:00:00;35;22;3;8;24;8;1;0;13;0;0
2020-07-30 05:15:00;30;28;4;0;35;15;0;0;23;0;0
2020-07-30 05:30:00;65;54;8;3;55;25;1;0;25;0;0
2020-07-30 05:45:00;59;61;12;7;53;26;2;0;28;0;0
2020-07-30 06:00:00;77;76;14;5;78;35;4;0;39;0;0
2020-07-30 06:15:00;63;80;19;9;80;53;2;0;65;0;0
2020-07-30 06:30:00;81;128;20;21;128;81;12;0;77;0;14
2020-07-30 06:45:00;75;100;18;7;104;89;7;0;85;1;8
2020-07-30 07:00:00;74;107;17;5;103;95;5;0;104;1;4
2020-07-30 07:15:00;75;129;22;6;120;112;12;0;112;2;6
2020-07-30 07:30:00;67;120;8;9;115;112;5;0;118;3;1
