DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DD1);8(TAFBAC2);9(TAFBA2C);10(TAFBBD2);11(TAFBB2D)
2019-09-08 00:00:00;17;11;2;8;0;11;5;0;0;0;0
2019-09-08 00:15:00;19;11;4;10;0;17;6;0;0;0;0
2019-09-08 00:30:00;18;10;2;2;0;9;5;0;0;0;0
2019-09-08 00:45:00;16;17;3;6;0;13;7;0;0;0;0
2019-09-08 01:00:00;16;13;2;9;0;10;5;0;0;0;0
2019-09-08 01:15:00;23;10;2;3;0;13;5;0;0;0;0
2019-09-08 01:30:00;26;12;0;2;0;9;4;0;0;0;0
2019-09-08 01:45:00;9;9;4;7;0;5;2;0;0;0;0
2019-09-08 02:00:00;15;7;1;1;0;14;2;0;0;0;0
2019-09-08 02:15:00;18;9;1;0;0;8;7;0;0;0;0
2019-09-08 02:30:00;14;6;2;1;0;5;1;0;0;0;0
2019-09-08 02:45:00;8;5;1;5;0;6;1;0;0;0;0
2019-09-08 03:00:00;10;7;0;1;0;8;2;0;0;0;0
2019-09-08 03:15:00;9;8;1;0;0;3;3;0;0;0;0
2019-09-08 03:30:00;6;6;0;1;0;4;0;0;0;0;0
2019-09-08 03:45:00;6;3;2;1;0;2;1;0;0;0;0
2019-09-08 04:00:00;5;5;1;1;0;3;1;0;0;0;0
2019-09-08 04:15:00;7;3;0;0;0;5;3;0;0;0;0
2019-09-08 04:30:00;7;5;1;2;0;9;1;0;0;0;0
2019-09-08 04:45:00;12;6;2;2;0;2;3;0;0;0;0
2019-09-08 05:00:00;11;10;1;6;0;1;0;0;0;0;0
2019-09-08 05:15:00;21;7;2;2;0;7;0;0;0;0;0
2019-09-08 05:30:00;14;8;1;4;0;15;2;0;0;0;0
2019-09-08 05:45:00;12;7;1;4;0;9;6;3;0;0;0
2019-09-08 06:00:00;15;11;0;6;0;5;1;0;0;0;0
2019-09-08 06:15:00;17;8;0;2;0;7;2;0;0;0;0
2019-09-08 06:30:00;21;4;1;7;0;3;4;0;0;0;0
2019-09-08 06:45:00;15;6;2;6;0;8;4;0;0;0;0
2019-09-08 07:00:00;16;9;4;7;0;3;13;0;0;0;0
2019-09-08 07:15:00;14;10;2;7;0;8;6;0;0;0;0
2019-09-08 07:30:00;20;13;2;5;0;9;2;0;0;0;0
2019-09-08 07:45:00;19;14;1;9;0;12;5;0;0;0;0
2019-09-08 08:00:00;15;6;4;12;0;6;12;0;0;0;0
2019-09-08 08:15:00;26;28;2;8;0;7;6;0;0;0;0
2019-09-08 08:30:00;28;13;2;11;0;15;8;0;0;0;0
2019-09-08 08:45:00;36;19;11;18;0;16;14;0;4;0;0
2019-09-08 09:00:00;41;31;1;17;0;18;4;0;0;0;0
2019-09-08 09:15:00;41;24;4;23;0;20;14;0;0;0;0
2019-09-08 09:30:00;36;36;5;17;0;26;10;0;0;0;0
2019-09-08 09:45:00;39;27;5;19;0;31;12;0;0;0;0
2019-09-08 10:00:00;51;43;6;23;0;26;20;0;0;0;0
2019-09-08 10:15:00;44;37;7;29;0;30;18;3;0;0;0
2019-09-08 10:30:00;58;36;6;39;0;33;13;0;33;0;0
2019-09-08 10:45:00;57;49;9;21;0;29;17;0;0;0;0
2019-09-08 11:00:00;56;42;16;22;0;35;16;0;0;0;0
2019-09-08 11:15:00;63;43;13;25;0;36;11;0;0;0;0
2019-09-08 11:30:00;53;37;9;26;0;39;25;0;0;0;0
2019-09-08 11:45:00;58;52;14;34;0;61;26;0;0;0;0
2019-09-08 12:00:00;53;35;15;14;0;56;20;0;0;0;0
2019-09-08 12:15:00;56;44;18;20;0;44;14;0;0;0;0
2019-09-08 12:30:00;45;30;12;23;0;45;27;0;13;0;0
2019-09-08 12:45:00;59;36;16;23;0;47;20;0;4;0;0
2019-09-08 13:00:00;44;44;14;21;0;56;20;0;4;3;0
2019-09-08 13:15:00;44;40;11;36;0;44;16;0;0;9;0
2019-09-08 13:30:00;57;58;10;36;0;71;19;0;0;0;0
2019-09-08 13:45:00;64;51;14;42;0;63;17;0;0;0;0
2019-09-08 14:00:00;72;60;15;26;0;58;20;0;0;0;0
2019-09-08 14:15:00;60;49;16;22;0;52;16;0;0;0;0
2019-09-08 14:30:00;66;54;15;32;0;51;20;0;0;16;0
2019-09-08 14:45:00;70;56;15;34;0;56;19;0;0;1;0
2019-09-08 15:00:00;63;38;15;29;0;40;14;0;4;0;0
2019-09-08 15:15:00;46;41;12;21;0;48;11;0;0;0;0
2019-09-08 15:30:00;48;44;10;20;0;57;20;0;0;0;0
2019-09-08 15:45:00;58;49;15;29;0;68;15;0;0;0;0
2019-09-08 16:00:00;57;54;9;29;0;47;12;0;0;0;0
2019-09-08 16:15:00;53;63;15;22;0;65;14;0;0;0;0
2019-09-08 16:30:00;40;45;14;32;0;53;16;0;0;0;0
2019-09-08 16:45:00;62;53;15;23;0;61;10;0;0;0;0
2019-09-08 17:00:00;70;48;18;30;0;62;8;0;0;0;0
2019-09-08 17:15:00;65;46;14;26;0;51;15;0;0;0;0
2019-09-08 17:30:00;56;53;18;29;0;54;21;0;0;0;0
2019-09-08 17:45:00;54;43;11;18;0;69;15;1;1;0;0
2019-09-08 18:00:00;41;42;15;27;0;44;14;0;0;0;0
2019-09-08 18:15:00;53;43;24;33;0;75;18;0;0;0;1
2019-09-08 18:30:00;53;34;14;31;0;54;28;0;0;0;0
2019-09-08 18:45:00;64;53;12;33;0;56;8;0;0;0;0
2019-09-08 19:00:00;54;41;13;34;0;42;15;0;0;0;0
2019-09-08 19:15:00;49;43;12;28;0;33;22;0;0;0;0
2019-09-08 19:30:00;42;42;14;24;0;46;22;0;0;0;0
2019-09-08 19:45:00;47;42;8;25;0;51;16;0;0;0;0
2019-09-08 20:00:00;39;40;5;27;0;48;18;0;0;0;0
2019-09-08 20:15:00;50;38;18;19;0;41;20;0;0;0;0
2019-09-08 20:30:00;40;43;11;19;0;43;17;0;0;0;0
2019-09-08 20:45:00;37;20;12;15;0;50;5;0;0;0;0
2019-09-08 21:00:00;43;35;8;17;0;46;12;0;0;0;0
2019-09-08 21:15:00;35;26;13;17;0;27;4;0;0;0;0
2019-09-08 21:30:00;36;22;6;6;0;43;10;0;0;0;0
2019-09-08 21:45:00;30;25;9;13;0;34;4;0;0;0;0
2019-09-08 22:00:00;32;18;6;9;0;30;11;0;0;0;0
2019-09-08 22:15:00;24;31;3;8;0;23;6;0;6;0;0
2019-09-08 22:30:00;22;25;2;5;0;19;6;0;0;0;0
2019-09-08 22:45:00;22;10;6;15;0;19;7;0;0;0;0
2019-09-08 23:00:00;11;6;3;6;0;9;4;0;0;0;0
2019-09-08 23:15:00;20;17;3;3;0;18;3;0;0;0;0
2019-09-08 23:30:00;14;8;3;11;0;19;6;0;0;0;0
2019-09-08 23:45:00;10;5;2;4;0;13;2;0;0;0;0
