DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2020-02-15 21:00:00;12;28;55;2;5;35;0;0;0;0;0;0
2020-02-15 21:15:00;4;12;45;3;1;36;0;0;0;0;0;0
2020-02-15 21:30:00;10;25;62;9;1;42;0;0;0;0;0;0
2020-02-15 21:45:00;8;22;48;29;1;14;0;0;0;0;0;0
2020-02-15 22:00:00;9;21;46;17;5;26;0;0;0;0;0;0
2020-02-15 22:15:00;4;18;51;15;3;25;0;0;0;0;0;0
2020-02-15 22:30:00;19;27;39;9;1;21;0;0;0;0;0;0
2020-02-15 22:45:00;14;18;47;5;2;33;0;0;0;0;0;0
2020-02-15 23:00:00;8;25;45;2;4;28;0;0;0;0;0;0
2020-02-15 23:15:00;7;19;35;3;1;21;0;0;0;0;0;0
2020-02-15 23:30:00;10;22;50;4;1;30;0;0;0;0;0;0
2020-02-15 23:45:00;10;20;39;3;0;28;0;0;0;0;0;0
