DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2020-07-27 00:00:00;0;0;0;0;0;0;0;0
2020-07-27 00:15:00;0;1;0;0;0;0;0;0
2020-07-27 00:30:00;0;1;0;0;0;0;0;0
2020-07-27 00:45:00;0;3;1;1;0;0;0;0
2020-07-27 01:00:00;0;3;2;1;0;0;0;0
2020-07-27 01:15:00;0;2;0;0;0;0;0;0
2020-07-27 01:30:00;0;4;0;0;0;0;0;0
2020-07-27 01:45:00;0;0;0;0;0;0;0;0
2020-07-27 02:00:00;0;0;0;0;0;0;0;0
2020-07-27 02:15:00;0;0;0;0;0;0;0;0
2020-07-27 02:30:00;0;0;1;1;0;0;0;0
2020-07-27 02:45:00;0;0;0;0;0;0;0;0
2020-07-27 03:00:00;0;0;0;0;0;0;0;0
2020-07-27 03:15:00;0;0;0;0;0;0;0;0
2020-07-27 03:30:00;0;0;0;0;0;0;0;0
2020-07-27 03:45:00;0;1;0;0;0;0;0;0
2020-07-27 04:00:00;0;0;0;0;0;0;0;0
2020-07-27 04:15:00;0;0;1;1;0;0;0;0
2020-07-27 04:30:00;0;3;0;1;0;0;0;0
2020-07-27 04:45:00;2;4;3;1;1;0;0;0
2020-07-27 05:00:00;0;7;10;4;0;0;0;0
2020-07-27 05:15:00;1;20;32;13;0;0;0;0
2020-07-27 05:30:00;3;17;35;6;0;0;0;0
2020-07-27 05:45:00;1;15;42;5;2;0;0;0
2020-07-27 06:00:00;3;10;18;1;7;0;0;0
2020-07-27 06:15:00;4;8;26;1;3;0;0;0
2020-07-27 06:30:00;1;25;70;9;4;0;0;0
2020-07-27 06:45:00;5;20;86;2;3;0;0;0
2020-07-27 07:00:00;1;17;49;6;5;0;0;0
2020-07-27 07:15:00;4;17;53;10;4;0;0;0
2020-07-27 07:30:00;7;18;47;11;10;0;0;0
2020-07-27 07:45:00;6;21;43;8;11;0;0;0
2020-07-27 08:00:00;5;21;50;12;7;0;8;0
2020-07-27 08:15:00;5;23;53;10;18;0;0;0
2020-07-27 08:30:00;2;19;34;9;11;0;0;0
2020-07-27 08:45:00;9;23;22;5;9;0;0;0
2020-07-27 09:00:00;7;15;24;5;13;0;0;1
2020-07-27 09:15:00;3;12;16;8;7;0;0;0
2020-07-27 09:30:00;2;23;18;4;13;0;2;0
