DATUM;1(DA1);2(DA2);3(DAL1);4(DB1);5(DB2);6(DC1);7(DC2);8(DCL1);9(DD1);10(DD2);11(DD3)
2019-12-22 00:00:00;13;7;1;33;2;12;6;0;4;3;1
2019-12-22 00:15:00;18;20;5;10;3;21;15;1;4;13;3
2019-12-22 00:30:00;17;7;5;6;1;11;10;3;3;10;1
2019-12-22 00:45:00;10;10;3;5;3;11;9;4;1;6;1
2019-12-22 01:00:00;14;14;6;5;5;11;7;2;3;6;1
2019-12-22 01:15:00;12;11;3;2;1;16;14;3;5;6;1
2019-12-22 01:30:00;16;5;3;7;2;10;4;2;2;6;1
2019-12-22 01:45:00;13;10;4;5;4;14;8;5;4;8;1
2019-12-22 02:00:00;7;7;2;2;1;7;9;2;5;5;2
2019-12-22 02:15:00;10;9;5;5;1;5;4;1;3;7;0
2019-12-22 02:30:00;3;4;1;8;7;6;0;0;3;3;0
2019-12-22 02:45:00;7;8;3;4;0;4;7;3;0;3;0
2019-12-22 03:00:00;4;7;0;3;2;9;8;2;0;3;1
2019-12-22 03:15:00;14;13;4;1;0;5;7;2;6;6;2
2019-12-22 03:30:00;12;8;2;4;0;8;3;0;2;3;1
2019-12-22 03:45:00;7;6;2;5;2;7;5;1;0;2;2
2019-12-22 04:00:00;6;7;4;3;4;1;3;1;0;2;0
2019-12-22 04:15:00;5;5;2;2;1;7;2;0;4;8;1
2019-12-22 04:30:00;5;7;1;1;2;4;5;2;2;4;0
2019-12-22 04:45:00;7;5;1;1;0;7;7;3;0;4;1
2019-12-22 05:00:00;15;11;3;5;3;5;6;0;2;6;1
2019-12-22 05:15:00;8;7;4;7;6;7;4;3;2;2;1
2019-12-22 05:30:00;13;10;3;8;3;8;9;3;3;4;0
2019-12-22 05:45:00;22;12;2;4;1;16;13;1;2;6;1
2019-12-22 06:00:00;12;6;1;9;3;10;4;0;4;4;0
2019-12-22 06:15:00;18;17;1;7;2;8;1;0;1;6;3
2019-12-22 06:30:00;12;6;0;2;1;8;4;0;1;2;2
2019-12-22 06:45:00;10;5;4;4;5;6;4;3;2;5;1
2019-12-22 07:00:00;9;5;2;9;6;5;4;0;0;4;1
2019-12-22 07:15:00;15;9;2;10;4;5;2;0;1;7;3
2019-12-22 07:30:00;8;11;2;8;4;8;12;6;2;11;2
2019-12-22 07:45:00;12;9;3;18;4;12;4;3;3;3;2
2019-12-22 08:00:00;16;7;2;18;2;9;3;1;4;6;1
2019-12-22 08:15:00;23;9;5;16;4;11;7;0;3;10;1
2019-12-22 08:30:00;21;14;5;20;4;16;11;6;4;9;1
2019-12-22 08:45:00;26;14;7;15;6;15;15;8;10;15;2
2019-12-22 09:00:00;22;19;2;27;10;17;8;7;8;7;3
2019-12-22 09:15:00;29;19;5;26;6;23;13;6;6;15;4
2019-12-22 09:30:00;35;23;4;35;3;28;19;6;6;24;9
2019-12-22 09:45:00;26;19;11;45;15;30;21;6;6;26;7
2019-12-22 10:00:00;31;27;13;29;8;28;13;7;7;35;9
2019-12-22 10:15:00;46;31;9;38;12;28;17;11;12;25;7
2019-12-22 10:30:00;30;22;12;20;10;23;15;3;11;21;7
2019-12-22 10:45:00;45;42;13;42;15;28;30;9;15;26;7
2019-12-22 11:00:00;45;34;10;36;11;42;19;14;12;34;11
2019-12-22 11:15:00;43;40;13;42;8;37;28;20;16;37;10
2019-12-22 11:30:00;45;33;11;46;8;31;20;6;13;40;13
2019-12-22 11:45:00;33;33;17;37;11;33;30;10;9;43;8
2019-12-22 12:00:00;46;36;14;31;11;31;23;7;10;36;4
2019-12-22 12:15:00;43;38;9;37;13;38;21;5;10;34;9
2019-12-22 12:30:00;47;36;9;34;10;46;24;6;17;33;7
2019-12-22 12:45:00;46;43;20;43;14;37;22;8;18;31;11
2019-12-22 13:00:00;38;41;11;39;17;41;36;15;7;37;13
2019-12-22 13:15:00;63;56;12;34;14;52;40;6;4;27;4
2019-12-22 13:30:00;42;37;18;51;15;47;34;7;16;31;8
2019-12-22 13:45:00;62;46;16;37;13;45;35;10;16;38;6
2019-12-22 14:00:00;58;46;7;44;7;44;32;10;12;36;5
2019-12-22 14:15:00;43;47;16;38;20;45;32;11;9;37;7
2019-12-22 14:30:00;43;40;12;41;19;43;30;9;15;37;6
2019-12-22 14:45:00;42;34;16;37;13;42;30;9;13;38;10
2019-12-22 15:00:00;46;32;18;41;13;51;38;7;9;31;6
2019-12-22 15:15:00;54;53;12;27;9;41;31;10;7;35;11
2019-12-22 15:30:00;50;52;21;37;10;40;31;16;13;35;7
2019-12-22 15:45:00;47;40;11;28;11;43;26;9;16;43;11
2019-12-22 16:00:00;43;30;22;36;10;55;40;7;14;49;10
2019-12-22 16:15:00;55;45;13;46;12;54;49;10;20;49;7
2019-12-22 16:30:00;54;54;19;43;20;51;38;12;13;58;19
2019-12-22 16:45:00;52;51;11;50;20;50;38;7;17;33;6
2019-12-22 17:00:00;55;51;19;45;6;50;32;10;24;51;9
2019-12-22 17:15:00;51;40;19;45;8;46;35;14;12;34;13
2019-12-22 17:30:00;43;40;9;41;15;46;36;5;12;46;13
2019-12-22 17:45:00;45;38;13;42;10;45;38;6;12;41;12
2019-12-22 18:00:00;43;37;15;48;14;48;35;6;13;31;10
2019-12-22 18:15:00;48;28;9;48;10;46;37;8;8;27;6
2019-12-22 18:30:00;41;26;9;40;16;40;26;13;17;37;7
2019-12-22 18:45:00;41;34;14;44;5;42;36;10;22;37;4
2019-12-22 19:00:00;45;38;14;27;10;39;31;6;19;35;5
2019-12-22 19:15:00;35;28;11;25;8;40;37;5;7;29;10
2019-12-22 19:30:00;30;28;11;25;8;35;20;4;13;28;3
2019-12-22 19:45:00;42;42;7;19;7;39;28;4;14;21;5
2019-12-22 20:00:00;39;33;14;20;8;30;24;5;11;28;6
2019-12-22 20:15:00;35;23;9;18;7;40;28;10;9;20;5
2019-12-22 20:30:00;36;21;15;21;7;37;27;4;11;29;10
2019-12-22 20:45:00;30;28;11;13;5;29;18;3;11;18;5
2019-12-22 21:00:00;31;24;7;14;7;31;21;5;8;22;4
2019-12-22 21:15:00;25;21;7;12;7;27;11;1;5;19;5
2019-12-22 21:30:00;29;21;9;14;3;27;11;2;4;11;3
2019-12-22 21:45:00;22;20;5;17;6;15;14;3;11;18;1
2019-12-22 22:00:00;28;18;10;20;3;24;13;4;19;46;6
2019-12-22 22:15:00;28;18;1;15;5;25;15;4;6;21;6
2019-12-22 22:30:00;23;17;7;7;5;21;16;3;5;21;4
2019-12-22 22:45:00;27;13;5;7;3;19;16;3;10;16;6
2019-12-22 23:00:00;18;18;4;7;2;20;11;2;7;11;5
2019-12-22 23:15:00;12;10;3;10;2;15;11;1;5;10;1
2019-12-22 23:30:00;11;6;5;11;3;13;8;2;7;23;4
2019-12-22 23:45:00;9;4;6;7;4;13;7;0;0;15;1
