DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGC);8(TAFBB);9(TAFBC);10(TAFBD)
2020-07-04 00:00:00;12;9;1;7;2;1;0;0;0;0
2020-07-04 00:15:00;21;8;2;13;7;0;0;0;0;0
2020-07-04 00:30:00;19;12;0;11;5;0;0;0;0;0
2020-07-04 00:45:00;4;8;0;13;6;2;0;0;0;0
2020-07-04 01:00:00;7;5;0;7;2;0;0;0;0;0
2020-07-04 01:15:00;6;1;0;5;2;0;0;0;0;0
2020-07-04 01:30:00;3;1;0;7;4;0;0;0;0;0
2020-07-04 01:45:00;5;1;0;5;1;0;0;0;0;0
2020-07-04 02:00:00;8;4;0;11;5;0;0;0;0;0
2020-07-04 02:15:00;8;4;0;1;2;0;0;0;0;0
2020-07-04 02:30:00;11;2;0;1;1;0;0;0;0;0
2020-07-04 02:45:00;2;1;0;1;3;0;0;0;0;0
2020-07-04 03:00:00;6;4;1;2;0;0;0;0;0;0
2020-07-04 03:15:00;2;0;0;1;1;0;0;0;0;0
2020-07-04 03:30:00;3;3;0;4;2;0;0;0;0;0
2020-07-04 03:45:00;2;1;0;5;2;0;0;0;0;0
2020-07-04 04:00:00;3;1;1;3;3;0;0;0;0;0
2020-07-04 04:15:00;3;1;0;2;4;0;0;0;0;0
2020-07-04 04:30:00;4;3;0;1;1;0;0;0;0;0
2020-07-04 04:45:00;7;4;0;13;3;0;0;0;0;0
2020-07-04 05:00:00;3;3;0;1;2;0;0;0;0;0
2020-07-04 05:15:00;11;4;0;14;5;0;0;0;0;0
2020-07-04 05:30:00;8;10;0;13;4;0;0;0;0;0
2020-07-04 05:45:00;12;10;0;15;6;0;0;0;0;0
2020-07-04 06:00:00;15;8;4;8;10;0;0;0;0;0
2020-07-04 06:15:00;12;11;0;15;4;0;0;0;0;0
2020-07-04 06:30:00;20;11;1;22;6;0;0;0;0;0
2020-07-04 06:45:00;10;10;0;25;8;0;0;0;0;0
2020-07-04 07:00:00;22;11;1;26;8;0;0;0;0;0
2020-07-04 07:15:00;14;8;0;33;14;2;0;0;0;0
2020-07-04 07:30:00;30;13;1;24;16;2;0;0;0;0
2020-07-04 07:45:00;31;11;0;26;10;2;0;0;0;0
2020-07-04 08:00:00;34;8;0;26;11;1;0;0;0;0
2020-07-04 08:15:00;40;13;2;39;27;3;0;0;0;0
2020-07-04 08:30:00;35;16;0;35;12;4;0;0;0;0
2020-07-04 08:45:00;54;35;0;39;32;6;0;0;0;0
2020-07-04 09:00:00;43;22;4;55;45;7;0;0;0;0
2020-07-04 09:15:00;60;32;2;60;32;3;0;0;0;0
2020-07-04 09:30:00;73;38;4;83;50;8;0;0;0;0
2020-07-04 09:45:00;72;34;0;83;48;512;0;0;0;0
2020-07-04 10:00:00;80;48;3;85;49;9;0;0;0;0
2020-07-04 10:15:00;84;47;1;66;61;7;17;0;0;0
2020-07-04 10:30:00;73;50;1;82;49;6;3;0;0;0
2020-07-04 10:45:00;81;33;2;72;36;7;1;0;0;0
2020-07-04 11:00:00;95;40;2;76;52;8;3;0;0;0
2020-07-04 11:15:00;71;33;9;95;67;9;0;0;0;0
2020-07-04 11:30:00;93;49;1;92;32;9;0;0;0;0
2020-07-04 11:45:00;99;49;0;74;54;11;2;0;0;0
2020-07-04 12:00:00;86;53;1;74;42;6;2;0;0;0
2020-07-04 12:15:00;89;37;0;74;42;6;0;0;0;0
2020-07-04 12:30:00;80;45;0;79;47;6;8;0;0;0
2020-07-04 12:45:00;70;49;2;82;38;4;0;0;0;0
2020-07-04 13:00:00;92;49;3;94;45;4;0;0;0;0
2020-07-04 13:15:00;94;44;2;77;35;256;0;0;0;0
2020-07-04 13:30:00;81;50;3;84;33;7;0;0;0;0
2020-07-04 13:45:00;83;59;0;74;36;2;0;0;0;0
2020-07-04 14:00:00;66;48;4;95;35;4;0;0;0;0
2020-07-04 14:15:00;94;53;7;71;38;4;0;0;0;0
2020-07-04 14:30:00;79;40;0;78;35;1;0;0;0;0
2020-07-04 14:45:00;83;43;0;70;38;3;0;0;0;0
2020-07-04 15:00:00;74;37;1;80;36;9;0;0;0;0
2020-07-04 15:15:00;66;46;1;89;43;8;1;0;0;0
2020-07-04 15:30:00;56;31;0;75;38;10;0;0;0;0
2020-07-04 15:45:00;75;43;2;69;31;6;1;0;0;0
2020-07-04 16:00:00;57;32;1;65;37;4;0;0;0;0
2020-07-04 16:15:00;59;36;1;67;41;2;3;0;0;0
2020-07-04 16:30:00;47;27;3;78;46;4;0;0;0;0
2020-07-04 16:45:00;62;42;2;59;23;1;0;0;0;0
2020-07-04 17:00:00;66;32;0;60;26;3;0;0;0;0
2020-07-04 17:15:00;57;43;1;63;32;4;5;0;0;0
