DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DD1);9(DD2)
2020-03-07 00:00:00;11;7;7;8;5;8;11;4;3
2020-03-07 00:15:00;20;11;4;9;3;10;6;0;0
2020-03-07 00:30:00;25;9;4;5;4;5;7;3;3
2020-03-07 00:45:00;4;5;3;13;4;6;7;1;1
2020-03-07 01:00:00;10;5;4;7;1;6;3;4;4
2020-03-07 01:15:00;14;9;3;8;3;7;7;3;3
2020-03-07 01:30:00;8;7;3;3;3;4;5;5;5
2020-03-07 01:45:00;4;2;1;9;3;7;5;3;3
2020-03-07 02:00:00;5;0;1;6;1;5;0;1;1
2020-03-07 02:15:00;6;1;1;5;2;5;1;2;2
2020-03-07 02:30:00;6;1;2;4;2;4;2;2;2
2020-03-07 02:45:00;4;0;0;11;1;3;7;1;1
2020-03-07 03:00:00;4;4;0;4;0;5;1;2;2
2020-03-07 03:15:00;5;4;2;8;3;3;5;1;1
2020-03-07 03:30:00;5;1;0;3;1;3;3;3;3
2020-03-07 03:45:00;3;2;1;4;1;0;0;3;3
2020-03-07 04:00:00;2;2;1;3;2;1;4;0;0
2020-03-07 04:15:00;4;3;1;4;0;4;4;2;2
2020-03-07 04:30:00;3;2;0;3;0;2;2;2;2
2020-03-07 04:45:00;4;2;1;5;3;2;4;3;3
2020-03-07 05:00:00;7;3;0;6;2;9;9;3;3
2020-03-07 05:15:00;13;15;2;8;6;8;11;1;1
2020-03-07 05:30:00;16;6;3;17;7;15;9;2;2
2020-03-07 05:45:00;19;11;10;43;23;21;9;3;3
2020-03-07 06:00:00;20;17;0;58;51;19;20;1;1
2020-03-07 06:15:00;24;7;3;36;29;20;13;3;3
2020-03-07 06:30:00;14;11;2;24;9;15;19;2;2
2020-03-07 06:45:00;20;7;5;14;7;16;16;0;0
2020-03-07 07:00:00;26;7;4;19;4;12;15;4;4
2020-03-07 07:15:00;23;7;4;17;6;25;23;6;6
2020-03-07 07:30:00;31;19;7;23;8;33;31;10;10
2020-03-07 07:45:00;33;11;6;26;9;33;34;5;5
2020-03-07 08:00:00;28;9;12;24;11;29;29;3;3
2020-03-07 08:15:00;28;20;13;24;12;30;28;4;4
2020-03-07 08:30:00;49;17;10;29;20;48;45;7;7
2020-03-07 08:45:00;42;32;15;27;19;39;49;6;6
2020-03-07 09:00:00;34;17;22;27;17;48;51;4;4
2020-03-07 09:15:00;55;21;16;35;28;42;56;8;8
2020-03-07 09:30:00;64;31;24;26;14;44;59;13;13
2020-03-07 09:45:00;68;31;16;46;33;56;61;23;23
2020-03-07 10:00:00;71;44;19;37;33;39;58;27;27
2020-03-07 10:15:00;58;39;19;45;34;44;53;24;24
2020-03-07 10:30:00;56;41;7;43;33;43;62;21;21
2020-03-07 10:45:00;81;37;29;46;38;69;61;27;27
2020-03-07 11:00:00;80;51;27;50;42;49;63;37;37
2020-03-07 11:15:00;76;49;23;50;51;51;66;23;23
2020-03-07 11:30:00;84;47;18;46;47;58;70;29;29
2020-03-07 11:45:00;78;47;21;59;47;72;73;40;40
2020-03-07 12:00:00;79;47;24;58;54;57;63;51;51
2020-03-07 12:15:00;87;48;18;62;53;68;80;42;42
2020-03-07 12:30:00;71;54;25;56;44;56;74;23;23
2020-03-07 12:45:00;73;43;26;56;68;70;70;42;42
2020-03-07 13:00:00;73;42;19;59;56;61;87;48;50
2020-03-07 13:15:00;92;60;21;59;53;59;84;48;46
2020-03-07 13:30:00;94;57;18;57;58;67;83;46;46
2020-03-07 13:45:00;100;58;20;59;61;57;83;46;46
2020-03-07 14:00:00;89;58;28;57;48;71;69;20;20
2020-03-07 14:15:00;76;43;21;59;55;61;63;21;21
2020-03-07 14:30:00;93;59;19;59;49;66;80;23;24
2020-03-07 14:45:00;87;48;18;65;60;72;74;24;23
2020-03-07 15:00:00;97;51;27;70;60;52;72;27;27
2020-03-07 15:15:00;71;40;16;39;45;60;58;33;32
2020-03-07 15:30:00;96;46;16;52;53;67;82;28;28
2020-03-07 15:45:00;97;44;30;51;44;68;70;23;23
2020-03-07 16:00:00;99;56;19;56;58;66;71;21;21
2020-03-07 16:15:00;79;47;11;48;45;59;72;13;13
2020-03-07 16:30:00;68;43;18;48;41;71;69;19;19
2020-03-07 16:45:00;83;29;25;50;46;58;67;13;14
2020-03-07 17:00:00;77;44;25;43;36;54;68;24;23
2020-03-07 17:15:00;82;38;26;56;48;69;73;12;13
2020-03-07 17:30:00;81;38;24;47;45;60;73;17;16
2020-03-07 17:45:00;94;40;27;57;42;58;70;13;13
