DATUM;1(DA1);2(DA2RES);3(DB1);4(DC1);5(DC2RES);6(DD1);7(TAFBA);8(TAFGB);9(TAFBB);10(TAFBC);11(TAFGD);12(TAFBD);13(TAFGB2);14(TAFBB2)
2020-12-11 00:00:00;0;0;4;0;0;3;0;0;0;0;0;0;0;0
2020-12-11 00:15:00;1;0;6;1;1;5;0;0;0;0;0;0;0;0
2020-12-11 00:30:00;0;0;3;1;1;4;0;0;0;0;0;0;0;0
2020-12-11 00:45:00;0;0;5;1;1;7;0;0;0;0;0;0;0;0
2020-12-11 01:00:00;0;0;4;0;0;4;0;0;0;0;0;0;0;0
2020-12-11 01:15:00;0;0;4;0;0;2;0;0;0;0;0;0;0;0
2020-12-11 01:30:00;0;0;0;1;2;4;0;0;0;0;0;0;0;0
2020-12-11 01:45:00;0;0;1;0;0;2;0;0;0;0;0;0;0;0
2020-12-11 02:00:00;1;0;0;0;0;3;0;0;0;0;0;0;0;0
2020-12-11 02:15:00;0;0;2;0;0;3;0;0;0;0;0;0;0;0
2020-12-11 02:30:00;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-12-11 02:45:00;0;0;1;0;0;1;0;0;0;0;0;0;0;0
2020-12-11 03:00:00;1;0;0;0;0;3;0;0;0;0;0;0;0;0
2020-12-11 03:15:00;1;0;4;0;0;1;0;0;0;0;0;0;0;0
2020-12-11 03:30:00;0;0;4;0;0;4;0;0;0;0;0;0;0;0
2020-12-11 03:45:00;0;0;2;0;0;4;0;0;0;0;0;0;0;0
2020-12-11 04:00:00;0;0;7;0;0;3;0;0;0;0;0;0;0;0
2020-12-11 04:15:00;0;0;11;1;1;2;0;0;0;0;0;0;0;0
2020-12-11 04:30:00;0;0;16;0;0;5;0;0;0;0;0;0;0;0
2020-12-11 04:45:00;1;0;25;0;0;10;0;0;0;0;0;0;0;0
2020-12-11 05:00:00;1;0;57;1;1;10;0;0;0;0;0;0;0;0
2020-12-11 05:15:00;0;0;120;3;4;10;0;0;0;0;0;0;0;0
2020-12-11 05:30:00;0;0;148;4;4;14;0;0;0;0;0;0;0;0
2020-12-11 05:45:00;1;0;100;0;2;69;0;0;0;0;0;0;0;0
2020-12-11 06:00:00;0;0;102;0;1;58;0;0;0;0;0;0;0;0
2020-12-11 06:15:00;1;0;160;2;6;71;0;0;0;0;1;0;0;0
2020-12-11 06:30:00;1;0;206;4;9;60;0;0;0;0;0;0;0;0
2020-12-11 06:45:00;0;0;163;11;12;66;0;0;0;0;0;0;0;0
2020-12-11 07:00:00;2;0;192;14;15;58;0;0;0;0;0;0;0;0
2020-12-11 07:15:00;0;0;242;26;32;90;0;0;0;0;1;0;0;0
2020-12-11 07:30:00;3;0;221;38;37;121;0;3;0;0;0;0;0;0
2020-12-11 07:45:00;2;0;210;16;18;128;0;1;0;0;0;0;0;0
2020-12-11 08:00:00;2;0;183;14;20;94;0;1;0;0;0;0;0;0
2020-12-11 08:15:00;5;0;149;15;19;110;0;1;0;0;0;0;0;0
2020-12-11 08:30:00;2;0;154;12;19;95;0;0;0;0;0;0;0;0
2020-12-11 08:45:00;0;0;146;6;12;97;0;0;0;0;0;0;2;0
2020-12-11 09:00:00;3;0;152;9;10;99;0;1;0;0;0;0;0;0
2020-12-11 09:15:00;0;0;128;10;12;90;0;2;0;0;2;0;0;0
2020-12-11 09:30:00;2;0;168;11;13;86;0;5;0;0;0;0;0;0
2020-12-11 09:45:00;1;0;183;7;12;114;0;4;0;0;0;0;0;0
2020-12-11 10:00:00;6;0;139;9;14;114;0;2;0;0;0;0;0;0
2020-12-11 10:15:00;3;0;134;9;14;128;0;2;0;0;0;0;3;0
2020-12-11 10:30:00;3;0;137;9;12;130;0;0;0;0;0;0;0;0
2020-12-11 10:45:00;2;0;145;8;10;140;0;1;0;0;0;0;1;0
2020-12-11 11:00:00;1;0;131;2;4;147;0;2;0;0;0;0;1;0
2020-12-11 11:15:00;2;0;129;7;12;150;0;4;0;0;1;0;1;0
2020-12-11 11:30:00;4;0;136;9;17;172;0;0;0;0;1;0;0;0
2020-12-11 11:45:00;2;0;156;9;18;180;0;2;0;0;0;0;1;0
