DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DD1);7(DD2);8(DD3);9(TAFGA);10(TAFBA);11(TAFBB);12(TAFGC);13(TAFBC);14(TAFBD)
2020-11-03 00:00:00;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2020-11-03 00:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-03 00:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-03 00:45:00;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2020-11-03 01:00:00;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-11-03 01:15:00;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-11-03 01:30:00;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-11-03 01:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-03 02:00:00;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-11-03 02:15:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-03 02:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-03 02:45:00;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-11-03 03:00:00;0;0;0;0;0;0;2;2;0;0;0;0;0;0
2020-11-03 03:15:00;0;0;0;0;0;0;1;1;0;0;0;0;0;0
2020-11-03 03:30:00;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2020-11-03 03:45:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-03 04:00:00;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2020-11-03 04:15:00;0;0;0;0;0;0;3;2;0;0;0;0;0;0
2020-11-03 04:30:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-11-03 04:45:00;0;0;1;1;0;0;4;3;0;0;0;0;0;0
2020-11-03 05:00:00;0;0;1;1;0;0;1;1;0;0;0;0;0;0
2020-11-03 05:15:00;0;0;1;1;0;0;15;11;0;0;0;0;0;0
2020-11-03 05:30:00;0;0;3;1;0;0;11;12;0;0;0;0;0;0
2020-11-03 05:45:00;0;0;15;8;0;0;5;5;0;0;0;0;0;0
2020-11-03 06:00:00;0;0;7;9;0;0;7;6;0;0;0;0;0;0
2020-11-03 06:15:00;0;0;5;6;0;0;10;7;0;0;0;0;0;0
2020-11-03 06:30:00;0;0;13;12;0;0;14;16;0;0;0;0;0;0
2020-11-03 06:45:00;0;0;12;11;0;0;13;11;0;0;0;0;0;0
2020-11-03 07:00:00;0;0;13;9;0;0;8;8;0;0;0;0;0;0
2020-11-03 07:15:00;0;0;9;9;0;0;10;8;0;0;0;0;0;0
2020-11-03 07:30:00;0;0;12;11;0;0;12;13;0;0;0;0;0;0
2020-11-03 07:45:00;0;0;14;12;0;0;13;13;0;0;0;0;0;0
2020-11-03 08:00:00;0;0;18;17;0;0;10;11;0;0;0;0;0;0
2020-11-03 08:15:00;0;0;21;17;0;0;13;15;0;0;0;1;0;0
2020-11-03 08:30:00;0;0;22;19;0;0;15;11;0;0;0;0;0;0
2020-11-03 08:45:00;0;0;22;18;0;0;12;13;0;0;0;0;0;0
2020-11-03 09:00:00;0;0;13;12;0;0;14;13;0;0;0;0;0;0
2020-11-03 09:15:00;0;0;12;11;0;0;10;12;0;0;0;0;0;0
2020-11-03 09:30:00;0;0;25;21;0;0;13;15;0;0;0;0;0;0
2020-11-03 09:45:00;0;0;19;16;0;0;10;9;0;0;0;0;0;0
2020-11-03 10:00:00;0;0;26;25;0;0;9;12;1;0;0;0;0;0
2020-11-03 10:15:00;0;0;21;19;0;0;10;9;0;0;0;0;0;0
2020-11-03 10:30:00;0;0;16;15;0;0;14;16;0;0;0;0;0;0
2020-11-03 10:45:00;0;0;15;16;0;0;12;13;0;0;0;0;0;0
2020-11-03 11:00:00;0;0;22;22;0;0;9;11;0;0;0;1;0;0
2020-11-03 11:15:00;0;0;25;24;0;0;9;10;0;0;0;0;0;0
2020-11-03 11:30:00;0;0;12;13;0;0;11;13;0;0;0;2;0;0
2020-11-03 11:45:00;0;0;9;1;0;0;10;11;0;0;0;0;0;0
2020-11-03 12:00:00;0;0;11;0;0;0;12;12;0;0;0;5;0;0
2020-11-03 12:15:00;0;0;15;1;0;0;10;9;0;0;0;1;0;0
2020-11-03 12:30:00;0;0;9;2;0;0;9;8;0;0;0;0;0;0
2020-11-03 12:45:00;0;0;11;0;0;0;13;17;0;0;0;0;0;0
2020-11-03 13:00:00;0;0;7;2;0;0;6;7;11;5;0;1;0;0
2020-11-03 13:15:00;0;0;14;4;0;0;9;10;3;3;0;0;0;0
2020-11-03 13:30:00;0;0;20;1;0;0;19;17;0;0;0;0;0;0
2020-11-03 13:45:00;
2020-11-03 14:00:00;
2020-11-03 14:15:00;0;0;2;2;0;0;2;2;2;1;0;0;0;0
2020-11-03 14:30:00;0;0;31;4;0;0;10;9;1;6;1;2;0;0
2020-11-03 14:45:00;0;0;27;21;0;0;8;14;1;0;0;1;0;0
2020-11-03 15:00:00;0;0;24;22;0;0;12;14;0;0;0;2;6;1
2020-11-03 15:15:00;0;0;31;23;0;0;11;11;0;0;1;1;1;0
2020-11-03 15:30:00;0;0;31;24;0;0;6;8;2;0;5;0;0;0
2020-11-03 15:45:00;0;0;25;24;0;0;17;21;1;1;0;0;0;0
2020-11-03 16:00:00;0;0;26;25;0;0;13;9;1;3;0;0;0;1
2020-11-03 16:15:00;0;0;29;23;0;0;15;16;0;0;0;0;0;0
2020-11-03 16:30:00;0;0;27;24;0;0;20;20;1;13;0;0;0;0
2020-11-03 16:45:00;0;0;23;16;0;0;9;10;0;0;0;0;0;0
2020-11-03 17:00:00;0;0;30;21;0;0;6;5;6;9;0;0;0;0
2020-11-03 17:15:00;0;0;21;13;0;0;7;7;2;19;0;0;0;0
2020-11-03 17:30:00;0;0;20;16;0;0;13;15;0;0;0;0;0;0
2020-11-03 17:45:00;0;0;27;21;0;0;6;5;2;0;0;2;0;0
