DATUM;1(DA1);2(DB1);3(DB2);4(DB3);5(DC1);6(DC2);7(DC3);8(DD1);9(DD2);10(TAFGA);11(TAFBA);12(TAFGB);13(TAFBB);14(TAFGC);15(TAFBC);16(TAFBD);17(TAFBE);18(TARDC);19(TARDD)
2020-12-14 00:00:00;5;8;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-14 00:15:00;10;6;5;8;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-14 00:30:00;4;7;1;9;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-14 00:45:00;6;3;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-14 01:00:00;2;7;4;7;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-14 01:15:00;3;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-14 01:30:00;2;5;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-14 01:45:00;3;2;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-14 02:00:00;5;4;4;6;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-14 02:15:00;10;10;6;11;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-14 02:30:00;4;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-14 02:45:00;3;7;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-14 03:00:00;7;4;5;8;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-12-14 03:15:00;5;9;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-14 03:30:00;8;5;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-14 03:45:00;7;4;4;5;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-12-14 04:00:00;11;8;8;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
