DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC3);7(DD12);8(TAFBB);9(TAFBC);10(TAFBD);11(TARDB);12(TARDD)
2019-12-19 00:00:00;4;4;12;0;0;10;0;0;0;0;0;0
2019-12-19 00:15:00;3;11;16;0;5;7;0;0;0;0;0;0
2019-12-19 00:30:00;1;6;16;1;0;11;0;0;0;0;0;0
2019-12-19 00:45:00;1;0;8;0;1;7;0;0;0;0;0;0
2019-12-19 01:00:00;2;4;11;0;0;7;0;0;0;0;0;0
2019-12-19 01:15:00;1;4;8;0;0;4;0;0;0;0;0;0
2019-12-19 01:30:00;3;5;10;0;0;7;0;0;0;0;0;0
2019-12-19 01:45:00;1;2;6;2;1;4;0;0;0;0;0;0
2019-12-19 02:00:00;0;3;7;0;0;4;0;0;0;0;0;0
2019-12-19 02:15:00;1;5;12;0;0;5;0;0;0;0;0;0
2019-12-19 02:30:00;3;4;3;0;0;1;1;0;0;0;0;0
2019-12-19 02:45:00;1;4;5;0;0;2;0;0;0;0;0;0
2019-12-19 03:00:00;1;2;2;0;0;1;0;0;0;0;0;0
2019-12-19 03:15:00;0;0;2;0;0;2;0;0;0;0;0;0
2019-12-19 03:30:00;0;1;2;0;1;3;0;0;0;0;0;0
2019-12-19 03:45:00;0;0;1;0;0;1;0;0;0;0;0;0
2019-12-19 04:00:00;0;1;6;0;0;5;0;0;0;0;0;0
2019-12-19 04:15:00;1;2;6;0;0;5;0;0;0;0;0;0
2019-12-19 04:30:00;0;0;1;0;0;2;0;0;0;0;0;0
2019-12-19 04:45:00;2;3;7;0;0;4;0;0;0;0;0;0
2019-12-19 05:00:00;2;1;6;0;2;6;0;0;0;0;0;0
2019-12-19 05:15:00;2;3;6;0;0;2;0;0;0;0;0;0
2019-12-19 05:30:00;8;10;14;1;3;9;0;0;0;0;0;0
2019-12-19 05:45:00;14;18;27;2;4;15;0;0;0;0;0;0
2019-12-19 06:00:00;17;23;24;4;8;13;0;0;0;0;0;0
2019-12-19 06:15:00;21;31;44;5;6;27;0;0;0;0;0;0
2019-12-19 06:30:00;26;35;45;18;10;31;0;0;0;0;0;0
2019-12-19 06:45:00;30;52;67;19;5;42;0;0;0;0;0;0
2019-12-19 07:00:00;33;58;69;37;9;39;0;0;0;0;0;0
2019-12-19 07:15:00;64;130;102;59;8;69;2;0;0;4;0;0
2019-12-19 07:30:00;80;137;98;81;14;65;1;1;0;0;0;0
2019-12-19 07:45:00;89;152;130;71;10;76;0;0;0;0;0;0
2019-12-19 08:00:00;58;74;96;23;12;74;0;0;1;6;0;0
2019-12-19 08:15:00;56;91;103;18;6;67;0;0;0;1;0;0
2019-12-19 08:30:00;61;64;78;22;10;52;1;8;2;0;0;0
2019-12-19 08:45:00;56;69;96;14;4;61;2;0;0;0;0;0
2019-12-19 09:00:00;63;65;89;15;6;59;0;0;0;0;0;0
2019-12-19 09:15:00;51;74;76;17;7;59;1;0;2;0;0;0
2019-12-19 09:30:00;53;70;100;12;9;68;0;0;1;0;0;0
2019-12-19 09:45:00;61;68;93;15;4;53;0;0;0;0;0;0
2019-12-19 10:00:00;43;50;87;15;8;68;2;0;0;1;0;0
2019-12-19 10:15:00;44;50;88;10;6;64;0;0;0;0;0;0
2019-12-19 10:30:00;49;72;117;19;8;67;1;0;0;0;0;0
2019-12-19 10:45:00;59;73;102;25;5;85;0;0;0;0;0;0
2019-12-19 11:00:00;49;51;104;24;9;79;0;0;0;0;0;0
2019-12-19 11:15:00;41;74;125;24;9;90;0;0;1;0;0;0
2019-12-19 11:30:00;40;70;120;26;11;93;0;0;0;0;0;0
2019-12-19 11:45:00;57;70;119;27;8;100;2;0;0;0;0;0
2019-12-19 12:00:00;39;75;114;40;7;100;1;0;5;0;0;0
2019-12-19 12:15:00;57;84;118;62;9;83;2;1;0;1;0;0
2019-12-19 12:30:00;46;64;117;32;10;89;0;0;1;0;0;0
2019-12-19 12:45:00;42;80;109;30;9;98;1;0;3;1;0;0
2019-12-19 13:00:00;45;73;112;23;7;85;1;1;7;0;0;0
2019-12-19 13:15:00;45;73;142;19;16;93;0;0;1;0;0;0
2019-12-19 13:30:00;49;71;122;16;9;94;0;0;2;0;0;0
2019-12-19 13:45:00;52;58;124;21;6;101;0;0;1;0;0;0
2019-12-19 14:00:00;49;63;128;32;8;125;0;0;0;0;0;0
2019-12-19 14:15:00;37;56;146;23;5;137;0;0;0;0;0;0
2019-12-19 14:30:00;39;64;122;30;9;125;0;5;0;0;0;0
2019-12-19 14:45:00;51;82;141;36;7;151;0;1;0;0;0;0
2019-12-19 15:00:00;44;58;135;42;10;121;2;0;0;0;0;0
2019-12-19 15:15:00;51;75;136;46;5;124;1;0;0;0;0;0
2019-12-19 15:30:00;55;70;146;58;13;138;0;0;0;0;0;0
2019-12-19 15:45:00;63;93;178;71;6;146;0;0;0;0;0;0
2019-12-19 16:00:00;47;92;116;50;8;135;0;0;0;0;0;0
2019-12-19 16:15:00;70;77;168;58;7;131;0;3;11;0;0;0
2019-12-19 16:30:00;54;81;152;42;9;161;0;2;2;0;0;0
2019-12-19 16:45:00;66;88;163;57;10;157;0;0;0;0;0;0
2019-12-19 17:00:00;68;87;102;50;8;184;0;0;5;0;0;0
2019-12-19 17:15:00;57;80;129;57;8;135;2;0;0;1;0;0
2019-12-19 17:30:00;69;82;130;41;8;131;6;0;5;0;0;0
2019-12-19 17:45:00;83;98;148;43;6;135;0;0;1;1;0;0
2019-12-19 18:00:00;81;87;173;48;8;152;0;1;0;0;0;0
2019-12-19 18:15:00;67;71;145;41;8;123;0;0;2;1;0;0
2019-12-19 18:30:00;59;87;135;35;13;102;2;0;2;0;0;0
2019-12-19 18:45:00;64;91;123;49;5;96;1;1;0;0;0;0
2019-12-19 19:00:00;32;55;104;36;6;86;0;0;2;0;0;0
2019-12-19 19:15:00;30;59;90;34;8;64;2;1;1;1;0;0
2019-12-19 19:30:00;28;40;94;29;9;76;0;0;0;0;0;0
2019-12-19 19:45:00;36;47;91;11;4;63;0;0;22;0;0;0
2019-12-19 20:00:00;22;34;86;17;6;65;1;0;0;1;0;0
2019-12-19 20:15:00;19;23;67;14;5;44;1;0;0;0;0;0
2019-12-19 20:30:00;19;32;79;17;5;53;0;0;0;0;0;0
2019-12-19 20:45:00;17;24;65;31;4;30;0;0;0;0;0;0
2019-12-19 21:00:00;15;17;69;24;4;50;0;0;0;0;0;0
2019-12-19 21:15:00;11;18;55;20;1;34;0;0;9;0;0;0
2019-12-19 21:30:00;12;21;90;38;2;47;0;1;0;0;0;0
2019-12-19 21:45:00;7;17;63;16;1;41;0;0;0;0;0;0
2019-12-19 22:00:00;8;20;64;9;4;44;0;0;2;0;0;0
2019-12-19 22:15:00;17;13;91;19;2;74;0;0;0;0;0;0
2019-12-19 22:30:00;8;20;51;7;1;38;0;0;0;0;0;0
2019-12-19 22:45:00;6;13;49;10;2;29;0;0;2;0;0;0
2019-12-19 23:00:00;8;7;29;3;4;22;0;0;0;0;0;0
2019-12-19 23:15:00;3;13;46;6;1;31;0;0;0;0;0;0
2019-12-19 23:30:00;6;10;33;0;1;23;0;0;0;0;0;0
2019-12-19 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
