DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DDR1);7(DDL1)
2020-11-29 00:00:00;16;6;18;4;0;0;0
2020-11-29 00:15:00;26;18;23;7;1;0;0
2020-11-29 00:30:00;15;10;17;5;0;0;0
2020-11-29 00:45:00;17;10;23;3;1;0;0
2020-11-29 01:00:00;14;14;18;4;1;0;2
2020-11-29 01:15:00;20;10;23;0;0;0;0
2020-11-29 01:30:00;12;8;11;5;0;0;0
2020-11-29 01:45:00;6;1;13;4;0;0;0
2020-11-29 02:00:00;9;11;11;2;1;0;0
2020-11-29 02:15:00;8;8;9;2;0;0;0
2020-11-29 02:30:00;9;9;10;1;0;0;0
2020-11-29 02:45:00;3;2;10;4;1;0;0
2020-11-29 03:00:00;3;3;3;1;0;0;0
2020-11-29 03:15:00;5;1;10;0;1;0;0
2020-11-29 03:30:00;2;2;5;2;0;0;0
2020-11-29 03:45:00;4;4;5;1;1;0;0
2020-11-29 04:00:00;3;2;3;1;0;0;0
2020-11-29 04:15:00;1;1;4;1;2;1;0
2020-11-29 04:30:00;4;2;5;0;0;1;0
2020-11-29 04:45:00;4;3;5;2;0;1;0
2020-11-29 05:00:00;6;3;6;0;0;0;0
2020-11-29 05:15:00;8;3;13;4;0;1;0
2020-11-29 05:30:00;11;3;9;4;0;0;0
2020-11-29 05:45:00;9;6;17;1;1;1;0
2020-11-29 06:00:00;11;6;11;1;1;0;0
2020-11-29 06:15:00;7;3;12;1;0;0;0
2020-11-29 06:30:00;10;2;10;1;0;0;0
2020-11-29 06:45:00;13;6;6;1;2;0;1
2020-11-29 07:00:00;9;4;10;1;0;0;0
2020-11-29 07:15:00;8;3;19;2;0;0;0
2020-11-29 07:30:00;15;9;15;4;1;0;0
2020-11-29 07:45:00;13;9;23;2;0;0;0
2020-11-29 08:00:00;16;9;12;4;1;0;0
2020-11-29 08:15:00;18;14;22;9;2;0;0
2020-11-29 08:30:00;22;8;29;10;1;1;0
2020-11-29 08:45:00;30;24;40;7;2;0;0
2020-11-29 09:00:00;29;14;43;14;2;0;0
2020-11-29 09:15:00;36;30;68;18;2;2;0
2020-11-29 09:30:00;42;18;40;19;0;0;0
2020-11-29 09:45:00;66;33;62;22;2;0;0
2020-11-29 10:00:00;40;23;66;31;5;0;0
2020-11-29 10:15:00;64;45;75;22;1;1;0
2020-11-29 10:30:00;51;43;77;36;4;1;2
2020-11-29 10:45:00;65;48;92;49;1;1;2
2020-11-29 11:00:00;65;43;84;43;0;0;0
2020-11-29 11:15:00;78;57;91;47;3;0;0
2020-11-29 11:30:00;75;38;76;36;3;0;2
2020-11-29 11:45:00;111;54;91;53;4;2;0
2020-11-29 12:00:00;83;54;97;44;2;0;0
2020-11-29 12:15:00;93;48;120;54;3;2;0
2020-11-29 12:30:00;84;49;108;50;5;0;0
2020-11-29 12:45:00;92;78;119;45;2;1;1
2020-11-29 13:00:00;92;63;105;40;3;0;0
2020-11-29 13:15:00;85;54;118;53;5;0;1
2020-11-29 13:30:00;94;73;95;43;2;0;0
2020-11-29 13:45:00;101;82;135;69;5;0;0
2020-11-29 14:00:00;114;75;117;47;2;1;1
2020-11-29 14:15:00;105;83;126;72;1;1;1
2020-11-29 14:30:00;106;98;124;56;2;1;0
2020-11-29 14:45:00;103;93;120;66;6;1;1
2020-11-29 15:00:00;90;74;115;68;5;0;1
2020-11-29 15:15:00;103;86;138;51;7;1;2
2020-11-29 15:30:00;81;71;104;56;9;0;0
2020-11-29 15:45:00;98;80;136;56;8;1;0
2020-11-29 16:00:00;92;65;119;56;7;0;0
2020-11-29 16:15:00;102;66;118;54;3;1;0
2020-11-29 16:30:00;89;80;109;52;5;1;0
2020-11-29 16:45:00;106;79;125;57;1;2;0
2020-11-29 17:00:00;76;65;106;56;4;0;0
2020-11-29 17:15:00;86;81;124;37;1;1;0
2020-11-29 17:30:00;91;66;89;40;3;2;0
2020-11-29 17:45:00;90;85;123;50;7;0;0
2020-11-29 18:00:00;81;56;97;35;3;1;0
2020-11-29 18:15:00;73;66;110;39;5;0;1
2020-11-29 18:30:00;69;43;81;41;1;0;0
2020-11-29 18:45:00;71;55;104;35;2;0;0
2020-11-29 19:00:00;69;50;79;26;1;1;0
2020-11-29 19:15:00;76;65;96;34;2;1;1
2020-11-29 19:30:00;56;48;74;23;4;0;0
2020-11-29 19:45:00;54;44;73;27;3;0;1
2020-11-29 20:00:00;51;42;86;25;2;0;0
2020-11-29 20:15:00;66;46;56;22;2;2;0
2020-11-29 20:30:00;42;30;55;14;2;0;0
2020-11-29 20:45:00;36;29;61;22;2;0;0
2020-11-29 21:00:00;33;30;50;18;1;1;0
2020-11-29 21:15:00;28;24;44;16;1;1;1
2020-11-29 21:30:00;26;23;38;11;1;0;0
2020-11-29 21:45:00;30;26;44;12;2;1;3
2020-11-29 22:00:00;40;16;45;7;0;0;0
2020-11-29 22:15:00;29;18;36;10;2;1;2
2020-11-29 22:30:00;27;12;34;8;0;1;2
2020-11-29 22:45:00;15;13;27;9;2;0;0
2020-11-29 23:00:00;14;11;18;2;0;1;2
2020-11-29 23:15:00;16;11;17;2;1;1;2
2020-11-29 23:30:00;7;4;12;1;2;1;0
2020-11-29 23:45:00;14;10;12;2;4;2;1
