DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DBL3);6(DC1)
2020-04-27 00:00:00;5;5;3;4;1;0
2020-04-27 00:15:00;8;2;5;5;0;1
2020-04-27 00:30:00;7;1;7;5;0;2
2020-04-27 00:45:00;8;4;2;6;0;0
2020-04-27 01:00:00;3;3;1;4;0;1
2020-04-27 01:15:00;5;2;6;1;0;1
2020-04-27 01:30:00;6;2;1;0;0;1
2020-04-27 01:45:00;5;1;6;5;2;2
2020-04-27 02:00:00;4;1;4;3;0;0
2020-04-27 02:15:00;5;0;0;6;0;3
2020-04-27 02:30:00;2;1;4;4;0;0
2020-04-27 02:45:00;4;3;3;2;0;2
2020-04-27 03:00:00;1;0;3;1;0;1
2020-04-27 03:15:00;9;0;2;0;0;1
2020-04-27 03:30:00;4;2;1;3;0;0
2020-04-27 03:45:00;5;3;5;5;0;0
2020-04-27 04:00:00;7;0;1;3;0;1
2020-04-27 04:15:00;8;1;3;6;0;3
2020-04-27 04:30:00;12;5;3;8;0;3
2020-04-27 04:45:00;18;5;13;11;1;8
2020-04-27 05:00:00;30;18;8;24;1;3
2020-04-27 05:15:00;49;34;12;24;1;8
2020-04-27 05:30:00;33;23;2;18;3;4
2020-04-27 05:45:00;
2020-04-27 06:00:00;44;37;21;32;4;11
2020-04-27 06:15:00;75;61;26;40;2;11
2020-04-27 06:30:00;105;95;37;52;2;15
2020-04-27 06:45:00;94;90;30;62;4;16
2020-04-27 07:00:00;99;85;39;57;4;21
2020-04-27 07:15:00;106;89;51;78;12;27
2020-04-27 07:30:00;97;88;64;95;14;21
2020-04-27 07:45:00;123;118;65;91;7;31
2020-04-27 08:00:00;98;86;46;71;9;25
2020-04-27 08:15:00;105;83;45;84;5;26
2020-04-27 08:30:00;100;76;51;87;11;28
2020-04-27 08:45:00;88;84;68;79;5;28
2020-04-27 09:00:00;97;69;43;73;10;18
2020-04-27 09:15:00;105;73;73;95;6;25
2020-04-27 09:30:00;91;79;70;99;6;22
2020-04-27 09:45:00;113;93;68;107;10;26
2020-04-27 10:00:00;115;81;74;111;15;17
2020-04-27 10:15:00;127;78;58;94;14;38
2020-04-27 10:30:00;115;79;61;115;9;42
2020-04-27 10:45:00;119;90;64;90;11;31
2020-04-27 11:00:00;100;82;58;115;17;33
2020-04-27 11:15:00;120;79;78;118;12;39
2020-04-27 11:30:00;113;91;79;110;8;39
2020-04-27 11:45:00;118;76;89;119;12;47
2020-04-27 12:00:00;111;89;64;124;17;32
2020-04-27 12:15:00;123;97;63;145;21;38
2020-04-27 12:30:00;109;89;76;127;11;35
2020-04-27 12:45:00;106;88;59;127;14;30
2020-04-27 13:00:00;111;88;83;98;13;33
2020-04-27 13:15:00;116;84;59;124;10;29
2020-04-27 13:30:00;112;88;70;132;13;42
2020-04-27 13:45:00;130;100;78;117;13;29
2020-04-27 14:00:00;104;93;99;115;8;39
2020-04-27 14:15:00;111;87;80;130;19;40
2020-04-27 14:30:00;129;107;99;174;17;31
2020-04-27 14:45:00;136;90;82;144;17;30
2020-04-27 15:00:00;114;89;78;141;10;36
2020-04-27 15:15:00;113;100;90;138;14;34
2020-04-27 15:30:00;139;102;87;154;15;37
2020-04-27 15:45:00;137;106;91;129;12;45
2020-04-27 16:00:00;137;90;102;175;18;30
2020-04-27 16:15:00;141;96;94;173;12;32
2020-04-27 16:30:00;130;101;112;144;16;43
2020-04-27 16:45:00;138;108;96;149;11;39
2020-04-27 17:00:00;112;78;109;156;13;46
2020-04-27 17:15:00;133;111;85;155;15;39
2020-04-27 17:30:00;130;91;78;149;20;60
2020-04-27 17:45:00;121;102;67;122;19;36
2020-04-27 18:00:00;94;74;72;101;18;47
2020-04-27 18:15:00;109;74;67;124;18;38
2020-04-27 18:30:00;85;67;57;93;15;37
2020-04-27 18:45:00;87;59;61;87;13;33
2020-04-27 19:00:00;84;64;51;72;7;31
2020-04-27 19:15:00;88;45;40;92;16;31
2020-04-27 19:30:00;78;47;42;66;6;20
2020-04-27 19:45:00;57;45;41;56;3;23
2020-04-27 20:00:00;62;30;29;49;6;18
2020-04-27 20:15:00;51;30;42;66;6;13
2020-04-27 20:30:00;51;23;30;36;1;9
2020-04-27 20:45:00;41;19;22;34;4;9
2020-04-27 21:00:00;48;26;15;34;5;11
2020-04-27 21:15:00;38;15;18;34;5;11
2020-04-27 21:30:00;40;18;16;28;4;1
2020-04-27 21:45:00;31;13;15;24;0;3
2020-04-27 22:00:00;29;9;23;37;1;6
2020-04-27 22:15:00;37;14;14;30;2;2
2020-04-27 22:30:00;27;13;10;14;2;6
2020-04-27 22:45:00;21;12;8;12;0;1
2020-04-27 23:00:00;12;4;5;10;0;3
2020-04-27 23:15:00;14;3;3;7;1;4
2020-04-27 23:30:00;10;5;3;8;0;1
2020-04-27 23:45:00;17;10;5;14;1;2
