DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DC1);7(DC2);8(DC3);9(DC4);10(DD1);11(DD2);12(DD3);13(DD4)
2020-12-19 00:00:00;2;0;0;0;2;3;4;0;0;0;0;0;0
2020-12-19 00:15:00;1;0;0;0;0;1;1;0;0;0;0;0;0
2020-12-19 00:30:00;3;0;0;2;2;3;2;2;2;3;3;1;0
2020-12-19 00:45:00;1;0;0;0;0;4;4;0;0;1;1;0;0
2020-12-19 01:00:00;1;0;0;1;2;0;1;1;0;0;0;1;0
2020-12-19 01:15:00;3;0;0;0;1;4;6;0;0;0;0;0;0
2020-12-19 01:30:00;1;0;0;0;1;2;4;0;0;0;0;0;0
2020-12-19 01:45:00;2;0;0;0;0;3;4;1;0;1;1;0;0
2020-12-19 02:00:00;4;0;0;0;1;1;0;0;0;0;0;0;0
2020-12-19 02:15:00;1;0;1;1;0;2;2;1;0;0;0;0;1
2020-12-19 02:30:00;0;2;0;2;1;1;2;1;0;0;0;0;0
2020-12-19 02:45:00;3;0;0;0;0;3;0;0;0;0;0;0;0
2020-12-19 03:00:00;1;1;0;0;1;2;3;1;0;0;0;0;0
2020-12-19 03:15:00;4;1;1;1;0;4;3;0;0;2;2;0;1
2020-12-19 03:30:00;1;0;0;0;0;1;1;1;0;0;1;0;0
2020-12-19 03:45:00;0;0;0;0;0;2;1;1;1;0;0;0;0
2020-12-19 04:00:00;2;0;0;0;1;3;5;1;1;1;0;0;0
2020-12-19 04:15:00;4;0;0;0;1;2;3;1;0;1;1;0;0
2020-12-19 04:30:00;2;0;0;0;0;6;4;0;0;0;0;0;0
2020-12-19 04:45:00;9;1;0;2;2;11;10;2;1;0;0;0;0
2020-12-19 05:00:00;6;0;1;8;5;13;8;1;1;1;2;0;1
2020-12-19 05:15:00;6;2;1;3;9;24;20;4;1;1;1;1;1
2020-12-19 05:30:00;14;4;3;8;15;19;16;6;2;2;4;1;3
2020-12-19 05:45:00;3;0;0;6;11;25;20;3;5;2;2;1;0
2020-12-19 06:00:00;13;5;6;5;5;19;14;4;5;2;3;0;6
2020-12-19 06:15:00;12;5;3;0;4;15;10;4;4;2;4;2;3
2020-12-19 06:30:00;8;2;2;5;3;7;12;9;5;2;2;0;2
