DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DCL1);6(DB1);7(TARDCL)
2020-11-09 00:00:00;8;6;12;4;0;0;0
2020-11-09 00:15:00;8;8;3;4;1;1;0
2020-11-09 00:30:00;2;2;12;3;2;3;0
2020-11-09 00:45:00;4;3;5;4;1;3;0
2020-11-09 01:00:00;3;1;3;4;0;4;0
2020-11-09 01:15:00;2;2;9;4;2;2;0
2020-11-09 01:30:00;3;5;6;2;1;0;0
2020-11-09 01:45:00;3;3;2;1;0;0;0
2020-11-09 02:00:00;6;4;3;0;1;0;0
2020-11-09 02:15:00;4;3;4;1;0;0;0
2020-11-09 02:30:00;3;4;6;1;0;0;0
2020-11-09 02:45:00;3;2;3;3;1;1;0
2020-11-09 03:00:00;4;2;5;2;4;0;0
2020-11-09 03:15:00;6;1;2;2;0;0;0
2020-11-09 03:30:00;8;3;3;3;0;2;0
2020-11-09 03:45:00;4;3;3;4;0;0;0
2020-11-09 04:00:00;8;4;11;3;0;0;0
2020-11-09 04:15:00;10;5;14;6;0;1;0
2020-11-09 04:30:00;15;13;15;6;0;1;0
2020-11-09 04:45:00;20;20;34;19;5;5;0
2020-11-09 05:00:00;22;22;107;36;49;2;0
2020-11-09 05:15:00;32;47;172;75;3;18;0
2020-11-09 05:30:00;56;63;225;101;12;15;0
2020-11-09 05:45:00;53;70;172;78;28;15;0
2020-11-09 06:00:00;82;90;151;92;36;19;0
2020-11-09 06:15:00;51;81;193;131;11;20;0
2020-11-09 06:30:00;80;105;225;149;11;36;0
2020-11-09 06:45:00;76;100;192;156;25;26;0
2020-11-09 07:00:00;73;86;178;131;26;33;0
2020-11-09 07:15:00;75;109;190;170;52;33;0
2020-11-09 07:30:00;76;119;208;199;55;46;0
2020-11-09 07:45:00;74;133;196;143;28;40;0
2020-11-09 08:00:00;85;132;198;145;13;46;0
2020-11-09 08:15:00;88;128;163;143;18;40;8
2020-11-09 08:30:00;81;108;121;102;21;22;0
2020-11-09 08:45:00;75;97;144;131;18;23;0
2020-11-09 09:00:00;81;105;123;123;15;26;0
2020-11-09 09:15:00;75;117;107;110;17;23;0
2020-11-09 09:30:00;72;104;114;120;49;18;0
2020-11-09 09:45:00;82;120;106;99;18;21;0
2020-11-09 10:00:00;86;117;123;120;25;23;0
2020-11-09 10:15:00;71;119;108;99;16;21;0
2020-11-09 10:30:00;82;134;127;124;10;22;0
2020-11-09 10:45:00;85;137;135;123;17;21;0
2020-11-09 11:00:00;96;144;106;103;15;29;0
2020-11-09 11:15:00;87;144;110;117;15;19;4
2020-11-09 11:30:00;84;123;108;109;46;26;4
2020-11-09 11:45:00;78;145;125;118;12;27;0
2020-11-09 12:00:00;80;162;103;84;29;31;0
2020-11-09 12:15:00;78;164;116;98;23;27;0
2020-11-09 12:30:00;95;164;110;93;27;25;0
2020-11-09 12:45:00;75;142;146;126;26;20;2
2020-11-09 13:00:00;99;163;147;138;25;33;0
2020-11-09 13:15:00;103;167;194;149;18;36;0
2020-11-09 13:30:00;112;169;241;172;20;42;0
2020-11-09 13:45:00;99;157;218;168;20;31;0
2020-11-09 14:00:00;169;243;162;137;16;32;0
2020-11-09 14:15:00;201;258;111;108;28;30;0
2020-11-09 14:30:00;175;264;112;130;20;28;0
2020-11-09 14:45:00;133;233;137;138;22;29;0
2020-11-09 15:00:00;166;241;111;147;16;35;10
2020-11-09 15:15:00;170;257;121;124;17;31;0
2020-11-09 15:30:00;135;197;129;141;28;27;0
2020-11-09 15:45:00;183;244;102;130;166;29;0
2020-11-09 16:00:00;164;241;107;138;23;31;1
2020-11-09 16:15:00;179;267;113;134;16;27;0
2020-11-09 16:30:00;164;244;128;140;19;29;0
2020-11-09 16:45:00;151;205;119;133;24;32;0
2020-11-09 17:00:00;142;192;133;158;17;26;0
2020-11-09 17:15:00;143;227;118;136;23;21;0
2020-11-09 17:30:00;118;179;110;121;24;23;0
2020-11-09 17:45:00;107;192;92;105;22;17;1
2020-11-09 18:00:00;104;149;99;97;133;23;3
2020-11-09 18:15:00;79;137;79;82;74;25;0
2020-11-09 18:30:00;85;121;74;71;12;18;1
2020-11-09 18:45:00;87;121;69;84;9;11;0
2020-11-09 19:00:00;62;105;59;68;14;23;0
2020-11-09 19:15:00;68;93;57;57;6;13;0
2020-11-09 19:30:00;47;58;48;38;5;15;0
2020-11-09 19:45:00;32;71;50;37;8;13;0
2020-11-09 20:00:00;44;62;61;47;3;14;0
2020-11-09 20:15:00;25;39;47;48;4;10;0
2020-11-09 20:30:00;34;37;73;30;7;18;0
2020-11-09 20:45:00;25;36;85;44;2;10;0
2020-11-09 21:00:00;32;57;166;55;2;9;0
2020-11-09 21:15:00;32;36;211;91;4;16;0
2020-11-09 21:30:00;41;47;156;81;2;18;0
2020-11-09 21:45:00;99;147;58;30;3;6;0
2020-11-09 22:00:00;175;220;47;33;3;3;0
2020-11-09 22:15:00;91;112;33;18;3;4;0
2020-11-09 22:30:00;34;41;32;27;1;1;0
2020-11-09 22:45:00;26;23;18;8;1;2;0
2020-11-09 23:00:00;13;23;20;12;1;0;0
2020-11-09 23:15:00;11;15;8;10;0;0;0
2020-11-09 23:30:00;11;10;19;8;0;1;0
2020-11-09 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
