DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DB2);6(DB3);7(DC1);8(DC2);9(TAFGA);10(TAFBA);11(TAFGB);12(TAFBB);13(TAFBC)
2020-09-01 00:00:00;0;6;6;7;3;0;0;0;0;0;0;0;0
2020-09-01 00:15:00;0;17;2;18;3;0;0;0;0;0;0;0;0
2020-09-01 00:30:00;0;9;4;6;5;0;0;0;0;0;0;0;0
2020-09-01 00:45:00;0;11;4;12;5;1;0;1;0;0;0;0;0
2020-09-01 01:00:00;0;9;1;6;2;0;0;3;0;0;0;0;0
2020-09-01 01:15:00;0;4;3;9;2;1;0;0;0;0;0;0;0
2020-09-01 01:30:00;0;3;0;10;1;0;0;0;0;0;0;0;0
2020-09-01 01:45:00;0;5;4;10;2;0;0;0;0;0;0;0;0
2020-09-01 02:00:00;1;9;3;1;1;0;0;0;0;0;0;0;0
2020-09-01 02:15:00;0;5;1;10;2;1;0;0;0;0;0;0;0
2020-09-01 02:30:00;0;4;1;7;2;0;0;1;0;0;0;0;0
2020-09-01 02:45:00;0;2;2;7;3;0;0;0;0;0;0;0;0
2020-09-01 03:00:00;0;4;1;8;2;1;0;0;0;0;0;0;0
2020-09-01 03:15:00;2;7;1;3;4;0;0;2;0;0;0;0;0
2020-09-01 03:30:00;0;5;4;7;2;1;0;1;0;0;0;0;0
2020-09-01 03:45:00;0;6;3;12;1;1;0;0;0;0;0;0;0
2020-09-01 04:00:00;1;9;5;5;1;0;0;0;0;0;0;0;0
2020-09-01 04:15:00;0;7;4;11;3;1;1;1;0;0;0;0;0
2020-09-01 04:30:00;2;14;3;22;4;1;0;2;0;0;0;0;0
2020-09-01 04:45:00;0;25;5;25;9;1;1;2;0;0;0;0;0
2020-09-01 05:00:00;1;25;11;74;43;1;1;1;0;0;0;0;0
2020-09-01 05:15:00;3;38;29;117;109;2;1;6;0;0;0;0;0
2020-09-01 05:30:00;2;52;41;109;102;1;1;2;0;0;0;0;0
2020-09-01 05:45:00;12;104;64;97;99;4;1;2;0;0;0;0;0
2020-09-01 06:00:00;18;128;108;83;82;3;9;11;0;0;0;0;0
2020-09-01 06:15:00;15;100;88;106;113;4;11;14;0;0;0;0;0
2020-09-01 06:30:00;9;62;81;140;132;8;14;5;0;0;1;0;0
2020-09-01 06:45:00;10;89;86;133;139;10;11;8;1;0;0;0;0
2020-09-01 07:00:00;11;49;57;125;132;15;5;8;0;0;5;1;0
2020-09-01 07:15:00;9;68;71;100;114;18;6;14;2;0;1;0;0
2020-09-01 07:30:00;21;70;79;133;149;22;5;9;1;0;1;0;0
2020-09-01 07:45:00;27;77;63;127;142;31;8;17;1;0;0;1;0
2020-09-01 08:00:00;19;55;50;115;111;23;11;16;2;0;3;0;0
2020-09-01 08:15:00;21;59;56;104;87;23;13;13;1;0;2;0;0
2020-09-01 08:30:00;27;78;62;100;96;21;14;17;2;0;5;0;0
2020-09-01 08:45:00;21;63;49;95;73;15;11;21;5;0;3;5;0
2020-09-01 09:00:00;18;58;41;91;64;16;10;16;3;0;0;0;0
2020-09-01 09:15:00;22;73;70;73;64;15;16;15;3;10;2;0;0
2020-09-01 09:30:00;25;72;54;95;101;15;16;24;5;0;3;1;0
2020-09-01 09:45:00;18;63;65;85;63;18;11;16;1;0;14;0;0
2020-09-01 10:00:00;18;71;46;84;55;11;14;23;1;0;0;0;0
2020-09-01 10:15:00;33;83;57;81;72;18;20;31;0;0;0;0;0
2020-09-01 10:30:00;30;83;67;70;47;15;15;27;2;0;0;0;0
2020-09-01 10:45:00;30;84;77;92;69;15;22;29;1;0;1;0;0
2020-09-01 11:00:00;20;73;73;78;66;17;15;21;0;0;0;0;0
2020-09-01 11:15:00;25;73;57;73;54;16;21;35;20;0;11;0;0
2020-09-01 11:30:00;20;80;59;74;44;14;16;25;0;9;1;0;0
2020-09-01 11:45:00;24;70;76;74;63;13;17;26;2;0;18;0;0
2020-09-01 12:00:00;35;99;79;80;53;17;19;35;6;0;17;0;0
2020-09-01 12:15:00;28;97;77;80;67;22;17;38;1;0;0;0;0
2020-09-01 12:30:00;30;94;77;90;55;20;22;30;8;0;2;0;1
2020-09-01 12:45:00;29;95;81;81;65;16;21;22;4;0;8;0;0
2020-09-01 13:00:00;23;72;82;90;69;14;19;31;12;0;5;1;0
2020-09-01 13:15:00;23;94;84;132;123;15;13;26;6;0;5;0;0
2020-09-01 13:30:00;23;98;74;154;151;16;28;25;3;0;8;0;0
2020-09-01 13:45:00;28;90;104;122;122;17;33;38;10;3;14;0;0
2020-09-01 14:00:00;26;118;113;96;93;11;19;19;6;0;4;0;0
2020-09-01 14:15:00;18;160;154;92;81;22;18;30;26;32;4;0;0
2020-09-01 14:30:00;22;157;179;77;74;12;35;33;7;0;0;0;0
2020-09-01 14:45:00;21;141;146;101;76;15;20;23;11;0;0;2;0
2020-09-01 15:00:00;22;132;132;87;74;17;17;16;3;0;1;4;0
2020-09-01 15:15:00;30;143;152;82;71;20;20;23;7;0;9;0;0
2020-09-01 15:30:00;25;149;133;88;82;27;32;27;5;0;1;0;1
2020-09-01 15:45:00;29;147;154;101;79;18;29;33;6;0;16;2;0
2020-09-01 16:00:00;33;137;144;96;81;21;32;32;17;0;8;0;0
2020-09-01 16:15:00;35;140;158;113;114;19;24;28;7;2;0;0;0
2020-09-01 16:30:00;21;160;170;87;72;14;34;48;3;0;7;0;0
2020-09-01 16:45:00;25;145;147;98;78;21;29;37;1;0;4;0;0
2020-09-01 17:00:00;36;149;161;88;96;15;23;26;6;0;0;0;0
2020-09-01 17:15:00;31;146;154;107;95;23;35;33;4;0;2;3;0
2020-09-01 17:30:00;45;124;157;90;73;26;32;37;11;0;13;0;0
2020-09-01 17:45:00;37;130;130;77;64;20;38;37;3;1;3;0;0
2020-09-01 18:00:00;24;108;98;81;57;28;30;30;13;2;9;0;0
2020-09-01 18:15:00;29;106;128;81;55;19;22;38;2;0;10;0;0
2020-09-01 18:30:00;37;108;104;61;55;12;27;29;20;0;12;0;0
2020-09-01 18:45:00;26;80;93;64;53;21;28;33;17;0;19;0;0
