DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DCL1);7(TAFBA);8(TAFBB1);9(TAFBB2);10(TAFBC)
2020-04-30 00:00:00;2;1;0;0;0;1;0;0;0;0
2020-04-30 00:15:00;3;3;0;0;1;1;0;0;0;0
2020-04-30 00:30:00;0;0;0;0;1;1;0;0;0;0
2020-04-30 00:45:00;0;0;1;1;0;1;0;0;0;0
2020-04-30 01:00:00;1;3;0;0;0;0;0;0;0;0
2020-04-30 01:15:00;2;1;1;0;0;0;0;0;0;0
2020-04-30 01:30:00;1;0;0;0;0;0;0;0;0;0
2020-04-30 01:45:00;0;0;0;0;0;0;0;0;0;0
2020-04-30 02:00:00;0;0;0;0;0;0;0;0;0;0
2020-04-30 02:15:00;0;0;0;1;1;0;0;0;0;0
2020-04-30 02:30:00;0;0;0;1;1;0;0;0;0;0
2020-04-30 02:45:00;1;2;0;0;0;1;0;0;0;0
2020-04-30 03:00:00;0;0;1;2;1;1;0;0;0;0
2020-04-30 03:15:00;0;0;0;0;2;1;0;0;0;0
2020-04-30 03:30:00;1;1;0;0;0;0;0;0;0;0
2020-04-30 03:45:00;2;1;0;0;0;1;0;0;0;0
2020-04-30 04:00:00;0;0;1;0;0;1;0;0;0;0
2020-04-30 04:15:00;0;1;0;0;1;1;0;0;0;0
2020-04-30 04:30:00;0;0;1;3;0;0;0;0;0;0
2020-04-30 04:45:00;1;1;0;1;1;5;0;0;0;0
2020-04-30 05:00:00;1;1;0;0;3;2;0;0;0;0
2020-04-30 05:15:00;3;3;1;0;4;6;0;0;0;0
2020-04-30 05:30:00;8;7;1;1;9;12;0;0;0;0
2020-04-30 05:45:00;8;14;7;6;10;16;0;0;0;0
2020-04-30 06:00:00;11;10;10;9;15;16;0;0;0;0
2020-04-30 06:15:00;12;18;12;15;18;19;0;0;0;0
2020-04-30 06:30:00;10;22;18;11;21;27;0;0;0;0
2020-04-30 06:45:00;16;15;25;17;28;37;0;0;0;0
2020-04-30 07:00:00;15;22;39;14;24;54;0;0;0;0
2020-04-30 07:15:00;18;27;47;21;36;74;0;0;0;0
2020-04-30 07:30:00;22;33;64;23;30;76;0;0;0;0
2020-04-30 07:45:00;25;36;51;19;38;69;0;0;0;0
2020-04-30 08:00:00;29;23;24;16;30;40;0;0;0;0
2020-04-30 08:15:00;16;23;25;31;19;41;0;0;0;0
2020-04-30 08:30:00;17;15;20;28;21;40;0;0;0;0
2020-04-30 08:45:00;25;33;33;23;29;38;0;0;0;0
2020-04-30 09:00:00;23;25;25;32;20;32;0;0;0;0
2020-04-30 09:15:00;24;38;32;31;23;30;0;0;0;0
2020-04-30 09:30:00;27;20;32;40;23;26;0;0;0;0
2020-04-30 09:45:00;30;30;32;34;25;34;0;0;0;0
2020-04-30 10:00:00;17;40;17;31;30;34;0;0;0;0
2020-04-30 10:15:00;35;36;29;44;15;30;0;0;0;0
2020-04-30 10:30:00;35;38;22;24;33;27;0;0;0;0
2020-04-30 10:45:00;35;48;31;50;28;33;0;0;0;0
2020-04-30 11:00:00;26;34;26;39;21;32;0;0;0;0
2020-04-30 11:15:00;44;37;33;43;21;26;0;0;0;0
2020-04-30 11:30:00;45;44;36;52;23;30;0;0;0;0
2020-04-30 11:45:00;44;43;23;45;26;31;0;0;0;0
2020-04-30 12:00:00;50;52;23;45;32;24;0;0;0;0
2020-04-30 12:15:00;34;34;37;45;18;26;0;0;0;0
2020-04-30 12:30:00;40;29;28;40;21;31;0;0;0;0
2020-04-30 12:45:00;58;53;29;43;28;27;0;0;0;0
2020-04-30 13:00:00;50;48;40;56;14;38;0;0;0;0
2020-04-30 13:15:00;44;39;27;34;16;27;0;0;0;0
2020-04-30 13:30:00;47;49;28;43;36;33;0;0;0;0
2020-04-30 13:45:00;48;36;29;34;15;25;0;0;0;0
2020-04-30 14:00:00;41;42;20;40;18;22;0;0;0;0
2020-04-30 14:15:00;48;28;28;41;18;22;0;0;0;0
2020-04-30 14:30:00;41;54;24;49;21;25;0;0;0;0
2020-04-30 14:45:00;33;35;20;34;6;17;0;0;0;0
2020-04-30 15:00:00;
2020-04-30 15:15:00;
2020-04-30 15:30:00;
2020-04-30 15:45:00;
2020-04-30 16:00:00;
2020-04-30 16:15:00;38;25;18;30;7;19;0;0;0;0
2020-04-30 16:30:00;59;50;37;46;24;33;0;0;0;0
2020-04-30 16:45:00;47;52;34;43;24;20;0;0;0;0
2020-04-30 17:00:00;50;59;33;52;30;22;0;0;0;0
2020-04-30 17:15:00;52;44;24;54;19;24;0;0;0;0
2020-04-30 17:30:00;51;44;25;44;13;19;0;0;0;0
2020-04-30 17:45:00;50;32;28;56;17;26;0;0;0;0
2020-04-30 18:00:00;32;24;28;49;18;24;0;0;0;0
2020-04-30 18:15:00;35;19;17;32;10;32;0;0;0;0
2020-04-30 18:30:00;30;28;21;25;8;12;0;0;0;0
2020-04-30 18:45:00;33;30;14;24;11;24;0;0;0;0
2020-04-30 19:00:00;28;16;14;22;9;17;0;0;0;0
2020-04-30 19:15:00;
2020-04-30 19:30:00;
2020-04-30 19:45:00;
2020-04-30 20:00:00;
2020-04-30 20:15:00;
2020-04-30 20:30:00;
2020-04-30 20:45:00;
2020-04-30 21:00:00;
2020-04-30 21:15:00;
2020-04-30 21:30:00;
2020-04-30 21:45:00;
2020-04-30 22:00:00;
2020-04-30 22:15:00;
2020-04-30 22:30:00;
2020-04-30 22:45:00;
2020-04-30 23:00:00;
2020-04-30 23:15:00;
2020-04-30 23:30:00;
2020-04-30 23:45:00;
