DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DC1);7(DC2);8(DC3);9(DD1);10(DD2)
2020-10-15 00:00:00;0;12;0;2;0;1;10;2;0;0
2020-10-15 00:15:00;0;15;0;0;1;1;14;10;1;1
2020-10-15 00:30:00;0;5;0;1;1;1;15;5;4;3
2020-10-15 00:45:00;0;8;0;0;0;2;15;10;1;2
2020-10-15 01:00:00;0;17;0;1;1;0;9;9;1;1
2020-10-15 01:15:00;0;6;0;0;0;0;9;1;1;1
2020-10-15 01:30:00;0;10;0;0;0;1;8;3;0;0
2020-10-15 01:45:00;0;8;1;2;0;1;5;2;0;0
2020-10-15 02:00:00;0;8;0;1;2;2;10;3;0;0
2020-10-15 02:15:00;0;7;0;1;0;0;5;2;0;0
2020-10-15 02:30:00;0;5;0;1;0;1;13;2;0;0
2020-10-15 02:45:00;0;13;0;1;0;1;5;3;0;0
2020-10-15 03:00:00;0;6;0;0;0;0;6;2;0;0
2020-10-15 03:15:00;0;6;0;0;0;0;6;0;0;0
2020-10-15 03:30:00;0;9;0;1;0;1;5;2;0;0
2020-10-15 03:45:00;0;9;0;0;1;0;8;2;0;0
2020-10-15 04:00:00;0;12;0;0;0;1;4;3;0;0
2020-10-15 04:15:00;0;10;1;0;0;3;7;2;0;0
2020-10-15 04:30:00;0;26;0;0;0;12;18;13;1;1
2020-10-15 04:45:00;0;21;0;0;1;16;29;13;2;2
2020-10-15 05:00:00;0;30;0;1;2;65;36;27;4;5
2020-10-15 05:15:00;0;44;0;3;0;120;77;90;7;10
2020-10-15 05:30:00;0;59;6;7;10;174;62;108;8;12
2020-10-15 05:45:00;0;104;24;52;54;130;45;97;18;22
2020-10-15 06:00:00;0;146;24;56;71;109;60;88;16;20
2020-10-15 06:15:00;0;128;4;26;28;163;64;132;17;24
2020-10-15 06:30:00;0;108;6;11;16;192;75;143;21;37
2020-10-15 06:45:00;0;94;2;11;9;195;69;156;36;48
2020-10-15 07:00:00;0;109;9;19;11;158;66;158;20;25
2020-10-15 07:15:00;0;108;10;18;11;168;92;175;24;25
2020-10-15 07:30:00;0;109;11;19;11;177;97;183;19;29
2020-10-15 07:45:00;0;134;10;16;15;211;85;184;25;25
2020-10-15 08:00:00;0;118;14;13;10;160;87;179;26;27
2020-10-15 08:15:00;0;131;4;16;12;149;80;149;12;16
2020-10-15 08:30:00;0;117;6;17;16;110;84;161;12;10
2020-10-15 08:45:00;0;116;9;17;11;89;97;156;5;12
2020-10-15 09:00:00;0;98;6;17;16;71;73;119;9;3
2020-10-15 09:15:00;0;98;8;12;11;56;80;118;6;2
2020-10-15 09:30:00;0;103;6;15;14;63;72;109;9;6
2020-10-15 09:45:00;0;98;11;15;12;49;80;110;9;6
2020-10-15 10:00:00;0;93;10;13;14;38;88;128;10;9
2020-10-15 10:15:00;0;105;10;14;15;43;83;101;7;5
2020-10-15 10:30:00;0;134;6;20;14;44;78;135;12;3
2020-10-15 10:45:00;0;115;10;19;21;64;100;123;18;12
2020-10-15 11:00:00;0;97;9;14;16;36;85;114;12;8
2020-10-15 11:15:00;0;139;13;17;22;34;84;124;9;4
2020-10-15 11:30:00;0;123;12;25;19;45;92;127;9;5
2020-10-15 11:45:00;0;130;8;20;17;57;80;116;8;4
2020-10-15 12:00:00;0;118;11;22;21;43;89;107;14;6
2020-10-15 12:15:00;0;133;14;27;24;53;90;146;12;7
2020-10-15 12:30:00;0;136;12;26;25;44;91;116;7;4
2020-10-15 12:45:00;0;107;15;21;31;78;85;135;14;4
2020-10-15 13:00:00;0;145;15;33;38;80;88;118;16;5
2020-10-15 13:15:00;0;168;13;22;31;127;115;159;21;11
2020-10-15 13:30:00;0;137;14;24;33;148;116;164;16;20
2020-10-15 13:45:00;0;145;22;24;33;153;114;182;16;20
2020-10-15 14:00:00;0;166;29;61;74;109;111;160;16;10
2020-10-15 14:15:00;0;176;17;88;105;57;98;148;10;7
2020-10-15 14:30:00;0;208;27;78;90;51;89;130;10;6
2020-10-15 14:45:00;0;172;35;66;68;44;87;149;18;8
2020-10-15 15:00:00;0;173;28;75;84;48;101;141;12;8
2020-10-15 15:15:00;0;187;21;72;78;35;104;157;7;5
2020-10-15 15:30:00;0;188;31;74;81;36;104;157;8;0
2020-10-15 15:45:00;0;192;26;65;68;35;111;173;14;4
2020-10-15 16:00:00;0;176;35;69;79;42;110;168;13;3
2020-10-15 16:15:00;0;197;23;59;65;35;112;165;9;3
2020-10-15 16:30:00;0;183;29;70;72;38;115;151;8;4
2020-10-15 16:45:00;0;183;21;64;65;32;129;167;15;3
2020-10-15 17:00:00;0;202;19;63;67;18;127;168;9;3
2020-10-15 17:15:00;0;213;21;53;57;30;109;175;14;4
2020-10-15 17:30:00;0;176;17;46;43;21;116;153;15;3
2020-10-15 17:45:00;0;187;16;44;55;28;121;183;9;3
