DATUM;1(DA1);2(DA2);3(DA3);4(DBR1);5(DBR2);6(DB1);7(DC1);8(DC2)
2020-05-07 00:00:00;4;3;3;2;4;0;5;4
2020-05-07 00:15:00;7;9;9;4;2;0;6;7
2020-05-07 00:30:00;5;3;3;0;1;0;2;3
2020-05-07 00:45:00;0;1;1;2;2;0;1;1
2020-05-07 01:00:00;0;3;3;0;1;0;4;2
2020-05-07 01:15:00;1;4;5;1;1;0;3;0
2020-05-07 01:30:00;4;2;1;0;1;0;1;2
2020-05-07 01:45:00;1;3;3;0;1;0;2;1
2020-05-07 02:00:00;3;5;5;1;3;0;5;0
2020-05-07 02:15:00;2;2;2;2;1;0;0;2
2020-05-07 02:30:00;1;4;4;0;1;0;4;4
2020-05-07 02:45:00;2;5;5;0;0;0;0;2
2020-05-07 03:00:00;3;6;4;0;1;0;2;3
2020-05-07 03:15:00;6;2;2;0;1;0;1;2
2020-05-07 03:30:00;2;6;7;4;4;0;1;2
2020-05-07 03:45:00;2;2;2;1;3;0;3;2
2020-05-07 04:00:00;3;3;5;2;2;0;2;1
2020-05-07 04:15:00;2;5;5;3;4;0;4;0
2020-05-07 04:30:00;1;5;5;7;10;0;3;5
2020-05-07 04:45:00;4;18;18;2;4;0;10;3
2020-05-07 05:00:00;15;25;24;6;14;0;15;10
2020-05-07 05:15:00;37;49;50;8;9;0;17;12
2020-05-07 05:30:00;58;69;70;15;20;0;52;10
2020-05-07 05:45:00;45;56;58;3;12;0;28;15
2020-05-07 06:00:00;43;46;48;6;8;0;25;12
2020-05-07 06:15:00;59;57;58;9;8;0;27;10
2020-05-07 06:30:00;79;69;71;14;18;0;42;25
2020-05-07 06:45:00;104;78;77;8;14;0;45;31
2020-05-07 07:00:00;79;68;68;14;19;0;43;33
2020-05-07 07:15:00;99;68;71;9;24;0;47;32
2020-05-07 07:30:00;111;83;86;8;25;0;59;47
2020-05-07 07:45:00;93;88;84;21;25;0;70;51
2020-05-07 08:00:00;77;70;71;15;20;0;50;27
2020-05-07 08:15:00;72;56;60;17;25;0;56;38
2020-05-07 08:30:00;58;57;53;11;21;0;55;37
2020-05-07 08:45:00;73;64;66;13;14;0;52;35
2020-05-07 09:00:00;64;66;65;7;14;0;46;32
2020-05-07 09:15:00;52;43;41;14;56;0;49;33
2020-05-07 09:30:00;65;52;54;10;16;0;56;36
2020-05-07 09:45:00;68;50;50;17;23;0;59;45
2020-05-07 10:00:00;46;55;55;17;21;0;51;34
2020-05-07 10:15:00;53;66;62;15;26;0;67;46
2020-05-07 10:30:00;54;53;52;19;25;0;57;39
2020-05-07 10:45:00;68;54;55;18;37;0;68;40
2020-05-07 11:00:00;51;46;45;12;18;0;66;45
2020-05-07 11:15:00;55;58;58;18;24;0;63;29
2020-05-07 11:30:00;77;64;63;24;28;0;70;48
2020-05-07 11:45:00;61;54;54;21;38;0;69;44
2020-05-07 12:00:00;88;70;71;17;20;0;72;52
2020-05-07 12:15:00;72;56;53;15;28;0;69;38
2020-05-07 12:30:00;79;63;57;16;24;0;80;46
2020-05-07 12:45:00;87;62;63;18;28;0;78;66
2020-05-07 13:00:00;61;64;66;15;20;0;72;40
2020-05-07 13:15:00;77;82;78;19;25;0;56;41
2020-05-07 13:30:00;75;87;87;29;43;0;73;54
2020-05-07 13:45:00;95;90;91;27;37;0;95;62
2020-05-07 14:00:00;75;83;84;16;30;0;78;55
2020-05-07 14:15:00;83;68;68;24;25;0;82;66
2020-05-07 14:30:00;90;55;57;22;26;0;95;55
2020-05-07 14:45:00;75;61;60;22;36;0;81;67
2020-05-07 15:00:00;85;75;71;18;29;0;84;58
2020-05-07 15:15:00;66;52;47;25;31;0;92;77
2020-05-07 15:30:00;69;57;57;22;24;0;77;45
2020-05-07 15:45:00;89;57;59;26;38;0;90;63
2020-05-07 16:00:00;79;63;63;20;34;0;91;70
2020-05-07 16:15:00;75;62;54;20;33;0;101;82
2020-05-07 16:30:00;78;63;62;26;75;0;84;51
2020-05-07 16:45:00;81;65;62;20;25;0;76;53
