DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(DC3);8(DC4);9(DC5);10(DD1);11(TAFGAC)
2019-08-28 00:00:00;6;13;0;0;11;9;2;13;123;0;0
2019-08-28 00:15:00;7;6;0;0;17;8;0;16;135;0;0
2019-08-28 00:30:00;7;8;0;0;13;7;0;11;127;0;0
2019-08-28 00:45:00;6;13;1;1;9;8;0;8;142;0;0
2019-08-28 01:00:00;2;5;1;0;11;4;0;9;161;0;0
2019-08-28 01:15:00;2;9;1;0;9;6;0;8;147;0;0
2019-08-28 01:30:00;8;12;1;0;9;9;0;7;144;0;0
2019-08-28 01:45:00;5;9;0;0;5;3;1;5;152;0;0
2019-08-28 02:00:00;7;7;1;0;3;4;0;3;163;0;0
2019-08-28 02:15:00;9;6;1;0;9;4;0;8;132;0;0
2019-08-28 02:30:00;6;5;0;0;7;8;1;6;145;0;0
2019-08-28 02:45:00;7;7;0;0;6;2;0;6;103;0;0
2019-08-28 03:00:00;6;8;1;1;9;7;0;8;157;0;0
2019-08-28 03:15:00;7;11;0;0;3;1;0;3;122;0;0
2019-08-28 03:30:00;5;7;0;1;6;3;0;6;136;0;0
2019-08-28 03:45:00;8;4;1;0;5;3;0;5;117;1;0
2019-08-28 04:00:00;7;10;1;0;9;1;0;9;139;0;0
2019-08-28 04:15:00;9;8;0;0;8;4;0;8;123;0;0
2019-08-28 04:30:00;18;20;0;1;9;5;0;8;162;0;0
2019-08-28 04:45:00;24;29;1;1;16;10;0;13;144;0;0
2019-08-28 05:00:00;27;29;4;3;20;12;0;19;137;0;0
2019-08-28 05:15:00;33;34;1;1;29;17;0;27;145;0;0
2019-08-28 05:30:00;53;64;9;1;47;27;2;46;184;0;0
2019-08-28 05:45:00;54;48;11;8;74;42;2;73;170;0;0
2019-08-28 06:00:00;48;76;15;11;76;53;2;77;185;0;0
2019-08-28 06:15:00;68;98;21;5;89;73;2;95;216;0;0
2019-08-28 06:30:00;82;133;17;8;122;105;9;119;267;0;11
2019-08-28 06:45:00;91;118;13;8;107;101;7;101;246;2;13
2019-08-28 07:00:00;74;132;13;2;95;110;4;95;241;0;8
2019-08-28 07:15:00;89;130;14;12;102;108;4;106;253;4;3
2019-08-28 07:30:00;81;122;8;8;131;122;10;123;267;5;8
2019-08-28 07:45:00;96;138;18;7;106;101;6;104;219;1;1
2019-08-28 08:00:00;85;138;10;3;96;91;9;92;254;7;0
2019-08-28 08:15:00;81;125;13;6;95;93;13;102;227;3;3
2019-08-28 08:30:00;47;162;13;6;77;76;7;72;231;6;3
2019-08-28 08:45:00;78;127;19;6;103;83;7;92;223;6;2
2019-08-28 09:00:00;72;104;10;5;89;80;7;84;220;8;1
2019-08-28 09:15:00;75;119;19;12;105;89;12;101;217;10;5
2019-08-28 09:30:00;76;106;10;6;102;89;12;98;248;8;7
2019-08-28 09:45:00;94;99;10;11;105;89;13;94;221;8;4
2019-08-28 10:00:00;87;107;7;11;92;80;8;87;248;5;4
2019-08-28 10:15:00;79;107;9;4;97;81;10;87;220;8;4
2019-08-28 10:30:00;73;108;7;9;100;69;9;89;220;6;4
2019-08-28 10:45:00;90;92;11;10;100;95;4;96;236;3;4
2019-08-28 11:00:00;76;114;10;4;92;101;8;89;245;10;2
2019-08-28 11:15:00;102;132;11;8;78;77;6;77;250;5;2
2019-08-28 11:30:00;81;100;14;4;90;79;7;87;216;3;4
2019-08-28 11:45:00;83;86;16;5;115;104;4;109;249;4;10
2019-08-28 12:00:00;90;115;10;7;93;106;5;94;253;9;5
2019-08-28 12:15:00;94;117;15;7;89;96;9;85;221;3;5
2019-08-28 12:30:00;76;89;7;7;92;104;8;88;228;10;4
2019-08-28 12:45:00;99;110;10;5;94;102;5;94;242;8;0
2019-08-28 13:00:00;88;138;16;8;82;102;12;83;243;10;1
2019-08-28 13:15:00;91;126;19;8;92;94;10;91;246;2;0
2019-08-28 13:30:00;85;119;8;9;111;104;11;103;249;5;11
2019-08-28 13:45:00;74;110;11;7;100;93;6;93;233;7;12
2019-08-28 14:00:00;85;129;17;8;91;101;9;83;235;13;2
2019-08-28 14:15:00;86;121;11;10;89;99;6;86;235;7;12
2019-08-28 14:30:00;99;110;11;9;99;96;9;98;254;5;8
2019-08-28 14:45:00;83;114;10;12;108;115;11;94;240;5;4
2019-08-28 15:00:00;98;145;17;12;107;98;3;103;229;16;14
2019-08-28 15:15:00;85;98;5;6;117;128;11;117;274;8;7
2019-08-28 15:30:00;90;128;17;21;105;124;11;102;252;10;14
2019-08-28 15:45:00;87;143;13;26;115;122;9;104;255;14;1
2019-08-28 16:00:00;104;147;14;21;111;129;5;107;260;8;21
2019-08-28 16:15:00;97;140;18;23;135;139;8;126;284;14;7
2019-08-28 16:30:00;98;144;18;35;132;147;8;118;283;19;16
2019-08-28 16:45:00;90;166;18;27;127;150;8;118;285;12;6
2019-08-28 17:00:00;87;149;15;45;119;144;5;119;270;23;8
2019-08-28 17:15:00;76;149;19;15;135;136;4;130;258;16;10
2019-08-28 17:30:00;93;151;15;15;135;156;9;130;276;10;9
2019-08-28 17:45:00;61;102;9;12;131;134;4;120;270;7;3
2019-08-28 18:00:00;81;114;13;20;127;136;9;122;249;4;5
2019-08-28 18:15:00;81;108;9;9;106;119;2;96;250;3;11
2019-08-28 18:30:00;64;90;4;7;95;105;0;101;216;1;17
2019-08-28 18:45:00;67;91;8;3;88;83;5;90;225;3;6
2019-08-28 19:00:00;58;81;5;3;84;88;2;78;220;0;21
2019-08-28 19:15:00;53;77;4;2;87;76;0;85;215;0;7
2019-08-28 19:30:00;56;62;7;5;80;67;3;77;209;0;12
2019-08-28 19:45:00;31;56;2;7;73;61;3;70;191;0;32
2019-08-28 20:00:00;49;67;4;6;95;77;1;85;206;2;18
2019-08-28 20:15:00;40;47;4;3;80;69;2;79;213;0;0
2019-08-28 20:30:00;46;69;6;4;69;61;4;69;214;0;3
2019-08-28 20:45:00;45;46;5;5;52;37;0;53;166;0;2
2019-08-28 21:00:00;37;41;4;6;72;50;1;69;206;0;0
2019-08-28 21:15:00;40;37;0;4;49;35;1;46;174;0;0
2019-08-28 21:30:00;31;34;0;1;42;38;2;44;152;0;0
2019-08-28 21:45:00;36;41;2;1;43;26;0;41;134;0;0
2019-08-28 22:00:00;29;46;4;1;41;34;1;38;174;0;0
2019-08-28 22:15:00;32;41;3;0;39;27;1;34;166;0;0
2019-08-28 22:30:00;13;39;1;5;43;27;1;42;165;0;0
2019-08-28 22:45:00;17;22;2;2;28;22;0;26;137;0;0
2019-08-28 23:00:00;26;34;2;2;31;23;1;27;189;0;0
2019-08-28 23:15:00;16;23;2;1;22;13;0;20;138;0;0
2019-08-28 23:30:00;12;18;0;0;23;17;1;21;151;0;0
2019-08-28 23:45:00;16;22;1;0;21;19;2;21;164;0;0
