DATUM;1(DA1);2(DA2);3(DA3);4(DB1);5(DC1);6(DC2);7(TAFGC)
2019-08-28 00:00:00;9;9;3;3;10;16;0
2019-08-28 00:15:00;9;4;1;1;10;5;0
2019-08-28 00:30:00;6;5;1;2;3;3;0
2019-08-28 00:45:00;2;2;2;1;7;0;0
2019-08-28 01:00:00;7;7;5;3;3;3;0
2019-08-28 01:15:00;6;4;2;0;5;8;0
2019-08-28 01:30:00;2;3;2;4;6;3;0
2019-08-28 01:45:00;0;1;1;1;7;6;0
2019-08-28 02:00:00;3;2;1;4;7;5;0
2019-08-28 02:15:00;5;5;3;2;7;3;0
2019-08-28 02:30:00;0;0;0;1;4;1;0
2019-08-28 02:45:00;4;5;4;1;5;2;0
2019-08-28 03:00:00;7;5;3;6;10;5;0
2019-08-28 03:15:00;6;9;3;2;6;8;0
2019-08-28 03:30:00;7;4;3;1;10;8;0
2019-08-28 03:45:00;4;2;1;4;3;1;0
2019-08-28 04:00:00;5;5;3;3;4;5;0
2019-08-28 04:15:00;6;7;7;2;7;4;0
2019-08-28 04:30:00;5;3;2;2;14;8;0
2019-08-28 04:45:00;17;14;8;2;12;8;0
2019-08-28 05:00:00;11;11;8;10;17;3;0
2019-08-28 05:15:00;28;21;13;10;25;11;0
2019-08-28 05:30:00;41;25;18;9;29;11;0
2019-08-28 05:45:00;47;36;27;11;52;8;0
2019-08-28 06:00:00;51;39;30;13;44;18;0
2019-08-28 06:15:00;71;40;34;17;74;42;0
2019-08-28 06:30:00;69;54;49;18;64;42;0
2019-08-28 06:45:00;90;52;51;23;90;47;0
2019-08-28 07:00:00;75;57;49;38;88;32;0
2019-08-28 07:15:00;98;64;59;46;81;36;6
2019-08-28 07:30:00;75;59;48;31;80;22;3
2019-08-28 07:45:00;80;54;55;55;75;30;8
2019-08-28 08:00:00;82;46;48;33;79;30;2
2019-08-28 08:15:00;54;49;47;39;76;37;2
2019-08-28 08:30:00;70;52;47;33;77;27;2
2019-08-28 08:45:00;58;43;34;38;78;29;2
2019-08-28 09:00:00;70;41;33;37;70;31;1
2019-08-28 09:15:00;73;50;43;38;70;50;0
2019-08-28 09:30:00;65;36;33;32;74;37;5
2019-08-28 09:45:00;85;57;57;34;68;38;1
2019-08-28 10:00:00;85;49;34;39;85;42;5
2019-08-28 10:15:00;74;47;40;44;87;53;2
2019-08-28 10:30:00;81;39;38;29;72;58;0
2019-08-28 10:45:00;69;39;36;30;86;42;1
2019-08-28 11:00:00;73;52;49;57;70;37;2
2019-08-28 11:15:00;74;39;38;37;83;53;6
2019-08-28 11:30:00;88;41;38;60;92;55;4
2019-08-28 11:45:00;81;52;46;35;77;53;8
2019-08-28 12:00:00;79;55;48;61;91;61;7
2019-08-28 12:15:00;76;53;41;51;68;39;4
2019-08-28 12:30:00;74;54;48;30;85;54;3
2019-08-28 12:45:00;68;46;41;30;92;38;5
2019-08-28 13:00:00;66;45;39;31;86;42;1
2019-08-28 13:15:00;81;51;45;26;83;52;3
2019-08-28 13:30:00;79;47;38;39;83;44;8
2019-08-28 13:45:00;70;51;47;32;82;47;0
2019-08-28 14:00:00;59;39;33;40;80;47;0
2019-08-28 14:15:00;68;45;44;49;93;61;2
2019-08-28 14:30:00;76;39;35;40;77;48;1
2019-08-28 14:45:00;64;51;43;39;102;58;0
2019-08-28 15:00:00;74;59;54;59;82;61;0
2019-08-28 15:15:00;82;64;58;50;102;63;0
2019-08-28 15:30:00;93;56;55;46;101;52;1
2019-08-28 15:45:00;95;48;48;38;104;51;1
2019-08-28 16:00:00;93;52;51;61;99;51;3
2019-08-28 16:15:00;104;86;58;59;104;59;6
2019-08-28 16:30:00;119;90;84;77;121;64;6
2019-08-28 16:45:00;111;81;66;49;124;40;2
2019-08-28 17:00:00;87;69;60;77;105;61;3
2019-08-28 17:15:00;77;58;55;37;115;46;0
2019-08-28 17:30:00;84;45;40;40;92;44;1
2019-08-28 17:45:00;81;52;46;36;77;32;2
2019-08-28 18:00:00;63;41;37;30;81;32;2
2019-08-28 18:15:00;46;35;25;41;78;40;2
2019-08-28 18:30:00;51;33;28;26;70;29;5
2019-08-28 18:45:00;52;35;32;18;68;24;0
2019-08-28 19:00:00;42;27;20;14;48;21;1
2019-08-28 19:15:00;39;14;12;10;54;24;0
2019-08-28 19:30:00;45;25;20;9;53;16;0
2019-08-28 19:45:00;30;17;13;16;35;18;3
2019-08-28 20:00:00;42;25;21;6;32;15;1
2019-08-28 20:15:00;34;21;13;9;39;6;0
2019-08-28 20:30:00;33;17;12;9;36;9;0
2019-08-28 20:45:00;35;29;17;11;34;16;0
2019-08-28 21:00:00;25;18;14;7;37;7;0
2019-08-28 21:15:00;34;23;10;16;27;12;0
2019-08-28 21:30:00;16;18;13;4;21;9;0
2019-08-28 21:45:00;28;22;11;6;31;11;0
2019-08-28 22:00:00;17;9;8;4;23;7;0
2019-08-28 22:15:00;17;14;7;8;30;11;0
2019-08-28 22:30:00;11;7;7;3;19;4;0
2019-08-28 22:45:00;14;9;5;6;15;10;0
2019-08-28 23:00:00;15;11;5;10;15;6;0
2019-08-28 23:15:00;18;17;9;3;12;6;0
2019-08-28 23:30:00;15;6;3;0;13;7;0
2019-08-28 23:45:00;8;4;1;6;10;5;0
