DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(DC2);6(DD1);7(TAFGC);8(TAFBB);9(TAFBC);10(TAFBD)
2019-12-07 00:00:00;17;11;0;21;10;1;0;0;0;0
2019-12-07 00:15:00;15;11;1;30;9;1;0;0;0;0
2019-12-07 00:30:00;10;16;1;31;5;0;0;0;0;0
2019-12-07 00:45:00;20;17;1;44;13;0;0;0;0;0
2019-12-07 01:00:00;19;9;2;26;16;0;0;0;0;0
2019-12-07 01:15:00;15;8;1;5;2;0;0;0;0;0
2019-12-07 01:30:00;10;8;2;10;7;0;0;0;0;0
2019-12-07 01:45:00;9;5;0;18;3;1;0;0;0;0
2019-12-07 02:00:00;11;9;2;11;6;0;0;0;0;0
2019-12-07 02:15:00;9;10;1;8;4;0;0;0;0;0
2019-12-07 02:30:00;6;3;0;9;4;0;0;0;0;0
2019-12-07 02:45:00;5;5;0;7;2;0;0;0;0;0
2019-12-07 03:00:00;4;6;1;5;4;0;0;0;0;0
2019-12-07 03:15:00;5;3;1;8;4;0;0;0;0;0
2019-12-07 03:30:00;3;2;5;4;5;0;0;0;0;0
2019-12-07 03:45:00;1;1;0;1;0;0;0;0;0;0
2019-12-07 04:00:00;3;4;2;5;6;0;0;0;0;0
2019-12-07 04:15:00;3;2;1;0;2;0;0;0;0;0
2019-12-07 04:30:00;5;8;1;6;1;0;0;0;0;0
2019-12-07 04:45:00;2;5;3;12;6;0;0;0;0;0
2019-12-07 05:00:00;4;6;1;8;0;0;0;0;0;0
2019-12-07 05:15:00;11;11;2;21;9;0;0;0;0;0
2019-12-07 05:30:00;15;7;0;17;7;0;0;0;0;0
2019-12-07 05:45:00;25;20;1;15;5;2;0;0;0;0
2019-12-07 06:00:00;20;13;4;24;9;0;0;0;0;0
2019-12-07 06:15:00;15;12;3;21;9;0;0;0;0;0
2019-12-07 06:30:00;16;9;1;25;13;0;0;0;0;0
2019-12-07 06:45:00;20;9;2;15;6;0;0;0;0;0
2019-12-07 07:00:00;27;9;1;15;10;0;0;0;0;0
2019-12-07 07:15:00;21;10;0;19;21;0;0;0;0;0
2019-12-07 07:30:00;26;14;0;35;17;3;0;0;0;0
2019-12-07 07:45:00;25;13;2;32;15;3;0;0;0;0
2019-12-07 08:00:00;24;14;5;29;13;1;0;0;0;0
2019-12-07 08:15:00;30;11;1;37;22;0;0;0;0;0
2019-12-07 08:30:00;33;24;0;44;19;255;0;0;0;0
2019-12-07 08:45:00;39;27;3;49;24;6;0;0;0;0
2019-12-07 09:00:00;37;28;1;57;31;0;0;0;0;0
2019-12-07 09:15:00;35;24;3;77;37;258;0;0;0;0
2019-12-07 09:30:00;54;19;2;71;34;3;0;0;0;0
2019-12-07 09:45:00;54;50;2;74;37;4;0;0;0;0
2019-12-07 10:00:00;69;29;6;97;39;4;0;0;0;0
2019-12-07 10:15:00;70;34;1;70;47;3;0;0;0;0
2019-12-07 10:30:00;67;36;3;92;42;7;0;0;0;0
2019-12-07 10:45:00;81;46;3;97;70;7;0;0;0;0
2019-12-07 11:00:00;72;37;6;86;43;6;0;0;0;0
2019-12-07 11:15:00;78;45;2;92;38;5;0;0;0;0
2019-12-07 11:30:00;76;43;5;97;56;6;0;0;0;0
2019-12-07 11:45:00;87;53;3;97;42;4;0;0;0;0
2019-12-07 12:00:00;82;43;3;71;48;6;0;0;0;0
2019-12-07 12:15:00;85;63;4;96;35;7;2;0;0;0
2019-12-07 12:30:00;63;44;3;81;40;5;0;0;0;0
2019-12-07 12:45:00;92;51;2;84;37;4;0;0;0;0
2019-12-07 13:00:00;89;46;4;96;45;2;2;0;0;0
2019-12-07 13:15:00;67;39;2;90;30;5;0;0;0;0
2019-12-07 13:30:00;74;60;2;105;43;2;0;0;0;0
2019-12-07 13:45:00;69;49;2;73;31;1;1;0;0;0
2019-12-07 14:00:00;88;61;4;88;45;6;1;0;0;0
2019-12-07 14:15:00;77;38;5;96;55;7;0;0;0;0
2019-12-07 14:30:00;94;62;3;99;33;2;0;0;0;0
2019-12-07 14:45:00;74;47;1;98;54;5;0;0;0;0
2019-12-07 15:00:00;76;59;2;81;30;7;0;0;0;0
2019-12-07 15:15:00;68;40;1;94;43;7;0;0;0;0
2019-12-07 15:30:00;74;39;0;97;40;3;0;0;0;0
2019-12-07 15:45:00;74;49;1;58;43;255;0;0;0;0
2019-12-07 16:00:00;85;52;0;76;37;7;0;0;0;0
2019-12-07 16:15:00;78;34;1;69;35;3;0;0;0;0
2019-12-07 16:30:00;73;42;1;70;25;2;0;0;0;0
2019-12-07 16:45:00;66;32;0;70;39;2;0;0;0;0
2019-12-07 17:00:00;83;32;1;66;39;2;0;0;0;0
2019-12-07 17:15:00;70;31;1;50;22;2;0;0;0;0
2019-12-07 17:30:00;64;34;2;85;47;0;0;0;0;0
2019-12-07 17:45:00;74;53;0;72;34;3;0;0;0;0
2019-12-07 18:00:00;77;40;2;64;31;3;2;0;0;0
2019-12-07 18:15:00;74;36;1;49;28;4;0;0;0;0
2019-12-07 18:30:00;63;27;3;67;32;256;0;0;0;0
2019-12-07 18:45:00;59;25;1;45;33;3;0;0;0;0
2019-12-07 19:00:00;42;19;0;70;31;3;0;0;0;0
2019-12-07 19:15:00;40;21;2;39;12;2;0;0;0;0
2019-12-07 19:30:00;39;25;2;47;24;3;0;0;0;0
2019-12-07 19:45:00;41;18;1;54;20;2;0;0;0;0
2019-12-07 20:00:00;38;15;0;34;14;1;1;0;0;0
2019-12-07 20:15:00;43;26;1;31;11;0;0;0;0;0
2019-12-07 20:30:00;30;6;0;36;9;0;0;0;0;0
2019-12-07 20:45:00;38;13;0;35;17;0;0;0;0;0
2019-12-07 21:00:00;29;9;1;33;10;0;0;0;0;0
2019-12-07 21:15:00;39;21;3;32;14;0;0;0;0;0
2019-12-07 21:30:00;32;12;0;48;12;1;0;0;0;0
2019-12-07 21:45:00;36;9;1;31;19;0;0;0;0;0
2019-12-07 22:00:00;32;19;3;20;6;0;0;0;0;0
2019-12-07 22:15:00;23;14;1;20;9;0;0;0;0;0
2019-12-07 22:30:00;33;15;0;23;6;0;0;0;0;0
2019-12-07 22:45:00;42;15;1;19;9;0;0;0;0;0
2019-12-07 23:00:00;30;22;1;26;6;0;0;0;0;0
2019-12-07 23:15:00;26;16;2;14;8;0;0;0;0;0
2019-12-07 23:30:00;33;24;1;21;10;1;0;0;0;0
2019-12-07 23:45:00;21;14;2;17;7;1;0;0;0;0
