DATUM;1(DA1);2(DA2);3(DB1);4(DC1);5(TAC);6(DEG12);7(DEG13);8(DEG14);9(DEG15)
2020-01-17 00:00:00;7;1;0;1;0;9;0;0;0
2020-01-17 00:15:00;8;0;0;5;0;14;1;0;0
2020-01-17 00:30:00;3;1;0;10;0;12;1;0;0
2020-01-17 00:45:00;8;0;0;2;0;13;1;0;0
2020-01-17 01:00:00;8;1;0;6;0;12;0;0;0
2020-01-17 01:15:00;7;1;0;4;0;14;1;0;0
2020-01-17 01:30:00;1;0;0;3;0;12;1;0;0
2020-01-17 01:45:00;4;2;0;1;0;14;1;0;0
2020-01-17 02:00:00;0;1;0;2;0;12;1;0;0
2020-01-17 02:15:00;2;0;0;1;0;14;1;0;0
2020-01-17 02:30:00;8;2;0;3;0;12;0;0;0
2020-01-17 02:45:00;1;0;0;4;0;13;1;0;0
2020-01-17 03:00:00;2;0;0;4;0;12;1;0;0
2020-01-17 03:15:00;3;0;0;3;0;14;1;0;0
2020-01-17 03:30:00;1;2;1;6;0;14;1;0;0
2020-01-17 03:45:00;2;0;0;4;0;12;0;0;0
2020-01-17 04:00:00;5;0;1;5;0;12;1;0;0
2020-01-17 04:15:00;5;0;2;8;0;13;1;0;0
2020-01-17 04:30:00;15;1;0;11;0;12;1;0;0
2020-01-17 04:45:00;29;3;0;12;0;14;1;0;0
2020-01-17 05:00:00;47;7;1;25;0;10;0;0;0
2020-01-17 05:15:00;119;8;0;55;0;10;1;0;0
2020-01-17 05:30:00;114;11;1;123;0;10;0;0;0
2020-01-17 05:45:00;147;18;7;185;0;10;1;0;0
2020-01-17 06:00:00;106;16;1;117;0;10;1;0;0
2020-01-17 06:15:00;116;26;2;128;0;10;0;0;0
2020-01-17 06:30:00;98;11;3;138;3;10;1;0;0
2020-01-17 06:45:00;91;18;5;164;0;10;1;0;0
2020-01-17 07:00:00;80;11;15;175;0;10;0;0;0
2020-01-17 07:15:00;93;13;16;222;0;10;1;0;0
2020-01-17 07:30:00;93;15;9;192;10;10;0;0;0
2020-01-17 07:45:00;93;16;7;165;1;10;1;0;0
2020-01-17 08:00:00;99;13;7;172;6;10;1;0;0
2020-01-17 08:15:00;113;16;7;109;0;10;0;0;0
2020-01-17 08:30:00;113;23;3;154;2;10;1;0;0
2020-01-17 08:45:00;93;19;8;132;0;10;1;0;0
2020-01-17 09:00:00;80;7;6;115;0;13;0;0;0
2020-01-17 09:15:00;67;14;10;118;8;13;1;0;0
2020-01-17 09:30:00;85;13;6;104;0;13;0;0;0
2020-01-17 09:45:00;94;14;18;115;1;13;1;0;0
2020-01-17 10:00:00;76;14;11;118;2;12;1;0;0
2020-01-17 10:15:00;85;14;9;123;0;13;1;0;0
2020-01-17 10:30:00;94;9;13;107;0;13;0;0;0
2020-01-17 10:45:00;110;16;12;102;0;13;1;0;0
2020-01-17 11:00:00;106;10;21;116;1;13;1;0;0
2020-01-17 11:15:00;116;29;10;125;2;13;0;0;0
2020-01-17 11:30:00;116;27;22;123;1;13;1;0;0
2020-01-17 11:45:00;103;10;8;102;0;12;1;0;0
2020-01-17 12:00:00;128;27;22;151;3;13;1;0;0
2020-01-17 12:15:00;127;24;12;160;3;13;0;0;0
2020-01-17 12:30:00;143;25;21;157;0;13;1;0;0
2020-01-17 12:45:00;152;21;26;136;21;13;0;0;0
2020-01-17 13:00:00;155;23;19;155;1;13;1;0;0
2020-01-17 13:15:00;154;21;22;129;3;9;1;0;0
2020-01-17 13:30:00;157;21;20;142;7;10;0;0;0
2020-01-17 13:45:00;151;29;10;148;9;10;1;0;0
2020-01-17 14:00:00;150;29;19;148;3;10;1;0;0
2020-01-17 14:15:00;121;16;11;151;0;10;0;0;0
2020-01-17 14:30:00;137;9;19;148;1;10;1;0;0
2020-01-17 14:45:00;128;22;15;141;1;10;0;0;0
2020-01-17 15:00:00;148;15;20;158;2;10;1;0;0
2020-01-17 15:15:00;124;26;24;167;14;10;1;0;0
2020-01-17 15:30:00;139;20;13;154;0;10;0;0;0
2020-01-17 15:45:00;149;22;19;123;4;10;1;0;0
2020-01-17 16:00:00;130;18;18;139;5;10;1;0;0
2020-01-17 16:15:00;134;10;13;147;3;10;0;0;0
2020-01-17 16:30:00;130;16;6;164;4;10;1;0;0
2020-01-17 16:45:00;111;10;19;146;0;10;0;0;0
2020-01-17 17:00:00;122;17;17;133;2;10;1;0;0
2020-01-17 17:15:00;115;19;17;131;1;10;1;0;0
2020-01-17 17:30:00;137;18;8;131;0;10;0;0;0
2020-01-17 17:45:00;119;9;19;109;0;10;1;0;0
2020-01-17 18:00:00;104;14;9;107;0;10;1;0;0
2020-01-17 18:15:00;114;11;12;101;0;10;0;0;0
2020-01-17 18:30:00;96;10;9;108;0;10;1;0;0
2020-01-17 18:45:00;76;6;3;87;0;10;0;0;0
2020-01-17 19:00:00;63;4;8;83;0;10;1;0;0
2020-01-17 19:15:00;78;5;5;74;0;10;1;0;0
2020-01-17 19:30:00;73;2;1;67;0;10;0;0;0
2020-01-17 19:45:00;67;7;0;63;0;10;1;0;0
2020-01-17 20:00:00;66;4;3;46;0;13;1;0;0
2020-01-17 20:15:00;61;5;0;56;0;13;0;0;0
2020-01-17 20:30:00;51;2;0;39;0;12;1;0;0
2020-01-17 20:45:00;60;5;1;47;0;14;1;0;0
2020-01-17 21:00:00;75;7;1;44;0;12;1;0;0
2020-01-17 21:15:00;89;10;3;72;0;13;0;0;0
2020-01-17 21:30:00;62;16;5;90;0;12;1;0;0
2020-01-17 21:45:00;64;17;1;116;0;14;1;0;0
2020-01-17 22:00:00;54;7;1;50;0;9;1;0;0
2020-01-17 22:15:00;70;3;0;39;0;11;0;0;0
2020-01-17 22:30:00;19;2;0;30;0;9;1;0;0
2020-01-17 22:45:00;39;4;1;32;0;13;1;0;0
2020-01-17 23:00:00;26;1;0;24;0;12;0;0;0
2020-01-17 23:15:00;29;0;0;23;0;13;1;0;0
2020-01-17 23:30:00;21;0;0;15;0;12;1;0;0
2020-01-17 23:45:00;ERROR:;ORA-12514:;TNS:listener;does;not;currently;know;of;service;requested;in;connect;descriptor;SP2-0640:;Not;connected
