DATUM;1(DA1);2(DA2);3(DC1);4(DC2);5(DD1);6(TAFBA);7(TAFBC);8(TAFBD)
2020-11-05 00:00:00;0;2;2;1;0;0;0;0
2020-11-05 00:15:00;1;4;0;0;0;0;0;0
2020-11-05 00:30:00;0;1;0;0;0;0;0;0
2020-11-05 00:45:00;0;1;1;1;0;0;0;0
2020-11-05 01:00:00;0;0;0;0;0;0;0;0
2020-11-05 01:15:00;0;1;1;0;0;0;0;0
2020-11-05 01:30:00;0;0;0;0;0;0;0;0
2020-11-05 01:45:00;0;0;0;0;0;0;0;0
2020-11-05 02:00:00;0;0;0;0;0;0;0;0
2020-11-05 02:15:00;0;0;0;0;0;0;0;0
2020-11-05 02:30:00;0;0;0;0;0;0;0;0
2020-11-05 02:45:00;0;0;0;0;0;0;0;0
2020-11-05 03:00:00;0;0;0;0;0;0;0;0
2020-11-05 03:15:00;0;0;1;1;0;0;0;0
2020-11-05 03:30:00;0;0;0;0;0;0;0;0
2020-11-05 03:45:00;0;0;0;0;0;0;0;0
2020-11-05 04:00:00;0;0;1;0;0;0;0;0
2020-11-05 04:15:00;0;0;0;0;0;0;0;0
2020-11-05 04:30:00;0;4;1;0;0;0;0;0
2020-11-05 04:45:00;0;1;1;1;0;0;0;0
2020-11-05 05:00:00;0;7;10;3;0;0;0;0
2020-11-05 05:15:00;2;35;29;6;0;0;0;0
2020-11-05 05:30:00;4;34;28;11;3;0;0;0
2020-11-05 05:45:00;6;39;54;7;9;0;0;0
2020-11-05 06:00:00;2;10;25;2;10;0;0;0
2020-11-05 06:15:00;0;13;42;1;5;0;0;0
2020-11-05 06:30:00;3;29;83;9;6;0;0;0
2020-11-05 06:45:00;0;45;83;2;5;0;0;0
2020-11-05 07:00:00;6;23;33;4;5;0;0;0
2020-11-05 07:15:00;3;16;24;9;7;0;0;0
2020-11-05 07:30:00;1;22;42;21;262;0;0;0
2020-11-05 07:45:00;4;20;30;2;49;0;0;0
2020-11-05 08:00:00;2;14;18;6;2;0;0;0
2020-11-05 08:15:00;4;9;30;5;6;0;0;0
2020-11-05 08:30:00;1;16;27;9;13;0;0;0
2020-11-05 08:45:00;4;17;17;4;12;0;1;0
2020-11-05 09:00:00;1;27;17;7;12;0;0;0
2020-11-05 09:15:00;2;11;16;5;10;0;0;0
2020-11-05 09:30:00;5;18;12;5;9;0;0;0
2020-11-05 09:45:00;1;12;10;4;7;0;1;0
2020-11-05 10:00:00;4;20;14;14;13;0;0;0
2020-11-05 10:15:00;2;19;19;9;13;0;0;0
2020-11-05 10:30:00;6;24;13;5;9;0;0;0
2020-11-05 10:45:00;5;32;12;4;8;0;0;0
2020-11-05 11:00:00;2;22;17;5;11;0;0;0
2020-11-05 11:15:00;1;20;17;1;6;0;0;0
2020-11-05 11:30:00;1;25;11;2;7;0;0;0
2020-11-05 11:45:00;7;25;13;1;17;0;0;0
2020-11-05 12:00:00;2;20;12;1;262;0;0;0
2020-11-05 12:15:00;3;19;16;3;8;0;0;0
2020-11-05 12:30:00;1;26;16;4;10;0;2;0
2020-11-05 12:45:00;6;19;26;7;4;0;0;2
2020-11-05 13:00:00;3;28;26;6;259;0;0;0
2020-11-05 13:15:00;3;29;20;5;6;0;0;0
2020-11-05 13:30:00;3;31;24;7;8;0;0;0
2020-11-05 13:45:00;2;35;24;5;10;0;0;0
2020-11-05 14:00:00;5;80;29;5;12;0;0;0
2020-11-05 14:15:00;5;77;40;5;23;0;0;0
2020-11-05 14:30:00;5;52;41;3;21;0;0;0
2020-11-05 14:45:00;4;42;25;4;5;0;1;0
2020-11-05 15:00:00;5;82;41;6;16;0;0;0
2020-11-05 15:15:00;5;74;22;2;11;0;0;0
2020-11-05 15:30:00;6;62;10;5;7;0;0;0
2020-11-05 15:45:00;6;35;17;1;6;0;0;0
2020-11-05 16:00:00;0;45;17;5;15;8;0;7
2020-11-05 16:15:00;1;39;14;5;6;0;0;0
2020-11-05 16:30:00;3;43;23;2;7;0;0;0
2020-11-05 16:45:00;3;34;11;6;6;0;0;0
2020-11-05 17:00:00;2;30;21;4;7;0;0;0
2020-11-05 17:15:00;1;33;12;2;9;0;0;0
2020-11-05 17:30:00;1;18;11;5;9;0;0;0
2020-11-05 17:45:00;2;26;16;2;5;0;0;0
2020-11-05 18:00:00;0;21;17;5;6;0;0;0
2020-11-05 18:15:00;1;10;6;2;8;0;0;0
2020-11-05 18:30:00;0;13;7;6;2;0;0;0
2020-11-05 18:45:00;1;18;3;0;3;0;0;0
2020-11-05 19:00:00;0;3;2;0;2;0;0;0
2020-11-05 19:15:00;0;12;11;0;0;0;0;0
2020-11-05 19:30:00;0;11;4;1;0;0;0;0
2020-11-05 19:45:00;0;2;2;1;0;0;0;0
2020-11-05 20:00:00;0;11;2;1;1;0;0;0
2020-11-05 20:15:00;0;9;0;0;0;0;0;0
2020-11-05 20:30:00;1;9;2;2;0;0;0;0
2020-11-05 20:45:00;0;4;2;0;0;0;0;0
2020-11-05 21:00:00;1;10;12;2;1;0;0;0
2020-11-05 21:15:00;2;30;7;0;1;0;0;0
2020-11-05 21:30:00;1;18;9;3;1;0;0;0
