DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DC1);6(DC2);7(TA1);8(TA2)
2020-09-18 00:00:00;3;1;0;0;2;2;0;0
2020-09-18 00:15:00;4;3;0;0;5;7;0;0
2020-09-18 00:30:00;3;1;0;0;2;6;0;0
2020-09-18 00:45:00;3;2;0;0;1;3;0;0
2020-09-18 01:00:00;7;2;0;0;1;7;0;0
2020-09-18 01:15:00;4;3;0;0;1;4;0;0
2020-09-18 01:30:00;4;5;0;0;4;5;0;0
2020-09-18 01:45:00;2;2;0;0;1;1;0;0
2020-09-18 02:00:00;1;3;0;0;1;3;0;0
2020-09-18 02:15:00;1;1;0;0;2;3;0;0
2020-09-18 02:30:00;0;0;0;0;2;0;0;0
2020-09-18 02:45:00;2;3;0;0;0;2;0;0
2020-09-18 03:00:00;2;4;0;0;3;0;0;0
2020-09-18 03:15:00;4;3;1;0;1;1;0;0
2020-09-18 03:30:00;1;0;0;0;3;3;0;0
2020-09-18 03:45:00;1;2;0;0;2;3;0;0
2020-09-18 04:00:00;0;4;0;0;2;6;0;0
2020-09-18 04:15:00;3;1;0;0;1;2;0;0
2020-09-18 04:30:00;4;5;0;0;6;6;0;0
2020-09-18 04:45:00;5;6;0;0;6;18;5;0
2020-09-18 05:00:00;6;13;0;0;31;33;6;0
2020-09-18 05:15:00;13;30;1;0;73;105;21;0
2020-09-18 05:30:00;37;56;3;0;66;95;15;9
2020-09-18 05:45:00;82;114;3;0;62;47;8;12
2020-09-18 06:00:00;106;136;5;0;41;30;6;14
2020-09-18 06:15:00;29;59;1;0;50;35;6;7
2020-09-18 06:30:00;31;77;1;0;62;43;17;3
2020-09-18 06:45:00;29;65;3;0;62;55;11;0
2020-09-18 07:00:00;34;55;4;0;33;43;9;2
2020-09-18 07:15:00;49;80;4;0;51;45;8;0
2020-09-18 07:30:00;46;74;8;0;56;64;13;3
2020-09-18 07:45:00;29;71;8;0;76;60;6;0
2020-09-18 08:00:00;31;47;7;0;41;48;16;0
2020-09-18 08:15:00;35;43;9;0;44;30;7;1
2020-09-18 08:30:00;31;43;6;0;31;34;7;5
2020-09-18 08:45:00;16;45;8;0;40;29;5;1
2020-09-18 09:00:00;23;39;8;0;28;26;5;0
2020-09-18 09:15:00;27;35;11;0;33;34;5;0
2020-09-18 09:30:00;28;45;10;0;31;22;0;0
2020-09-18 09:45:00;17;30;13;0;39;36;1;2
2020-09-18 10:00:00;35;45;11;0;39;38;9;5
2020-09-18 10:15:00;26;29;11;0;36;28;6;3
2020-09-18 10:30:00;26;42;9;0;30;22;1;0
2020-09-18 10:45:00;32;38;9;0;34;32;4;4
2020-09-18 11:00:00;27;32;7;0;36;15;2;3
2020-09-18 11:15:00;34;44;9;0;41;26;6;1
2020-09-18 11:30:00;26;32;10;0;30;23;1;6
2020-09-18 11:45:00;29;33;9;0;36;33;0;26
2020-09-18 12:00:00;51;58;8;0;52;40;10;10
2020-09-18 12:15:00;30;41;7;0;50;31;20;10
2020-09-18 12:30:00;48;41;10;0;52;30;2;21
2020-09-18 12:45:00;53;50;8;0;47;38;8;13
2020-09-18 13:00:00;41;52;12;0;67;69;20;11
2020-09-18 13:15:00;43;51;8;0;76;92;16;7
2020-09-18 13:30:00;31;53;10;0;88;89;15;8
2020-09-18 13:45:00;56;75;13;0;95;117;21;11
2020-09-18 14:00:00;95;102;12;0;119;101;17;9
2020-09-18 14:15:00;109;137;8;0;70;49;4;33
2020-09-18 14:30:00;64;83;7;0;55;45;0;17
2020-09-18 14:45:00;46;62;9;0;63;38;2;15
2020-09-18 15:00:00;45;69;10;0;57;41;7;12
2020-09-18 15:15:00;46;71;11;0;81;69;1;12
2020-09-18 15:30:00;34;57;10;0;52;24;0;10
2020-09-18 15:45:00;38;48;10;0;53;42;0;4
2020-09-18 16:00:00;37;52;7;0;54;24;0;7
2020-09-18 16:15:00;33;41;6;0;43;32;0;14
2020-09-18 16:30:00;38;55;5;0;39;32;0;2
2020-09-18 16:45:00;31;36;7;0;48;30;0;6
2020-09-18 17:00:00;30;34;4;0;37;30;0;6
2020-09-18 17:15:00;26;37;7;0;32;23;0;5
2020-09-18 17:30:00;32;45;6;0;38;27;1;1
2020-09-18 17:45:00;27;38;7;0;33;25;0;2
2020-09-18 18:00:00;36;23;5;0;45;24;2;5
2020-09-18 18:15:00;37;33;8;0;28;23;3;4
2020-09-18 18:30:00;29;28;11;0;24;18;0;0
2020-09-18 18:45:00;24;37;1;0;24;15;5;0
2020-09-18 19:00:00;17;20;1;0;18;22;0;2
2020-09-18 19:15:00;12;32;0;0;21;11;1;0
2020-09-18 19:30:00;20;20;2;0;29;13;0;2
2020-09-18 19:45:00;19;16;3;0;15;20;0;3
2020-09-18 20:00:00;13;14;2;0;24;17;0;0
2020-09-18 20:15:00;12;20;1;0;22;16;1;0
2020-09-18 20:30:00;20;17;1;0;19;35;4;0
2020-09-18 20:45:00;9;14;1;0;32;44;17;0
2020-09-18 21:00:00;13;30;1;0;48;81;23;5
2020-09-18 21:15:00;14;19;4;0;67;88;24;0
2020-09-18 21:30:00;28;33;3;0;38;68;12;11
2020-09-18 21:45:00;76;105;6;0;30;25;2;40
2020-09-18 22:00:00;71;130;8;0;44;30;0;16
2020-09-18 22:15:00;23;33;3;0;18;7;1;1
2020-09-18 22:30:00;9;13;2;0;12;6;0;4
2020-09-18 22:45:00;2;8;3;0;16;9;0;0
2020-09-18 23:00:00;5;8;0;0;10;8;0;0
2020-09-18 23:15:00;6;6;0;0;13;6;0;0
2020-09-18 23:30:00;7;13;0;0;8;4;0;0
2020-09-18 23:45:00;4;12;0;0;8;4;0;0
