DATUM;1(DA1);2(DA2);3(DA3);4(DBR1);5(DBR2);6(DB1);7(DC1);8(DC2)
2019-08-08 00:00:00;4;7;7;3;2;3;7;8
2019-08-08 00:15:00;3;7;7;1;5;3;5;7
2019-08-08 00:30:00;7;6;7;0;1;2;7;2
2019-08-08 00:45:00;6;8;8;1;2;7;11;4
2019-08-08 01:00:00;3;1;1;1;3;0;5;2
2019-08-08 01:15:00;3;4;4;1;3;0;7;3
2019-08-08 01:30:00;3;5;6;1;1;1;4;0
2019-08-08 01:45:00;2;2;2;1;4;1;4;2
2019-08-08 02:00:00;2;4;5;1;2;1;0;2
2019-08-08 02:15:00;4;2;2;3;2;2;1;0
2019-08-08 02:30:00;1;0;0;2;3;3;1;1
2019-08-08 02:45:00;3;6;6;1;1;1;1;1
2019-08-08 03:00:00;3;2;2;1;1;2;6;2
2019-08-08 03:15:00;7;5;4;0;1;1;3;2
2019-08-08 03:30:00;1;3;3;0;0;0;0;0
2019-08-08 03:45:00;1;3;2;2;2;1;2;0
2019-08-08 04:00:00;3;3;2;1;2;2;4;3
2019-08-08 04:15:00;5;6;6;5;3;4;3;1
2019-08-08 04:30:00;3;12;12;2;5;4;8;2
2019-08-08 04:45:00;5;19;19;4;6;9;7;1
2019-08-08 05:00:00;18;40;41;9;15;8;10;8
2019-08-08 05:15:00;45;94;93;5;8;19;26;10
2019-08-08 05:30:00;49;72;70;10;11;17;34;22
2019-08-08 05:45:00;60;65;68;31;40;17;65;32
2019-08-08 06:00:00;31;43;41;15;26;14;40;24
2019-08-08 06:15:00;50;53;56;15;25;20;34;20
2019-08-08 06:30:00;71;67;70;12;18;21;57;34
2019-08-08 06:45:00;83;73;72;6;9;22;54;29
2019-08-08 07:00:00;86;98;96;13;30;25;69;37
2019-08-08 07:15:00;89;88;88;11;18;16;62;30
2019-08-08 07:30:00;84;76;76;9;25;31;53;39
2019-08-08 07:45:00;109;109;110;9;18;32;55;50
2019-08-08 08:00:00;103;78;78;14;18;28;66;43
2019-08-08 08:15:00;89;85;84;11;12;21;53;34
2019-08-08 08:30:00;89;63;64;11;19;24;60;46
2019-08-08 08:45:00;81;77;73;11;16;26;66;44
2019-08-08 09:00:00;82;81;85;15;27;31;60;34
2019-08-08 09:15:00;65;59;59;9;18;26;53;31
2019-08-08 09:30:00;55;56;58;12;28;30;61;39
2019-08-08 09:45:00;59;56;55;16;20;29;65;45
2019-08-08 10:00:00;59;54;52;17;30;13;76;35
