DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(DB3);6(DB4);7(DC1);8(DC2);9(DC3);10(DD1);11(DD2);12(TAFGA);13(TAFBA);14(TAFBB);15(TAFGC);16(TAFBC);17(TAFBDRES)
2020-03-26 00:00:00;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-26 00:15:00;0;0;1;2;3;2;1;1;1;0;0;0;0;0;0;0;0
2020-03-26 00:30:00;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-26 00:45:00;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-26 01:00:00;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0
2020-03-26 01:15:00;0;0;3;3;2;2;0;0;0;0;0;0;0;0;0;0;0
2020-03-26 01:30:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-26 01:45:00;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
2020-03-26 02:00:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-26 02:15:00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-26 02:30:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-26 02:45:00;0;0;1;0;1;0;0;0;0;2;2;0;0;0;0;0;0
2020-03-26 03:00:00;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-26 03:15:00;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2020-03-26 03:30:00;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-26 03:45:00;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-03-26 04:00:00;0;0;0;0;1;3;1;2;2;0;0;0;0;0;0;0;0
2020-03-26 04:15:00;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0
2020-03-26 04:30:00;4;2;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
2020-03-26 04:45:00;1;1;0;0;0;0;3;6;6;0;0;0;0;0;0;0;0
2020-03-26 05:00:00;3;1;0;0;0;0;3;5;5;0;0;0;0;0;0;0;0
2020-03-26 05:15:00;1;1;1;0;1;0;2;2;2;0;0;0;0;0;0;0;0
2020-03-26 05:30:00;8;7;1;1;1;2;7;12;12;0;0;0;0;0;0;0;0
2020-03-26 05:45:00;7;8;2;2;1;0;9;14;16;1;0;0;0;0;0;0;0
2020-03-26 06:00:00;4;2;0;0;0;1;7;10;11;0;0;0;0;0;0;0;0
2020-03-26 06:15:00;10;6;2;1;1;0;7;10;11;0;0;0;0;0;0;0;0
2020-03-26 06:30:00;13;5;0;2;2;0;10;20;24;0;0;0;0;0;0;0;0
2020-03-26 06:45:00;22;6;1;1;3;2;11;16;17;0;0;0;0;0;0;0;0
2020-03-26 07:00:00;12;10;2;5;4;0;12;20;20;0;0;0;0;0;0;0;0
2020-03-26 07:15:00;36;21;2;2;6;3;12;21;23;0;0;0;0;0;0;0;0
2020-03-26 07:30:00;35;20;2;6;2;3;13;26;28;1;0;0;0;0;0;0;0
