DATUM;1(DAL1);2(DBR1);3(DBL1);4(DBL2);5(DC1);6(DC2);7(DC3);8(DEG11);9(DEG12);10(DEG13);11(DEG14);12(DEG15);13(DEG16);14(DEG17)
2020-05-17 00:00:00;12;6;2;1;21;4;10;16;8;24;16;8;24;0
2020-05-17 00:15:00;13;5;5;4;30;6;8;20;10;30;20;10;30;0
2020-05-17 00:30:00;7;1;2;1;22;5;8;20;10;30;20;10;30;0
2020-05-17 00:45:00;15;6;6;1;18;5;9;20;10;30;20;10;30;0
2020-05-17 01:00:00;14;4;2;2;22;3;16;24;12;36;24;12;36;0
2020-05-17 01:15:00;6;3;5;2;11;4;8;26;13;39;26;13;39;0
2020-05-17 01:30:00;6;2;2;0;15;5;8;26;13;39;26;13;39;0
2020-05-17 01:45:00;9;4;1;1;11;3;4;26;13;39;26;13;39;0
2020-05-17 02:00:00;2;1;2;0;13;4;2;24;12;36;24;12;36;0
2020-05-17 02:15:00;2;2;1;0;13;1;0;26;13;39;26;13;39;0
2020-05-17 02:30:00;4;2;1;0;7;1;1;26;13;39;26;13;39;0
2020-05-17 02:45:00;4;0;0;0;4;1;2;26;13;39;26;13;39;0
2020-05-17 03:00:00;2;0;1;1;9;2;1;26;13;39;26;13;39;0
2020-05-17 03:15:00;1;0;0;0;3;3;0;26;13;39;26;13;39;0
2020-05-17 03:30:00;2;0;0;0;2;1;2;26;13;39;26;13;39;0
2020-05-17 03:45:00;2;1;1;0;2;1;0;24;12;36;24;12;36;0
2020-05-17 04:00:00;0;4;2;0;5;4;1;26;13;39;26;13;39;0
2020-05-17 04:15:00;3;1;1;0;4;2;0;26;13;39;26;13;39;0
2020-05-17 04:30:00;2;1;0;0;7;1;0;26;13;39;26;13;39;0
2020-05-17 04:45:00;1;1;0;1;7;0;4;26;13;39;26;13;39;0
2020-05-17 05:00:00;7;3;3;0;7;2;0;20;10;31;20;10;31;0
2020-05-17 05:15:00;5;2;5;3;7;0;3;20;10;30;20;10;30;0
2020-05-17 05:30:00;8;4;9;4;6;1;1;20;10;30;20;10;30;0
2020-05-17 05:45:00;14;2;4;1;8;2;4;20;10;29;20;10;29;0
2020-05-17 06:00:00;3;6;3;1;12;1;3;20;10;31;20;10;31;0
2020-05-17 06:15:00;8;5;8;0;10;4;4;20;10;30;20;10;30;0
2020-05-17 06:30:00;7;3;3;3;10;3;4;20;10;29;20;10;29;0
2020-05-17 06:45:00;6;7;4;0;11;5;15;20;10;31;20;10;31;0
2020-05-17 07:00:00;10;6;5;2;14;3;11;20;10;30;20;10;30;0
2020-05-17 07:15:00;7;6;6;3;12;6;6;20;10;30;20;10;30;0
2020-05-17 07:30:00;13;5;8;1;15;7;5;20;10;30;20;10;30;0
2020-05-17 07:45:00;12;7;8;7;16;4;12;20;10;29;20;10;29;0
2020-05-17 08:00:00;8;5;8;3;17;7;7;20;10;31;20;10;30;0
2020-05-17 08:15:00;16;15;5;4;22;6;8;20;10;30;20;10;31;0
2020-05-17 08:30:00;16;15;10;6;25;8;14;20;10;30;20;10;30;0
2020-05-17 08:45:00;15;15;21;8;35;9;15;20;10;30;20;10;30;0
2020-05-17 09:00:00;16;22;12;9;28;12;21;20;10;30;20;10;30;0
2020-05-17 09:15:00;27;24;17;14;37;19;22;20;10;30;20;10;30;0
2020-05-17 09:30:00;30;26;17;13;42;18;14;20;10;30;20;10;30;0
2020-05-17 09:45:00;38;35;13;13;45;18;27;20;10;30;20;10;30;0
2020-05-17 10:00:00;34;20;19;20;48;19;24;20;10;30;20;10;30;0
2020-05-17 10:15:00;25;48;26;15;52;11;27;20;10;30;20;10;30;0
2020-05-17 10:30:00;46;39;18;10;39;14;32;21;11;30;21;11;30;0
2020-05-17 10:45:00;39;19;17;18;53;21;36;20;10;30;20;10;30;0
2020-05-17 11:00:00;52;41;23;13;59;24;42;20;10;29;20;10;29;0
2020-05-17 11:15:00;51;49;28;21;72;28;30;20;10;30;20;10;30;0
2020-05-17 11:30:00;41;38;19;20;59;22;44;18;9;28;18;9;28;0
2020-05-17 11:45:00;51;33;27;15;85;34;37;20;10;30;20;10;30;0
2020-05-17 12:00:00;52;32;26;14;61;27;38;20;10;29;20;10;29;0
2020-05-17 12:15:00;49;50;25;14;64;29;50;20;10;30;20;10;30;0
2020-05-17 12:30:00;72;42;27;25;80;16;41;20;10;30;20;10;30;0
2020-05-17 12:45:00;53;24;24;24;81;32;50;20;10;30;20;10;30;0
2020-05-17 13:00:00;54;35;25;23;74;22;44;20;10;30;20;10;30;0
2020-05-17 13:15:00;60;45;27;18;85;27;48;20;10;30;20;10;30;0
2020-05-17 13:30:00;51;44;27;22;68;30;40;21;11;30;21;11;30;0
2020-05-17 13:45:00;68;50;38;31;74;33;36;20;10;30;20;10;30;0
2020-05-17 14:00:00;68;46;30;20;86;31;70;20;10;30;20;10;30;0
2020-05-17 14:15:00;77;42;26;20;89;39;55;20;10;30;20;10;30;0
2020-05-17 14:30:00;62;42;30;18;74;37;57;20;10;30;20;10;30;0
2020-05-17 14:45:00;68;44;27;26;111;35;53;20;10;30;20;10;30;0
2020-05-17 15:00:00;80;55;32;17;96;38;51;20;10;30;20;10;30;0
2020-05-17 15:15:00;63;38;29;22;106;34;51;20;10;30;20;10;30;0
2020-05-17 15:30:00;62;40;22;19;83;35;67;20;10;30;20;10;30;0
2020-05-17 15:45:00;73;30;32;20;89;27;66;20;10;31;20;10;31;0
2020-05-17 16:00:00;66;31;26;16;97;48;52;20;10;30;20;10;30;0
2020-05-17 16:15:00;60;35;21;11;83;38;57;20;10;30;20;10;30;0
2020-05-17 16:30:00;65;34;25;17;75;47;57;20;10;30;20;10;30;0
2020-05-17 16:45:00;63;40;22;19;91;33;56;20;10;30;20;10;30;0
2020-05-17 17:00:00;71;39;24;20;95;43;74;20;10;30;20;10;30;0
2020-05-17 17:15:00;64;34;31;15;96;50;57;20;10;30;20;10;30;0
2020-05-17 17:30:00;68;42;24;15;98;41;65;20;10;29;20;10;29;0
2020-05-17 17:45:00;74;42;20;15;96;50;74;20;10;31;20;10;31;0
2020-05-17 18:00:00;69;54;28;19;87;51;67;20;10;30;20;10;30;0
2020-05-17 18:15:00;62;51;30;19;105;48;63;20;10;30;20;10;30;0
2020-05-17 18:30:00;63;33;30;18;95;39;51;20;10;30;20;10;30;0
2020-05-17 18:45:00;57;31;32;21;93;36;44;20;10;30;20;10;30;0
2020-05-17 19:00:00;63;33;27;18;86;42;52;20;10;29;20;10;29;0
2020-05-17 19:15:00;60;38;28;16;78;34;41;20;10;31;20;10;31;0
2020-05-17 19:30:00;55;29;23;11;103;30;42;20;10;30;20;10;30;0
2020-05-17 19:45:00;51;29;22;13;74;31;46;20;10;29;20;10;29;0
2020-05-17 20:00:00;56;37;21;8;87;27;40;20;10;30;20;10;30;0
2020-05-17 20:15:00;46;32;16;8;77;28;32;20;10;30;20;10;30;0
2020-05-17 20:30:00;49;29;12;7;61;25;37;20;10;30;20;10;30;0
2020-05-17 20:45:00;45;18;14;8;61;24;23;20;10;29;20;10;29;0
