DATUM;1(DA1);2(DA2);3(DC2);4(DC1);5(TA1A);6(TA2A);7(TA1FBA);8(TA2FBA);9(TA1C);10(TA2C);11(TA1FBC);12(TA2FBC);13(MP12D01);14(MP12D02);15(MP12D03);16(MP12D04);17(MP12D05);18(MP12D06);19(MP12D07);20(MP12D08)
2020-08-27 00:00:00;8;6;9;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 00:15:00;10;10;13;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 00:30:00;12;7;8;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 00:45:00;9;10;9;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 01:00:00;7;7;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 01:15:00;7;6;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 01:30:00;7;6;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 01:45:00;11;8;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 02:00:00;4;3;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 02:15:00;5;5;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 02:30:00;7;4;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 02:45:00;4;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 03:00:00;6;4;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 03:15:00;13;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 03:30:00;8;7;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 03:45:00;4;0;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 04:00:00;8;1;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 04:15:00;9;4;9;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 04:30:00;6;0;7;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 04:45:00;21;4;14;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 05:00:00;31;13;24;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 05:15:00;47;14;19;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 05:30:00;57;42;36;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 05:45:00;52;49;23;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 06:00:00;40;36;26;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 06:15:00;59;52;37;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 06:30:00;73;78;61;146;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 06:45:00;82;73;46;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 07:00:00;75;98;45;98;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 07:15:00;79;84;47;107;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2020-08-27 07:30:00;77;94;50;124;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 07:45:00;81;91;53;112;1;2;0;0;12;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 08:00:00;78;78;60;107;6;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 08:15:00;83;93;65;128;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0
2020-08-27 08:30:00;85;93;47;115;7;0;11;0;8;4;0;3;0;0;0;0;0;0;0;0
2020-08-27 08:45:00;92;94;68;105;35;2;0;0;1;36;0;3;0;0;0;0;0;0;0;0
2020-08-27 09:00:00;72;71;55;97;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
2020-08-27 09:15:00;79;80;53;103;2;8;2;0;14;1;0;0;0;0;0;0;0;0;0;0
2020-08-27 09:30:00;87;90;56;126;4;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0
2020-08-27 09:45:00;97;102;61;112;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 10:00:00;94;96;282;123;3;2;0;0;5;1;0;0;0;0;0;0;0;0;0;0
2020-08-27 10:15:00;86;101;64;119;5;4;0;0;5;3;0;0;0;0;0;0;0;0;0;0
2020-08-27 10:30:00;83;95;72;124;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
2020-08-27 10:45:00;109;112;67;125;5;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 11:00:00;88;87;72;147;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
2020-08-27 11:15:00;114;121;73;137;5;12;0;0;18;1;0;0;0;0;0;0;0;0;0;0
2020-08-27 11:30:00;107;132;79;153;33;8;4;2;7;9;0;0;0;0;0;0;0;0;0;0
2020-08-27 11:45:00;96;118;284;166;2;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 12:00:00;94;87;75;168;3;13;0;0;16;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 12:15:00;76;79;72;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 12:30:00;44;27;71;145;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
2020-08-27 12:45:00;45;29;72;121;6;2;0;0;4;3;2;0;0;0;0;0;0;0;0;0
