DATUM;1(DA1);2(DA2);3(DB1);4(DB2);5(TAA);6(TAFBA)
2020-02-06 00:00:00;14;8;8;3;0;0
2020-02-06 00:15:00;13;7;25;14;0;0
2020-02-06 00:30:00;8;11;19;10;0;0
2020-02-06 00:45:00;14;0;12;10;0;0
2020-02-06 01:00:00;7;3;8;5;0;0
2020-02-06 01:15:00;9;6;8;6;0;0
2020-02-06 01:30:00;10;7;11;7;0;0
2020-02-06 01:45:00;11;6;4;3;0;0
2020-02-06 02:00:00;8;5;3;3;0;0
2020-02-06 02:15:00;8;6;6;3;0;0
2020-02-06 02:30:00;5;4;2;2;0;0
2020-02-06 02:45:00;6;5;11;9;0;0
2020-02-06 03:00:00;7;5;10;6;0;0
2020-02-06 03:15:00;7;8;11;3;0;0
2020-02-06 03:30:00;5;5;15;4;0;0
2020-02-06 03:45:00;12;9;13;6;0;0
2020-02-06 04:00:00;4;1;9;4;0;0
2020-02-06 04:15:00;12;9;14;6;0;0
2020-02-06 04:30:00;11;10;18;8;0;0
2020-02-06 04:45:00;19;18;48;25;0;0
2020-02-06 05:00:00;31;22;109;73;0;0
2020-02-06 05:15:00;39;43;134;123;0;0
2020-02-06 05:30:00;69;72;157;162;0;0
2020-02-06 05:45:00;101;132;126;130;0;0
2020-02-06 06:00:00;134;153;164;158;0;0
2020-02-06 06:15:00;101;127;150;177;0;0
2020-02-06 06:30:00;86;94;165;173;1;0
2020-02-06 06:45:00;76;95;150;164;6;0
2020-02-06 07:00:00;56;80;157;176;1;1
2020-02-06 07:15:00;79;96;170;185;5;0
2020-02-06 07:30:00;91;97;128;165;10;14
2020-02-06 07:45:00;108;95;146;160;8;4
2020-02-06 08:00:00;84;84;143;142;9;0
2020-02-06 08:15:00;97;88;152;160;9;0
2020-02-06 08:30:00;86;85;145;168;14;5
2020-02-06 08:45:00;95;95;138;149;5;0
2020-02-06 09:00:00;82;79;98;114;3;0
2020-02-06 09:15:00;80;76;90;111;16;0
2020-02-06 09:30:00;83;67;111;120;7;2
2020-02-06 09:45:00;91;106;102;100;8;0
2020-02-06 10:00:00;64;48;56;64;4;0
2020-02-06 10:15:00;40;28;45;42;9;0
2020-02-06 10:30:00;96;105;97;90;2;0
2020-02-06 10:45:00;112;89;89;105;9;0
2020-02-06 11:00:00;96;88;102;91;2;0
2020-02-06 11:15:00;112;109;118;87;9;0
2020-02-06 11:30:00;120;144;104;89;10;0
2020-02-06 11:45:00;97;123;89;92;6;0
2020-02-06 12:00:00;107;118;101;86;21;4
2020-02-06 12:15:00;102;112;80;73;15;4
2020-02-06 12:30:00;116;129;106;99;12;0
2020-02-06 12:45:00;110;108;111;102;0;0
2020-02-06 13:00:00;112;117;122;115;10;1
2020-02-06 13:15:00;120;145;153;182;34;9
2020-02-06 13:30:00;109;142;150;148;11;1
2020-02-06 13:45:00;124;137;129;121;47;9
2020-02-06 14:00:00;134;155;97;121;23;0
2020-02-06 14:15:00;165;195;97;96;12;3
2020-02-06 14:30:00;155;187;92;98;16;0
2020-02-06 14:45:00;156;211;106;94;53;0
2020-02-06 15:00:00;193;242;116;93;19;1
2020-02-06 15:15:00;169;213;92;81;29;7
2020-02-06 15:30:00;144;207;81;89;14;3
2020-02-06 15:45:00;204;240;105;99;30;0
2020-02-06 16:00:00;193;247;106;94;13;0
2020-02-06 16:15:00;164;203;96;114;23;0
2020-02-06 16:30:00;206;231;117;106;48;9
2020-02-06 16:45:00;192;225;120;111;10;0
2020-02-06 17:00:00;153;203;105;95;6;1
2020-02-06 17:15:00;189;236;126;143;31;1
2020-02-06 17:30:00;150;190;100;112;9;1
2020-02-06 17:45:00;186;206;126;109;17;2
2020-02-06 18:00:00;136;190;98;75;3;0
2020-02-06 18:15:00;154;192;112;97;9;10
2020-02-06 18:30:00;107;142;90;100;0;0
2020-02-06 18:45:00;96;117;81;61;1;0
2020-02-06 19:00:00;85;122;82;74;22;0
2020-02-06 19:15:00;91;96;77;59;3;0
2020-02-06 19:30:00;77;85;55;47;9;0
2020-02-06 19:45:00;74;75;48;41;0;0
2020-02-06 20:00:00;67;72;62;43;0;0
2020-02-06 20:15:00;64;54;52;54;4;0
2020-02-06 20:30:00;47;35;52;33;0;0
2020-02-06 20:45:00;51;45;85;56;0;0
2020-02-06 21:00:00;44;44;113;107;0;0
2020-02-06 21:15:00;46;51;115;100;0;0
2020-02-06 21:30:00;51;56;67;51;0;0
2020-02-06 21:45:00;86;113;39;32;0;0
2020-02-06 22:00:00;140;161;44;34;2;0
2020-02-06 22:15:00;96;111;38;28;0;2
2020-02-06 22:30:00;44;47;31;19;2;0
2020-02-06 22:45:00;24;27;28;16;0;0
2020-02-06 23:00:00;28;23;20;18;0;0
2020-02-06 23:15:00;20;18;21;16;0;0
2020-02-06 23:30:00;15;10;23;14;0;0
2020-02-06 23:45:00;9;4;26;11;0;0
